// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Vita Assembly
STATION;type;Assembly Station
STATION;owner;Yergale Feivel
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;3
STATION;icon;vita.png
STATION;filename;sector_109_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-3-1-5-2-3-7-1-1-6-0-5-1-4-2-0-0-90
STATION;interior_seed;5-9-0-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;39119.63
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.29;npc_ship_data_(support_utility_1).txt
MERC;6;1.42;npc_ship_data_(recon_shuttle_1).txt
MERC;9;1.93;npc_ship_data_(excavation_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;6x722;76450.00;50214.32
BUYORDER;Market Low Inventory: (2) Items ;6x350,2x241;67804.00;111643.80
SELLORDER;Sell Order Request for (1) Items ;1060x8;201086.00;61117.03
BUYORDER;Market Out of Stock: (2) Items ;4x238,1x393;12647.00;55257.78
ITEM;1;3;1.23;11.70
ITEM;51;104;0.78;74.83
ITEM;1642;28;0.53;63681.25
ITEM;2285;22;0.96;1280175.00
ITEM;1572;26;0.50;63108.50
ITEM;1652;15;1.23;133681.30
ITEM;622;2;0.60;15152.65
ITEM;1632;23;0.60;70681.25
ITEM;61;20;1.13;313.07
ITEM;2127;106;1.23;630474.20
ITEM;1021;0;1.32;183974.20
ITEM;2115;72;0.59;358510.00
ITEM;641;2;0.65;9270.95
ITEM;2121;26;0.73;358783.40
ITEM;1617;22;0.98;82597.75
ITEM;1562;20;0.95;114135.80
ITEM;76;94;1.16;534.44
ITEM;2340;1;0.66;57510.94
ITEM;310;25;0.93;141.65
ITEM;2408;20;0.71;11537.48
ITEM;302;16;1.24;61.33
ITEM;351;34;0.66;4262.03
ITEM;153;75;0.56;9.76
ITEM;169;234;1.12;86.78
ITEM;40;56;1.25;30.53
ITEM;70;146;1.03;142.10
ITEM;2316;6;0.80;3591337.00
ITEM;1580;7;0.65;21190.75
ITEM;1510;18;1.22;29189.88
ITEM;620;14;1.17;8937.69
ITEM;312;54;0.67;54.86
ITEM;1007;26;0.53;4903.46
ITEM;1630;10;1.18;32170.31
ITEM;1710;15;0.94;26170.31
ITEM;1540;3;1.13;28446.69
ITEM;60;134;1.11;136.89
ITEM;1009;0;1.17;13446.73
ITEM;2113;36;1.14;52366.13
ITEM;2119;135;0.85;33488.44
ITEM;1615;10;0.51;11719.44
ITEM;1600;7;1.00;19922.63
ITEM;201;289;1.10;98.57
ITEM;1610;22;0.73;14225.81
ITEM;75;86;0.76;162.53
ITEM;1059;29;0.80;7617.23
ITEM;400;147;1.24;2154.90
ITEM;2438;27;0.90;68568.96
ITEM;208;109;0.82;147.51
ITEM;2200;14;1.16;2026900.00
ITEM;8;0;1.25;396.00
ITEM;727;55;1.16;19002.19
ITEM;311;29;0.57;86.44
ITEM;729;35;0.89;14952.19
ITEM;109;260;0.72;3.70
ITEM;353;78;0.69;3471.04
ITEM;406;28;0.80;1.00
ITEM;403;13;1.00;1.22
ITEM;101;331;1.10;2.17
ITEM;168;70;0.97;27.93
ITEM;404;20;0.54;0.71
ITEM;200;25;0.76;64.36
ITEM;2363;28;0.62;540.02
ITEM;300;27;1.15;125.12
ITEM;2192;20;0.78;5542578.00
ITEM;301;5;1.12;31.04
ITEM;2441;2;0.63;66789.84
ITEM;661;13;0.63;9025.95
ITEM;660;2;1.15;8797.69
ITEM;7;0;1.36;259.16
ITEM;738;45;1.20;1323148.00
ITEM;702;26;0.76;8668.13
ITEM;151;230;0.80;10.97
ITEM;204;295;1.06;126.84
ITEM;1110;2;0.65;1664.99
ITEM;1170;11;1.18;3088.35
ITEM;1002;21;1.07;2353.63
ITEM;2124;139;0.66;8434.94
ITEM;1100;9;0.51;1233.63
ITEM;1003;2;1.05;3470.44
ITEM;2118;59;0.77;8768.13
ITEM;1400;6;1.16;5067.25
ITEM;313;2;0.58;201.94
ITEM;2;244;1.05;16.70
ITEM;405;21;1.22;1.46
ITEM;602;1;0.59;14938.27
ITEM;673;23;0.54;46570.50
ITEM;743;32;0.70;132762.30
ITEM;748;9;0.86;159524.10
ITEM;731;32;0.73;137660.50
