// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Imperium Republica 
STATION;type;Civil Housing Facility
STATION;owner;Fonmi Duemelze
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;6
STATION;icon;ad_image_7.png
STATION;filename;sector_14_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-0-2-3-3-7-0-7-1-0-3-0-2-5-1-2-0-4-9-0-8-0
STATION;interior_seed;3-4-45-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;6810.823
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.72;npc_ship_data_(excavation_escort_1).txt
MERC;9;1.96;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (1) Items ;403x632;1376;72436.88
BUYORDER;Market Shortage: (1) Items ;403x122;278;83838.23
BUYORDER;Market Items Req: (1) Items ;405x402;544;53938.23
BUYORDER;Market Items Req: (1) Items ;403x458;804;90420.10

BUYORDER;Request Order: (2) Items ;407x2346,301x2231;36455;52885.03

BUYORDER;Market Low Inventory: (1) Items ;404x273;526;34901.78
ITEM;2023;27;0.83;0
ITEM;2000;575;1.16;0
ITEM;1;588;0.55;0
ITEM;51;150;1.14;0
ITEM;2225;26;1.05;0
ITEM;1766;41;0.85;0
ITEM;2285;45;0.89;0
ITEM;1582;37;0.61;0
ITEM;2250;21;0.77;0
ITEM;1512;25;1.03;0
ITEM;1652;39;0.92;0
ITEM;622;26;0.61;0
ITEM;1113;4;0.75;0
ITEM;2280;26;0.80;0
ITEM;61;2136;1.03;268.6368
ITEM;1067;3;1.05;268.6368
ITEM;2127;78;1.05;268.6368
ITEM;1021;49;1.12;268.6368
ITEM;2115;230;0.82;268.6368
ITEM;641;27;0.92;268.6368
ITEM;1065;44;1.11;268.6368
ITEM;2121;10;0.96;426599.1
ITEM;1403;20;1.04;183731.2
ITEM;1602;26;0.60;183731.2
ITEM;1552;8;1.42;181031.3
ITEM;1562;0;1.32;181031.3
ITEM;737;29;1.05;606595
ITEM;2024;186;0.76;921.0689
ITEM;2210;16;1.09;921.0689
ITEM;401;72;0.58;921.0689
ITEM;310;1;1.05;921.0689
ITEM;2025;28;0.72;921.0689
ITEM;2001;497;0.66;921.0689
ITEM;111;147;1.11;921.0689
ITEM;2026;34;0.75;921.0689
ITEM;2027;29;0.71;921.0689
ITEM;302;47;0.76;921.0689
ITEM;2194;24;1.08;921.0689
ITEM;2028;35;0.81;921.0689
ITEM;153;280;0.92;921.0689
ITEM;169;312;0.93;921.0689
ITEM;40;22;1.11;921.0689
ITEM;2330;3;0.86;921.0689
ITEM;2333;51;0.62;921.0689
ITEM;1620;45;1.18;921.0689
ITEM;2273;49;0.57;921.0689
ITEM;2300;10;1.10;921.0689
ITEM;70;10;0.63;921.0689
ITEM;2029;152;0.82;1601.037
ITEM;1570;35;0.61;1601.037
ITEM;1510;42;1.20;1601.037
ITEM;620;19;0.51;3771.852
ITEM;312;844;1.13;102.2809
ITEM;1007;51;0.85;6811.45
ITEM;1712;57;0.87;6811.45
ITEM;2101;56;0.76;6811.45
ITEM;60;1921;0.88;102.6636
ITEM;2125;134;0.71;102.6636
ITEM;1009;57;0.67;102.6636
ITEM;1055;58;0.52;102.6636
ITEM;2119;126;0.62;102.6636
ITEM;201;303;1.14;102.6636
ITEM;1550;11;1.14;36719.72
ITEM;1560;0;1.41;36719.72
ITEM;736;81;0.77;36719.72
ITEM;2339;19;0.72;36719.72
ITEM;1059;69;0.63;5522.421
ITEM;2131;24;0.84;5522.421
ITEM;208;361;0.86;5522.421
ITEM;115;774;0.95;5522.421
ITEM;664;7;0.60;5522.421
ITEM;665;9;0.89;5522.421
ITEM;311;0;1.27;5522.421
ITEM;729;85;0.85;5522.421
ITEM;109;108;1.01;5522.421
ITEM;406;50;0.77;5522.421
ITEM;403;845;1.13;1.604954
ITEM;205;415;0.94;1.604954
ITEM;2368;47;0.95;1.604954
ITEM;101;818;0.51;1.604954
ITEM;623;21;0.55;1.604954
ITEM;110;473;0.89;14.82857
ITEM;605;6;0.95;14.82857
ITEM;603;27;0.81;14.82857
ITEM;325;25;0.68;14.82857
ITEM;404;16;1.05;14.82857
ITEM;200;388;0.51;40.09022
ITEM;300;7;1.12;40.09022
ITEM;1778;18;0.80;474508.9
ITEM;301;13;1.15;474508.9
ITEM;332;20;0.73;474508.9
ITEM;661;12;0.69;8876.763
ITEM;2381;18;0.62;8876.763
ITEM;108;239;1.20;8876.763
ITEM;660;23;1.02;8876.763
ITEM;112;206;0.94;8876.763
ITEM;2004;435;1.09;415.1378
ITEM;1476;39;0.87;415.1378
ITEM;643;11;1.12;43072.26
ITEM;24;56;0.57;43072.26
ITEM;738;26;0.52;43072.26
ITEM;322;27;1.09;43072.26
ITEM;2343;56;1.08;43072.26
ITEM;2367;11;0.76;43072.26
ITEM;343;2;1.20;43072.26
ITEM;341;8;1.18;43072.26
ITEM;324;804;0.91;2350.063
ITEM;735;62;1.19;2350.063
