// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Horizons
STATION;type;Headquarters
STATION;owner;Serzokom Qireno
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .40, .19, 1
STATION;level;2
STATION;icon;horizons.png
STATION;filename;sector_14_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-4-0-3-0-0-0-1-4-7-1-8-90
STATION;interior_seed;3-4-15-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;26027.13
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.67;npc_ship_data_(transport_escort_1).txt
MERC;8;1.28;npc_ship_data_(recon_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Surplus: (3) Items ;52x374,51x696,62x124;113293;50297.89

BUYORDER;Market Demands: (3) Items ;408x343,408x149,407x397;13748.00;88985.10
BUYORDER;Market Out of Stock: (1) Items ;408x98;2074.00;66149.92
ITEM;1451;0;2.50;81520.58
ITEM;1;53;1.25;8.98
ITEM;41;30;0.77;40.64
ITEM;51;2500;0.25;23.85
ITEM;2334;9;1.01;52133.91
ITEM;61;2500;0.32;89.27
ITEM;2151;21;1.20;1395268.00
ITEM;641;2;0.90;11425.31
ITEM;2270;13;0.85;805002.40
ITEM;76;1946;0.76;334.42
ITEM;163;197;0.97;40.04
ITEM;302;12;0.81;38.38
ITEM;153;50;1.06;16.00
ITEM;169;158;1.09;79.42
ITEM;2361;6;0.92;673.54
ITEM;40;2500;0.30;7.49
ITEM;50;2103;0.77;30.10
ITEM;1520;11;1.06;21853.56
ITEM;1620;19;0.94;29180.34
ITEM;1750;13;1.13;46507.13
ITEM;1570;13;0.55;15149.63
ITEM;620;2;0.94;6808.75
ITEM;60;2500;0.28;35.18
ITEM;1009;4;1.16;10018.50
ITEM;2113;99;0.69;30352.48
ITEM;1055;1;1.01;7298.75
ITEM;1401;15;0.79;11517.49
ITEM;1615;1;0.62;12400.88
ITEM;1560;9;0.58;16542.31
ITEM;1500;20;0.90;19586.24
ITEM;75;2500;0.45;90.50
ITEM;1059;11;1.19;10270.50
ITEM;2131;37;1.12;48412.48
ITEM;2131;-99;1.18;50932.48
ITEM;1590;18;0.92;19053.56
ITEM;2445;11;0.94;15562.85
ITEM;2438;15;0.90;63520.04
ITEM;406;7;1.05;1.49
ITEM;403;763;0.91;1.04
ITEM;101;136;0.60;1.14
ITEM;168;174;0.57;15.63
ITEM;404;11;0.71;0.82
ITEM;300;5;1.22;124.70
ITEM;301;518;0.79;20.81
ITEM;661;3;1.09;13752.81
ITEM;660;7;1.02;7368.75
ITEM;2416;3;0.75;15662.96
ITEM;151;131;0.51;6.57
ITEM;735;5;0.67;5270086.00
ITEM;1001;15;0.52;1215.89
ITEM;1170;15;0.89;2214.43
ITEM;2100;19;0.58;6126.78
ITEM;2124;3;1.13;12789.46
ITEM;1200;11;1.18;4850.71
ITEM;1100;14;0.54;1145.36
ITEM;2130;66;0.60;7592.14
ITEM;2;66;0.79;9.50
ITEM;405;15;1.04;1.18
ITEM;675;31;1.16;64404.62
ITEM;731;14;0.52;91191.89
ITEM;753;28;0.79;135741.90
ITEM;759;26;1.13;191841.90
ITEM;2426;20;0.77;27107.24
ITEM;102;268;1.04;3.34
ITEM;1521;5;0.99;40907.13
ITEM;1581;23;1.12;64549.98
ITEM;621;8;0.52;6770.31
ITEM;2120;26;0.94;119153.10
ITEM;1601;16;1.01;37536.41
ITEM;305;996;0.82;198.84
ITEM;20;195;0.64;14.13
ITEM;304;994;1.18;915.09
ITEM;677;2;0.61;28920.52
ITEM;712;46;1.01;75072.82
ITEM;158;193;1.18;28.59
ITEM;155;153;0.50;9.44
ITEM;104;29;0.66;2.58
ITEM;166;14;0.97;58.62
ITEM;672;46;1.15;28384.28
ITEM;676;30;1.00;15490.17
ITEM;732;17;0.67;10540.17
ITEM;756;30;1.24;19090.17
