// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Crystalis Broadcasting
STATION;type;Communications Hub
STATION;owner;Xapaeda Akhas
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;2
STATION;icon;crystalis.png
STATION;filename;sector_15_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-1-5-4-2-8-0-7-7-3-1-90
STATION;interior_seed;4-3-15-7
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.42;npc_ship_data_(support_utility_1).txt
MERC;3;1.05;npc_ship_data_(excavation_carrier_1).txt
MERC;5;1.20;npc_ship_data_(excavation_escort_1).txt
MERC;7;1.56;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Inventory: (1) Items ;121x138;4366;72429.48
ITEM;1110;26;0.94;0
ITEM;1401;9;1.12;16154.82
ITEM;1200;8;0.74;16154.82
ITEM;1002;19;1.00;16154.82
ITEM;1300;18;0.93;16154.82
ITEM;1121;8;1.21;16154.82
ITEM;1151;7;1.07;16154.82
ITEM;1470;10;0.94;16154.82
ITEM;1054;6;1.20;16154.82
ITEM;1059;10;0.65;5743.77
ITEM;1057;1;1.23;5743.77
ITEM;1008;4;0.88;5743.77
ITEM;1621;12;1.16;5743.77
ITEM;1550;7;1.17;5743.77
ITEM;1531;11;0.96;5743.77
ITEM;1600;26;0.67;5743.77
ITEM;1571;11;0.92;5743.77
ITEM;1640;17;1.18;5743.77
ITEM;1650;7;0.60;5743.77
ITEM;1540;22;0.62;5743.77
ITEM;1630;23;0.81;5743.77
ITEM;1611;9;0.66;5743.77
ITEM;1501;7;0.64;28008.91
ITEM;1750;16;0.92;28008.91
ITEM;1601;7;0.51;28008.91
ITEM;1530;12;1.06;28008.91
ITEM;1591;11;1.01;28008.91
ITEM;1541;5;1.04;49296.51
ITEM;2130;50;0.63;49296.51
ITEM;2127;56;0.59;49296.51
ITEM;2123;62;1.08;49296.51
ITEM;62;66;0.82;49296.51
ITEM;53;98;0.55;49296.51
ITEM;43;45;1.02;49296.51
ITEM;2124;4;0.68;49296.51
ITEM;2651;82;0.69;49296.51
ITEM;2111;16;0.75;49296.51
ITEM;2116;7;1.15;49296.51
ITEM;2112;47;0.77;9604.658
ITEM;2117;98;0.75;9604.658
ITEM;78;31;0.91;9604.658
ITEM;757;7;0.57;26840.08
ITEM;677;38;0.90;26840.08
ITEM;750;38;1.13;26840.08
ITEM;733;35;0.93;26840.08
ITEM;744;6;1.05;26840.08
ITEM;742;27;1.05;26840.08
ITEM;703;10;1.00;26840.08
ITEM;751;12;0.63;26840.08
ITEM;678;22;0.80;26840.08
ITEM;741;15;0.75;26840.08
ITEM;680;40;1.22;26840.08
ITEM;752;3;1.19;26840.08
ITEM;726;20;0.64;26840.08
ITEM;721;9;0.90;5559.708
ITEM;621;1;1.08;5559.708
ITEM;600;3;1.09;5559.708
ITEM;640;4;0.65;5559.708
