// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Rendo Labs
STATION;type;Beam Research Facility
STATION;owner;Bomene Janfonve
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;2
STATION;icon;rendo_labs.png
STATION;filename;sector_16_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-0-3-5-3-6-0-4-8-2-8-90
STATION;interior_seed;3-9-15-4
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;26528.64
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;1.33;npc_ship_data_(transport_cruiser_1).txt
MERC;3;0.63;npc_ship_data_(excavation_frigate_1).txt
MERC;9;1.98;npc_ship_data_(pirate_shuttle_1).txt
MERC;7;1.34;npc_ship_data_(support_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (2) Items ;21x745,302x153;59618;69518.38
BUYORDER;Market Low Inventory: (2) Items ;28x30,301x150;60078.00;83785.94
BUYORDER;Market Out of Stock: (3) Items ;22x69,302x243,21x159;33201.00;43653.04
BUYORDER;Market Shortage: (3) Items ;23x107,24x58,21x256;37384.00;37868.04
ITEM;1;157;0.65;4.78
ITEM;41;62;1.01;52.81
ITEM;51;78;1.06;92.24
ITEM;2320;1;1.17;7833266.00
ITEM;2285;11;0.50;639776.30
ITEM;2250;14;0.65;918149.40
ITEM;2115;74;1.04;552134.10
ITEM;641;6;0.94;11921.05
ITEM;2240;7;1.10;1468558.00
ITEM;2210;1;0.71;749092.00
ITEM;76;30;0.76;334.61
ITEM;2053;150;0.25;1448.81
ITEM;163;75;1.19;48.84
ITEM;302;0;2.50;144.20
ITEM;2054;150;0.25;1593.69
ITEM;153;45;0.80;12.20
ITEM;2345;18;0.90;136.24
ITEM;167;49;0.86;57.44
ITEM;2055;150;0.25;1753.06
ITEM;169;130;0.93;68.13
ITEM;2330;10;0.93;7705.18
ITEM;50;95;0.53;21.12
ITEM;1520;11;0.95;19662.94
ITEM;2299;11;1.01;312944.10
ITEM;70;88;0.98;126.64
ITEM;1750;18;0.66;27725.88
ITEM;1640;15;0.81;21078.67
ITEM;1580;15;0.58;17168.11
ITEM;1650;17;0.74;19328.67
ITEM;620;6;1.24;8912.03
ITEM;1007;9;0.89;7108.23
ITEM;1111;10;0.76;6107.23
ITEM;1630;19;0.97;25078.67
ITEM;1008;6;1.00;7232.03
ITEM;2304;7;1.21;372944.10
ITEM;1057;12;0.63;5106.23
ITEM;2295;5;0.84;261944.00
ITEM;1101;12;0.59;4362.03
ITEM;1009;12;0.63;5570.43
ITEM;2119;36;0.64;23560.14
ITEM;1401;7;0.55;8164.06
ITEM;1560;17;1.17;32484.96
ITEM;1610;7;1.01;17733.50
ITEM;2131;90;0.62;27432.17
ITEM;1590;13;0.90;18662.94
ITEM;2056;150;0.25;1928.37
ITEM;406;14;0.74;0.85
ITEM;403;13;1.01;1.15
ITEM;101;14;1.11;2.06
ITEM;168;191;0.78;21.09
ITEM;404;12;0.58;0.67
ITEM;300;8;1.05;134.78
ITEM;301;0;2.50;80.11
ITEM;28;0;2.50;4638.54
ITEM;2059;101;0.53;5104.78
ITEM;661;2;1.00;12656.05
ITEM;660;8;0.65;4782.03
ITEM;24;18;1.05;237.47
ITEM;27;43;1.08;1197.83
ITEM;735;18;0.87;6773602.00
ITEM;1001;6;0.56;1304.92
ITEM;1110;18;0.59;1370.92
ITEM;1002;2;0.52;1106.29
ITEM;1100;8;0.57;1206.29
ITEM;1054;4;1.01;2503.55
ITEM;2;19;0.92;11.01
ITEM;405;1;0.68;0.78
ITEM;681;30;1.08;90164.90
ITEM;679;25;1.12;93404.90
ITEM;29;0;2.50;7885.53
ITEM;102;113;0.95;3.06
ITEM;1521;5;0.74;30925.88
ITEM;741;3;0.98;45591.61
ITEM;1751;18;1.15;94651.75
ITEM;1641;12;1.06;54657.34
ITEM;1581;5;0.66;38816.23
ITEM;1651;9;0.87;45157.34
ITEM;621;4;0.90;11431.05
ITEM;1541;6;0.76;36484.75
ITEM;2126;59;1.11;154039.00
ITEM;2120;79;1.01;127785.50
ITEM;2120;-99;1.05;132685.50
ITEM;757;27;0.60;28491.61
ITEM;1616;10;0.83;32799.58
ITEM;1601;6;0.84;31433.29
ITEM;1551;7;0.90;46657.34
ITEM;1591;2;0.52;22125.87
ITEM;305;19;1.21;289.90
ITEM;20;48;1.03;27.91
ITEM;304;2;0.78;613.60
ITEM;2428;16;1.21;50798.71
ITEM;690;4;0.75;5482.03
ITEM;158;16;0.76;18.70
ITEM;155;119;1.05;19.19
ITEM;104;87;0.66;2.59
ITEM;166;88;0.83;50.46
ITEM;732;29;0.72;11297.20
ITEM;711;19;1.05;25995.52
ITEM;157;175;0.57;12.93
ITEM;23;0;2.50;326.68
ITEM;160;46;0.60;18.99
ITEM;161;9;0.99;33.76
ITEM;2057;56;0.66;5192.72
ITEM;728;25;0.97;15047.20
ITEM;25;29;1.05;403.70
ITEM;601;9;0.98;12411.05
ITEM;150;155;0.74;8.50
ITEM;303;4;0.79;752.26
ITEM;407;17;0.80;4.58
ITEM;103;10;1.10;2.45
ITEM;165;84;1.00;54.91
ITEM;2116;56;1.23;2274612.00
ITEM;2180;14;0.56;1780182.00
ITEM;2241;4;1.14;3040797.00
ITEM;600;6;0.78;5692.03
ITEM;2315;14;1.00;13290170.00
ITEM;2111;4;0.84;5044524.00
ITEM;62;11;0.70;417.55
ITEM;2123;78;0.54;3010275.00
ITEM;164;179;1.14;18.90
ITEM;154;178;0.73;33.52
ITEM;114;69;0.77;2.08
ITEM;21;0;2.50;113.04
ITEM;2050;78;0.50;2049.60
ITEM;2058;150;0.25;2333.32
ITEM;2440;19;1.01;85962.60
ITEM;721;17;0.68;4278.88
ITEM;722;29;0.75;4698.88
ITEM;703;25;1.05;7582.03
ITEM;723;1;0.95;5898.88
ITEM;159;157;0.63;32.04
ITEM;725;9;0.97;15047.20
ITEM;710;4;0.73;6105.18
ITEM;2344;13;0.99;136.08
ITEM;156;96;0.55;11.37
ITEM;640;4;0.64;4712.03
ITEM;2051;150;0.25;1197.36
ITEM;749;16;1.08;278286.70
ITEM;734;38;0.73;190786.70
ITEM;760;2;0.83;215786.70
ITEM;2170;11;0.98;8860000.00
ITEM;1300;7;0.80;11664.06
ITEM;22;14;1.05;82.17
ITEM;2052;86;0.44;2200.91
ITEM;100;271;0.52;0.83
ITEM;26;22;1.05;686.30
ITEM;408;18;0.97;12.14
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;210;1.35
SKILL;210;1.75
SKILL;42;1.43
SKILL;41;0.78
SKILL;220;1.12
SKILL;61;1.68
SKILL;223;1.67
SKILL;12;0.51
SKILL;4;1.44
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;80;60;336183;RECOVER#1#1583#sector_36.txt#sector_77_station_0.txt#null#null#null#null;Recover a light quantity of <color='yellow'>1</color> <color='yellow'>Premium Energy Generator</color> in <color='cyan'>Beacon Spita</color>, and return to Lacuna Bandits in <color='cyan'>Ballast Crow</color>;1;The Science faction has lost track of a light crate somewhere in the <color='cyan'>Beacon Spita</color> system. Head over there and recover the crate containing <color='yellow'>1</color> units of <color='yellow'>Premium Energy Generator</color>, and dock at the Lacuna Bandits in the <color='cyan'>Ballast Crow</color> sector. <i>Hinjag Welifast</i> has been instructed to wait for the lost cargo at the Lacuna Bandits station.;7412;2813
