// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Holosynth Industries
STATION;type;Scientific Analysis Facility
STATION;owner;Enolindo Yelbo
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;5
STATION;icon;ad_image_5.png
STATION;filename;sector_17_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-4-6-3-5-0-2-5-3-4-0-4-9-2-2-1-7-5-2-2-90
STATION;interior_seed;3-1-30-5
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.52;npc_ship_data_(recon_escort_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;4;1.80;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.16;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (3) Items ;3x477,5x195,2x358;24688;102942.20
BUYORDER;Market Shortage: (3) Items ;6x85,2x243,4x426;42024;88662.55
BUYORDER;Market Low Inventory: (1) Items ;3x308;11899;32553.54
ITEM;1074;31;0.74;278642.4
ITEM;1060;1;1.14;278642.4
ITEM;1114;3;0.89;278642.4
ITEM;1026;1;1.00;310955.8
ITEM;1062;5;0.92;25765.02
ITEM;1170;48;0.93;25765.02
ITEM;1064;6;0.56;25765.02
ITEM;1009;37;0.92;25765.02
ITEM;1152;19;1.20;25765.02
ITEM;1102;26;0.96;25765.02
ITEM;1460;5;1.23;25765.02
ITEM;1123;16;0.63;25765.02
ITEM;1059;20;0.93;25765.02
ITEM;1200;40;0.60;25765.02
ITEM;1161;28;0.79;25765.02
ITEM;1450;30;1.09;25765.02
ITEM;1300;18;1.06;25765.02
ITEM;1401;7;0.85;25765.02
ITEM;1001;28;0.61;25765.02
ITEM;1008;38;0.91;25765.02
ITEM;1113;46;1.15;25765.02
ITEM;1054;40;0.89;2222.019
ITEM;1007;1;0.51;2222.019
ITEM;1400;44;1.22;2222.019
ITEM;1772;10;1.02;1059865
ITEM;1571;15;0.58;1059865
ITEM;1583;15;1.06;244461.2
ITEM;1534;10;1.15;244461.2
ITEM;1561;6;0.68;244461.2
ITEM;1778;4;1.09;244461.2
ITEM;1765;36;1.15;244461.2
ITEM;1754;18;1.12;739130.9
ITEM;1776;28;0.89;498642.7
ITEM;1520;5;1.10;22653.28
ITEM;1584;49;0.59;22653.28
ITEM;1731;10;0.80;22653.28
ITEM;1574;16;0.52;22653.28
ITEM;1630;15;1.16;22653.28
ITEM;1775;26;1.07;22653.28
ITEM;1654;35;0.84;347284.4
ITEM;1530;26;1.16;347284.4
ITEM;1550;37;0.98;347284.4
ITEM;1732;14;0.96;347284.4
ITEM;1701;35;1.17;347284.4
ITEM;1581;6;1.11;347284.4
ITEM;1620;6;1.17;35945.18
ITEM;1572;26;1.00;35945.18
ITEM;1616;10;1.23;35945.18
ITEM;1622;4;0.59;35945.18
ITEM;2115;38;1.20;35945.18
ITEM;2114;114;0.53;35945.18
ITEM;61;191;0.64;35945.18
ITEM;2119;105;0.62;35945.18
ITEM;2130;102;0.55;35945.18
ITEM;2131;232;1.18;35945.18
ITEM;52;152;0.86;35945.18
ITEM;62;113;0.75;35945.18
ITEM;50;94;0.63;35945.18
ITEM;2120;87;0.70;35945.18
ITEM;2116;195;0.64;1212396
ITEM;41;127;1.01;1212396
ITEM;53;148;0.66;1212396
ITEM;2122;1;1.08;1212396
ITEM;2118;226;0.97;1212396
ITEM;2128;248;1.06;1808054
ITEM;60;1;1.08;1808054
ITEM;2125;55;0.67;1808054
ITEM;51;153;0.90;1808054
ITEM;76;235;0.74;1808054
ITEM;75;92;1.07;207.4502
ITEM;2117;54;0.63;207.4502
ITEM;2126;174;0.51;207.4502
ITEM;711;45;0.97;207.4502
ITEM;679;75;0.83;207.4502
ITEM;692;78;1.00;207.4502
ITEM;731;33;0.57;99339.9
ITEM;677;87;0.68;99339.9
ITEM;725;29;1.16;99339.9
ITEM;736;68;0.87;224940
ITEM;743;44;1.08;224940
ITEM;756;64;1.22;224940
ITEM;700;3;1.14;10538.83
ITEM;757;69;0.75;10538.83
ITEM;712;82;0.53;10538.83
ITEM;745;3;0.62;10538.83
ITEM;702;83;1.03;10538.83
ITEM;721;39;0.97;10538.83
ITEM;752;41;0.80;10538.83
ITEM;737;91;0.62;10538.83
ITEM;671;5;0.78;10538.83
ITEM;748;47;0.57;10538.83
ITEM;740;93;0.78;10538.83
ITEM;750;2;1.10;10538.83
ITEM;729;44;0.81;12589.73
ITEM;693;80;1.18;12589.73
ITEM;744;81;1.22;12589.73
ITEM;663;3;0.79;12589.73
ITEM;623;4;1.03;39686.49
ITEM;640;3;1.05;7550.105
ITEM;601;17;0.94;11944.54
ITEM;643;3;0.54;11944.54
ITEM;644;17;0.72;11944.54
ITEM;624;21;0.76;11944.54
ITEM;620;16;0.74;11944.54
ITEM;602;24;0.79;11944.54
ITEM;641;15;0.91;11944.54
ITEM;664;20;1.13;11944.54
ITEM;600;20;1.02;7377.551
ITEM;661;6;1.09;7377.551
ITEM;622;22;0.82;7377.551
ITEM;642;6;0.83;7377.551
ITEM;621;24;0.65;7377.551
ITEM;603;24;0.84;7377.551
ITEM;660;3;1.08;7809.761
ITEM;662;6;0.67;15107.05
ITEM;604;12;1.23;15107.05
ITEM;305;47;0.54;133.9303
ITEM;313;21;1.22;133.9303
ITEM;303;32;0.97;133.9303
ITEM;325;40;0.56;191.6215
ITEM;405;46;1.08;191.6215
ITEM;404;12;1.07;191.6215
ITEM;311;25;1.07;191.6215
ITEM;310;11;0.96;135.0095
ITEM;407;9;0.61;135.0095
ITEM;403;10;1.12;135.0095
ITEM;321;6;0.72;135.0095
ITEM;304;31;0.65;135.0095
ITEM;300;37;1.10;135.0095
ITEM;322;34;1.02;135.0095
ITEM;330;1;0.62;135.0095
ITEM;301;26;1.05;27.26642
ITEM;333;21;1.07;27.26642
ITEM;332;44;0.79;2859.523
ITEM;408;11;0.90;2859.523
ITEM;320;14;0.61;2859.523
ITEM;406;29;0.72;2859.523
ITEM;323;37;1.16;2859.523
ITEM;331;47;0.61;2859.523
ITEM;22;187;0.63;2859.523
ITEM;24;195;0.63;2859.523
ITEM;4;247;1.08;43.59337
ITEM;20;37;0.56;43.59337
ITEM;1;455;1.10;43.59337
ITEM;2;333;0.71;43.59337
ITEM;3;20;0.72;43.59337
ITEM;21;215;1.11;43.59337
ITEM;23;233;1.13;120.1758
ITEM;5;474;0.81;120.1758
ITEM;103;683;0.59;120.1758
ITEM;109;523;1.11;120.1758
ITEM;118;619;0.51;120.1758
ITEM;105;249;0.74;120.1758
ITEM;104;32;1.12;4.284199
ITEM;108;408;1.11;4.284199
ITEM;114;661;1.01;4.284199
ITEM;110;254;1.09;4.284199
ITEM;100;198;0.75;4.284199
ITEM;113;633;0.69;4.284199
ITEM;2000;85;0.76;15.25351
ITEM;101;624;0.70;15.25351
ITEM;102;424;1.24;15.25351
ITEM;107;542;0.57;15.25351
ITEM;106;511;1.11;15.25351
ITEM;204;207;0.53;15.25351
ITEM;209;142;1.01;15.25351
ITEM;155;67;1.17;15.25351
ITEM;153;232;0.85;15.25351
ITEM;2004;149;0.87;15.25351
ITEM;154;150;0.83;37.87574
ITEM;158;449;0.56;37.87574
ITEM;170;21;1.13;37.87574
ITEM;161;248;0.62;37.87574
ITEM;214;54;0.86;194.7308
ITEM;202;255;0.99;91.82072
ITEM;2005;298;0.72;91.82072
ITEM;160;499;0.63;91.82072
ITEM;2001;256;1.16;331.997
ITEM;2002;407;0.54;331.997
ITEM;201;176;0.71;331.997
ITEM;2008;170;0.75;331.997
ITEM;2003;25;0.70;245.4954
ITEM;2006;185;0.78;245.4954
ITEM;2009;2;0.61;245.4954
ITEM;151;296;0.87;245.4954
ITEM;2007;497;0.76;245.4954
ITEM;218;2;0.64;213.2698
ITEM;217;237;0.93;213.2698
ITEM;159;260;1.05;213.2698
ITEM;215;98;1.11;213.2698
ITEM;150;71;0.90;213.2698
ITEM;203;149;0.83;85.4071
ITEM;2210;46;0.60;85.4071
ITEM;2171;35;1.06;85.4071
ITEM;2214;36;0.55;85.4071
ITEM;2458;28;1.11;85.4071
ITEM;2429;13;0.70;85.4071
ITEM;2203;4;1.13;7278972
ITEM;2462;11;0.93;7278972
ITEM;2303;2;1.18;363544.8
ITEM;2406;41;0.74;363544.8
ITEM;2327;30;0.67;363544.8
ITEM;2438;41;0.66;363544.8
ITEM;2435;39;0.53;363544.8
ITEM;2459;2;1.21;1587259
ITEM;2397;49;1.10;1587259
ITEM;2441;11;0.70;1587259
ITEM;2333;43;0.83;1587259
ITEM;2223;36;1.07;1587259
ITEM;2253;39;1.07;1587259
ITEM;2289;38;1.15;1587259
ITEM;2465;38;1.08;1587259
ITEM;2291;16;1.07;1587259
ITEM;2162;36;0.90;1587259
ITEM;2326;39;1.07;6611478
ITEM;2455;11;0.65;6611478
ITEM;2468;9;0.57;6611478
ITEM;2386;2;0.94;3584.977
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;226;1.00
SKILL;230;0.66
SKILL;32;1.44
SKILL;43;1.59
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.06;ship_data_(pirate_carrier_1).txt
SHIP;2;0.93;ship_data_(support_escort_1).txt
SHIP;3;0.93;ship_data_(battle_cruiser_1).txt
SHIP;4;1.05;ship_data_(recon_escort_1).txt
SHIP;5;0.93;ship_data_(transport_frigate_1).txt
SHIP;6;0.91;ship_data_(pirate_shuttle_1).txt
SHIP;7;1.01;ship_data_(support_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
