// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Quantex
STATION;type;Production Factory
STATION;owner;Binohom Xadnortisfall
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;ad_image_11.png
STATION;filename;sector_1_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-6-0-1-7-0-1-8-1-0-1-6-3-1-7-90
STATION;interior_seed;4-0-45-4
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;25455.19
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.95;npc_ship_data_(excavation_escort_1).txt
MERC;5;0.66;npc_ship_data_(recon_shuttle_1).txt
MERC;1;1.13;npc_ship_data_(battle_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (3) Items ;52x413,77x488,52x292;190389;103791.90
SELLORDER;Market Surplus: (2) Items ;75x400,40x452;36804;110745.90
SELLORDER;For Sale: (2) Items ;202x376,170x113;39177;48561.31
SELLORDER;Market Supply: (1) Items ;42x231;16256.00;79982.28
ITEM;1;10;1.17;8.84
ITEM;41;128;0.70;40.14
ITEM;51;134;0.65;62.67
ITEM;1532;20;0.56;65273.44
ITEM;2314;26;1.11;8840978.00
ITEM;2285;17;0.61;843281.30
ITEM;1572;12;0.52;63724.37
ITEM;1512;4;0.65;65360.63
ITEM;2290;9;0.69;939281.30
ITEM;622;8;1.06;24712.32
ITEM;1632;6;0.81;90273.44
ITEM;2280;29;0.61;843281.30
ITEM;1020;0;2.50;277908.70
ITEM;61;48;0.70;200.66
ITEM;2127;146;0.81;425752.10
ITEM;641;3;0.61;8608.50
ITEM;1552;1;1.23;132273.40
ITEM;1502;18;0.97;89269.69
ITEM;76;2500;0.25;144.59
ITEM;310;2;0.59;93.28
ITEM;163;151;1.12;48.42
ITEM;302;76;1.04;51.58
ITEM;153;65;1.21;19.07
ITEM;40;2500;0.25;7.71
ITEM;2330;5;1.15;9941.88
ITEM;50;129;0.83;34.60
ITEM;2300;29;1.05;342820.30
ITEM;70;62;1.13;152.84
ITEM;2305;29;0.79;423712.50
ITEM;1570;12;0.57;17231.09
ITEM;1580;16;0.94;28916.56
ITEM;620;1;0.87;6739.14
ITEM;312;23;0.87;67.99
ITEM;1111;26;1.15;9569.06
ITEM;1008;0;2.50;22686.43
ITEM;60;2500;0.25;38.56
ITEM;1057;11;1.18;9800.06
ITEM;2125;79;0.84;35910.27
ITEM;2161;18;1.12;84891.41
ITEM;1161;25;0.59;5257.06
ITEM;2294;25;0.52;183820.30
ITEM;1101;15;0.66;5269.14
ITEM;1055;15;1.21;9119.14
ITEM;1401;6;0.96;14738.28
ITEM;1615;20;0.68;14681.95
ITEM;201;256;0.75;68.83
ITEM;1500;9;1.20;27147.42
ITEM;75;101;1.18;238.64
ITEM;1590;17;0.91;20054.69
ITEM;400;248;0.67;1220.38
ITEM;2445;29;1.22;21003.75
ITEM;311;8;0.68;98.69
ITEM;109;409;0.66;3.37
ITEM;406;22;0.90;1.09
ITEM;403;2;1.12;1.33
ITEM;205;225;1.06;137.84
