// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Monarch Society
STATION;type;Organization Center
STATION;owner;Lowwogo Fonak
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;4
STATION;icon;ad_image_9.png
STATION;filename;sector_22_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;6
STATION;seed;2-6-0-1-6-1-8-0-5-3-2-3-0
STATION;interior_seed;5-3-30-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;50591.22
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.28;npc_ship_data_(excavation_shuttle_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.92;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (3) Items ;106x148,117x402,116x153;36778.00;106463.00
BUYORDER;Market Low Inventory: (2) Items ;104x455,100x494;2403.00;87064.83
BUYORDER;Market Shortage: (3) Items ;101x157,120x302,111x118;56399.00;77267.02
ITEM;2000;0;1.27;31.45
ITEM;1;157;1.12;8.06
ITEM;1622;1;0.65;81768.00
ITEM;1642;22;0.82;85140.00
ITEM;1572;15;0.66;71905.60
ITEM;2250;21;0.79;1103962.00
ITEM;2290;13;0.61;769680.00
ITEM;622;17;0.89;19752.97
ITEM;1113;10;1.04;101059.80
ITEM;1020;33;0.89;79010.05
ITEM;61;60;1.21;314.24
ITEM;1067;11;0.91;88797.55
ITEM;2127;119;0.63;311932.80
ITEM;1103;3;1.23;108165.10
ITEM;1021;37;0.61;66000.06
ITEM;641;11;0.90;11409.65
ITEM;2121;107;0.89;395050.30
ITEM;1403;28;1.14;200895.10
ITEM;1612;36;0.87;61295.20
ITEM;1502;19;0.75;65637.60
ITEM;310;18;1.23;172.33
ITEM;111;0;1.21;35.85
ITEM;302;8;0.91;42.87
ITEM;167;304;0.85;56.68
ITEM;2437;37;1.03;65714.45
ITEM;169;301;0.88;64.47
ITEM;2301;6;0.73;228420.00
ITEM;1720;21;1.05;27035.00
ITEM;2329;2;0.96;14871.00
ITEM;2316;10;0.95;3886733.00
ITEM;1640;33;0.67;17535.00
ITEM;1570;18;0.72;19536.40
ITEM;620;9;0.85;6169.80
ITEM;312;32;0.90;65.78
ITEM;1111;1;1.02;8095.78
ITEM;1630;2;0.95;24535.00
ITEM;1711;27;1.11;28535.00
ITEM;1540;14;0.95;22572.20
ITEM;60;135;0.91;105.91
ITEM;1730;26;0.77;20035.00
ITEM;2125;132;0.63;25463.90
ITEM;1201;15;1.18;16959.60
ITEM;2294;38;0.80;249420.00
ITEM;2295;24;1.18;363420.00
ITEM;2113;122;1.16;50038.80
ITEM;1401;20;0.96;13879.60
ITEM;201;56;0.87;73.63
ITEM;1560;7;0.85;23797.80
ITEM;1500;19;0.53;11789.40
ITEM;75;60;1.22;234.64
ITEM;1059;4;1.00;8663.76
ITEM;2131;38;0.74;32398.80
ITEM;208;200;0.52;87.76
ITEM;2200;20;0.62;1042240.00
ITEM;115;0;1.35;47.77
ITEM;727;27;0.79;12361.42
