// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;PharmaLife
STATION;type;Distribution Warehouse
STATION;owner;Fura Geegacie
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;3
STATION;icon;ad_image_10.png
STATION;filename;sector_23_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-3-0-6-4-0-9-1-4-1-3-1-1-5-4-1-1-1-2-7-3-9-90
STATION;interior_seed;5-0-45-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;49890.29
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.97;npc_ship_data_(battle_carrier_1).txt
MERC;8;1.89;npc_ship_data_(pirate_utility_1).txt
MERC;4;1.77;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (3) Items ;121x837,106x353,112x480;50217;98247.38
SELLORDER;Market Surplus: (2) Items ;103x219,119x394;16668;105991.40
SELLORDER;Market Stock: (3) Items ;119x369,121x510,124x544;75742.00;118157.90
SELLORDER;Market Stock: (3) Items ;117x189,118x108,119x398;30163.00;59390.93
SELLORDER;Market Stock: (2) Items ;2000x381,107x397;11135.00;93789.93
BUYORDER;Market Needs Goods: (1) Items ;312x49;6512.00;85452.03
ITEM;2000;30;0.66;13.26
ITEM;1;0;0.85;6.17
ITEM;2331;19;0.65;27256.00
ITEM;2334;17;0.92;47570.00
ITEM;1752;0;1.26;258416.00
ITEM;2320;6;1.11;7431254.00
ITEM;1572;14;0.87;93745.60
ITEM;1512;25;0.53;49403.20
ITEM;1652;9;0.73;76140.00
ITEM;2290;16;1.14;1405680.00
ITEM;622;6;0.68;15250.99
ITEM;1542;10;0.91;86608.80
ITEM;61;73;1.10;286.39
ITEM;2115;90;1.23;648990.30
ITEM;641;10;0.81;10307.15
ITEM;2121;17;0.51;232125.30
ITEM;1617;12;1.03;80666.40
ITEM;1602;15;0.58;44020.80
ITEM;1552;6;1.03;106140.00
ITEM;1502;3;0.64;56397.60
ITEM;2210;3;0.94;979171.20
ITEM;310;14;1.05;184.68
ITEM;163;129;1.22;49.97
ITEM;111;41;0.72;17.26
ITEM;2408;2;0.75;11037.28
ITEM;302;10;1.01;47.43
ITEM;153;0;1.10;16.56
ITEM;167;19;0.63;42.53
ITEM;2437;17;0.66;42806.65
ITEM;169;203;1.01;73.67
ITEM;2361;9;0.95;693.85
ITEM;40;129;0.91;21.18
ITEM;50;141;1.18;45.43
ITEM;1520;15;0.83;17228.00
ITEM;1620;29;1.11;34242.00
ITEM;1720;10;1.18;30285.00
ITEM;70;6;0.97;125.06
ITEM;1750;0;1.24;63707.11
ITEM;2319;22;0.73;2832691.00
ITEM;1570;29;0.67;18236.40
ITEM;1510;19;0.95;21590.80
ITEM;620;5;1.12;8059.80
ITEM;312;5;1.05;95.46
ITEM;1111;25;0.84;6709.78
ITEM;1171;16;0.75;6563.76
ITEM;2101;28;0.63;23149.00
ITEM;2125;107;0.70;28158.90
ITEM;1201;8;0.95;13739.60
ITEM;1101;10;0.63;4629.80
ITEM;1009;0;1.06;9167.76
ITEM;2113;9;0.72;31558.80
ITEM;1055;7;0.80;5819.80
ITEM;201;33;0.87;73.63
ITEM;1500;27;0.55;12209.40
ITEM;75;28;1.24;238.39
ITEM;2131;82;0.77;33658.80
ITEM;1590;6;0.90;18628.00
ITEM;2326;7;0.88;5468400.00
ITEM;115;42;0.65;18.92
ITEM;727;40;1.08;16671.00
ITEM;311;6;1.15;188.60
ITEM;116;35;0.75;44.72
ITEM;109;48;0.86;3.99
ITEM;406;0;0.70;0.80
ITEM;403;24;1.05;1.49
ITEM;205;151;1.16;142.47
ITEM;101;125;0.59;1.12
ITEM;168;185;0.97;25.98
ITEM;110;43;0.81;13.55
ITEM;404;0;1.05;1.49
ITEM;200;30;0.57;44.65
ITEM;300;29;0.92;94.71
ITEM;301;6;1.07;27.87
ITEM;661;7;0.61;7857.15
ITEM;108;28;0.69;9.69
