// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Nostra
STATION;type;Civil Housing Facility
STATION;owner;Yitwo Yanlespea
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;8
STATION;icon;nostra.png
STATION;filename;sector_27_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-6-0-5-7-1-8-1-6-0-2-9-1-4-2-2-9-1-3-3-3-0-90
STATION;interior_seed;4-6-15-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;49754.54
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.83;npc_ship_data_(support_escort_1).txt
MERC;8;1.54;npc_ship_data_(pirate_carrier_1).txt
MERC;8;0.81;npc_ship_data_(recon_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (1) Items ;2024x266;243123.00;73570.20
ITEM;2023;108;1.05;1147.646
ITEM;2000;631;0.97;1147.646
ITEM;1;0;0.58;4.2798
ITEM;41;383;0.51;4.2798
ITEM;51;205;1.04;4.2798
ITEM;1622;23;0.86;4.2798
ITEM;2275;5;1.09;4.2798
ITEM;1752;56;0.80;4.2798
ITEM;1771;19;0.59;4.2798
ITEM;1766;64;1.21;4.2798
ITEM;2311;41;1.02;4.2798
ITEM;1582;0;0.64;75196.8
ITEM;622;7;0.65;14607.85
ITEM;1542;8;0.51;49808.8
ITEM;61;0;0.94;245.8905
ITEM;2127;123;1.06;245.8905
ITEM;1163;76;1.25;245.8905
ITEM;1021;16;0.54;245.8905
ITEM;2115;339;0.91;245.8905
ITEM;641;22;1.00;12634.65
ITEM;1552;0;1.17;150175
ITEM;1562;0;1.18;150175
ITEM;737;153;0.84;150175
ITEM;2024;34;0.81;150175
ITEM;1502;16;1.14;150175
ITEM;667;5;0.68;250310.4
ITEM;310;55;1.05;250310.4
ITEM;2025;43;0.81;250310.4
ITEM;2001;203;0.60;250310.4
ITEM;2355;5;1.13;250310.4
ITEM;111;339;0.72;17.36485
ITEM;2026;150;0.62;17.36485
ITEM;2027;291;1.24;17.36485
ITEM;302;48;0.63;17.36485
ITEM;2028;150;1.02;17.36485
ITEM;351;0;0.56;3276.9
ITEM;167;284;0.90;3276.9
ITEM;2360;54;0.78;3276.9
ITEM;2361;1;1.04;3276.9
ITEM;40;327;0.58;3276.9
ITEM;50;344;1.01;3276.9
ITEM;1722;69;0.76;3276.9
ITEM;2029;150;0.78;3276.9
ITEM;2310;16;1.18;3276.9
ITEM;1640;15;0.55;14535
ITEM;1510;57;0.50;14535
ITEM;620;16;0.75;5469.8
ITEM;312;43;1.21;5469.8
ITEM;1111;28;0.84;6709.78
ITEM;1710;63;0.61;6709.78
ITEM;2336;15;0.55;6709.78
ITEM;2125;375;0.70;6709.78
ITEM;1201;51;0.52;6709.78
ITEM;1101;0;1.18;8479.8
ITEM;1009;36;0.57;8479.8
ITEM;2113;207;0.80;8479.8
ITEM;2113;-99;0.95;8479.8
ITEM;2119;178;0.60;8479.8
ITEM;1550;0;1.18;8479.8
ITEM;1560;0;1.19;8479.8
ITEM;1610;35;1.23;8479.8
ITEM;2131;227;0.78;8479.8
ITEM;400;160;0.74;1234.24
ITEM;2438;49;0.65;1234.24
ITEM;8;755;1.12;1234.24
ITEM;115;703;0.82;1234.24
ITEM;665;23;0.82;1234.24
ITEM;727;4;0.53;1234.24
ITEM;311;47;1.05;1234.24
ITEM;116;204;1.08;1234.24
ITEM;109;89;1.01;1234.24
ITEM;353;22;0.87;1234.24
ITEM;406;0;1.24;1.39854
ITEM;403;35;1.05;1.39854
ITEM;205;628;1.03;1.39854
ITEM;101;1043;0.78;1.39854
ITEM;623;35;0.66;25938.56
ITEM;606;7;0.64;25938.56
ITEM;110;842;0.76;25938.56
ITEM;605;23;1.02;25938.56
ITEM;603;11;0.83;25938.56
ITEM;325;38;1.12;25938.56
ITEM;404;47;1.05;25938.56
ITEM;200;325;1.09;25938.56
ITEM;300;46;1.01;25938.56
ITEM;1779;14;1.18;25938.56
ITEM;301;0;0.92;24.07042
ITEM;2030;32;1.15;24.07042
ITEM;332;17;1.02;24.07042
ITEM;2031;761;0.54;24.07042
ITEM;666;6;0.71;24.07042
ITEM;661;35;1.12;24.07042
ITEM;218;656;0.65;24.07042
ITEM;108;1189;0.92;24.07042
ITEM;2003;48;1.05;24.07042
ITEM;660;17;0.64;24.07042
ITEM;112;1107;1.09;24.07042
ITEM;7;579;0.83;24.07042
ITEM;1478;27;0.63;310031.3
ITEM;2035;520;1.22;310031.3
ITEM;11;0;0.61;90.59776
ITEM;24;0;0.58;107.2334
ITEM;27;188;0.94;107.2334
ITEM;322;55;0.69;107.2334
ITEM;341;67;0.62;107.2334
ITEM;2039;506;1.18;107.2334
ITEM;2422;16;0.56;107.2334
ITEM;324;48;0.61;107.2334
ITEM;735;51;0.76;107.2334
ITEM;1100;64;0.58;1222.8
ITEM;2118;274;0.73;1222.8
ITEM;2006;307;0.82;1222.8
ITEM;313;43;1.07;1222.8
ITEM;2;0;0.76;9.14067
ITEM;2423;10;0.78;20587.65
ITEM;604;8;1.03;69683.03
ITEM;405;41;1.14;69683.03
ITEM;602;14;0.69;69683.03
ITEM;2007;721;0.61;69683.03
ITEM;681;88;0.83;69773.4
ITEM;673;11;1.23;69773.4
ITEM;675;26;0.69;69773.4
ITEM;753;18;0.59;69773.4
ITEM;759;54;1.06;69773.4
ITEM;1462;29;0.65;1230779
ITEM;102;867;0.93;1230779
ITEM;627;14;0.79;1230779
ITEM;331;0;0.77;172.7818
ITEM;646;9;0.87;181235.5
ITEM;1521;60;0.80;181235.5
ITEM;2224;9;1.04;181235.5
ITEM;741;134;0.56;181235.5
ITEM;1641;26;0.56;181235.5
ITEM;1571;26;0.54;29712.8
ITEM;2289;11;0.83;29712.8
ITEM;621;10;0.78;29712.8
ITEM;1172;42;1.21;29712.8
ITEM;1541;78;1.24;29712.8
ITEM;730;20;0.89;29712.8
ITEM;1062;51;0.72;29712.8
ITEM;2126;55;1.14;29712.8
ITEM;1162;22;1.12;29712.8
ITEM;2114;115;0.51;29712.8
ITEM;751;3;0.97;45063
ITEM;2120;372;0.74;45063
ITEM;757;1;0.57;45063
ITEM;2259;32;1.16;45063
ITEM;1551;58;1.05;45063
ITEM;1561;31;1.05;45063
ITEM;2254;78;0.95;45063
ITEM;305;15;1.24;45063
ITEM;105;1139;1.13;45063
ITEM;2010;624;0.83;392.4797
ITEM;20;658;0.74;392.4797
ITEM;219;0;1.14;296.5165
ITEM;304;28;1.02;296.5165
