// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Oro Omniplex Center
STATION;type;Recon Sentry
STATION;owner;Hasrastast Belbar
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;oro_omniplex.png
STATION;filename;sector_2_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-9-0-2-7-2-7-1-5-0-2-7-0-4-8-1-0-0-3-4-1-0-0
STATION;interior_seed;3-9-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;13622.23
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.07;npc_ship_data_(battle_escort_1).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_1).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_2).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_3).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (2) Items ;77x452,52x88;156989;83536.97
BUYORDER;Want to acquire (1) Items ;407x2322;11754;58707.03

BUYORDER;Want to acquire (1) Items ;2026x6;6575.00;68669.41
ITEM;1451;11;1.09;38036.93
ITEM;1;233;0.73;5.77
ITEM;41;130;0.73;41.70
ITEM;51;16;1.23;111.69
ITEM;1522;0;1.22;131173.00
ITEM;2314;11;1.16;9215521.00
ITEM;1642;23;0.88;97368.75
ITEM;2250;3;0.86;1281756.00
ITEM;1512;0;1.13;134390.30
ITEM;622;3;0.90;21302.67
ITEM;1632;8;0.53;62368.75
ITEM;2280;28;1.12;1456425.00
ITEM;61;293;1.13;309.75
ITEM;2127;117;0.53;294146.60
ITEM;2151;7;0.95;1181350.00
ITEM;2115;67;0.86;490672.20
ITEM;641;2;1.08;14377.67
ITEM;2121;65;0.76;366018.50
ITEM;1562;5;1.10;128918.30
ITEM;1502;0;1.43;159781.60
ITEM;76;308;0.70;334.84
ITEM;2340;15;0.67;57276.56
ITEM;310;20;0.53;85.21
ITEM;302;25;0.68;35.23
ITEM;2436;8;1.11;67749.55
ITEM;169;80;0.93;72.42
ITEM;40;36;0.68;17.41
ITEM;50;95;0.69;29.46
ITEM;1520;0;1.44;38293.24
ITEM;1620;25;0.56;19610.63
ITEM;70;28;0.62;89.21
ITEM;2319;29;0.92;3771295.00
ITEM;1510;0;1.15;34147.57
ITEM;1650;14;0.90;24842.19
ITEM;620;7;0.62;4995.81
ITEM;312;22;0.86;67.35
ITEM;2296;7;0.71;241106.30
ITEM;1008;16;1.15;8705.81
ITEM;60;38;0.59;76.91
ITEM;2125;95;0.94;39796.97
ITEM;1201;19;1.13;17131.63
ITEM;2161;26;0.69;54858.13
ITEM;2294;25;1.06;346106.20
ITEM;2113;128;0.83;38794.88
ITEM;1401;10;1.07;16291.63
ITEM;1615;16;1.19;24390.06
ITEM;1600;16;0.87;17346.38
ITEM;201;208;1.25;109.75
ITEM;1560;1;0.96;28449.56
ITEM;736;42;0.93;255921.90
ITEM;1500;0;1.13;32070.41
ITEM;75;118;1.02;209.69
ITEM;1059;18;1.08;9858.98
ITEM;2131;69;1.19;53914.88
ITEM;400;278;1.15;1989.90
ITEM;727;54;1.09;17755.31
ITEM;311;29;0.88;124.35
ITEM;109;314;0.81;4.05
ITEM;406;21;1.08;1.29
ITEM;403;16;0.61;0.77
