// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;The Dunes
STATION;type;Tavern Station
STATION;owner;Gorejid Foemepae
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;4
STATION;icon;dunes_resort.png
STATION;filename;sector_4_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-3-1-2-0-0-9-1-5-2-0-4-0
STATION;interior_seed;4-6-0-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;13213.63
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.41;npc_ship_data_(battle_frigate_1).txt
MERC;2;1.05;npc_ship_data_(support_cruiser_1).txt
MERC;1;0.75;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Stock: (1) Items ;2042x178;316477;44079.37

ITEM;1451;7;0.54;16317.45
ITEM;1;327;1.14;8.64
ITEM;41;100;1.01;55.88
ITEM;2331;6;0.86;38147.50
ITEM;51;135;0.63;61.06
ITEM;1622;1;1.05;171553.10
ITEM;2275;9;0.75;1214910.00
ITEM;1752;25;0.68;123790.00
ITEM;1642;0;1.22;164184.80
ITEM;1652;0;1.28;171684.80
ITEM;622;8;1.08;25161.51
ITEM;1632;0;1.30;174184.80
ITEM;1173;11;0.58;69322.45
ITEM;2127;186;0.90;468647.80
ITEM;641;3;0.78;10702.67
ITEM;2121;19;0.98;460343.50
ITEM;737;14;0.70;446449.20
ITEM;2435;10;0.89;50333.32
ITEM;310;0;1.11;205.52
ITEM;2355;14;0.72;324.66
ITEM;302;28;1.06;52.54
ITEM;169;13;0.67;54.02
ITEM;50;101;1.00;41.01
ITEM;1520;23;0.52;12273.75
ITEM;1620;6;1.05;42888.28
ITEM;1530;24;1.01;27592.19
ITEM;1750;29;0.84;37347.50
ITEM;1640;0;1.22;41046.21
ITEM;1510;17;0.73;18121.13
ITEM;2213;2;0.62;188413.50
ITEM;1650;0;1.27;42608.71
ITEM;620;16;0.99;7585.81
ITEM;312;0;1.11;106.24
ITEM;1630;0;1.11;37608.71
ITEM;1171;35;0.52;5154.98
ITEM;1710;10;1.02;27842.19
ITEM;2304;12;0.91;301106.30
ITEM;1057;29;0.63;5572.39
ITEM;2125;124;0.72;31326.97
ITEM;1161;8;0.52;4725.39
ITEM;1101;22;0.55;4505.81
ITEM;2119;123;0.71;28129.06
ITEM;1615;27;0.97;20210.06
ITEM;201;53;1.09;96.68
ITEM;736;61;0.87;240921.90
ITEM;1500;18;1.01;23177.44
ITEM;2131;2;0.74;35014.88
ITEM;1590;10;1.10;23873.75
ITEM;400;375;0.54;1013.90
ITEM;208;12;1.12;193.17
ITEM;311;0;1.11;192.12
ITEM;109;276;0.70;3.56
ITEM;406;10;1.07;1.28
ITEM;403;0;1.11;1.65
ITEM;205;396;1.15;148.72
ITEM;101;334;0.61;1.27
ITEM;168;176;0.91;26.04
ITEM;623;19;0.95;39154.98
ITEM;603;10;0.97;39905.30
ITEM;325;37;1.06;372.59
ITEM;404;0;1.20;1.78
ITEM;200;184;0.62;52.99
ITEM;300;3;0.68;77.02
ITEM;301;38;1.15;31.47
ITEM;661;4;0.96;12907.67
ITEM;660;2;1.09;8285.81
ITEM;2386;31;0.76;3163.77
ITEM;643;19;0.66;28275.34
ITEM;2417;9;0.52;13509.72
ITEM;738;14;0.98;1087109.00
ITEM;702;63;0.88;9736.88
ITEM;322;23;0.59;452.14
ITEM;204;169;1.19;139.55
ITEM;2040;29;0.76;1969.12
ITEM;324;21;0.64;1832.02
ITEM;2142;21;1.18;14010.56
ITEM;1170;39;1.14;2960.85
ITEM;1002;31;0.75;1687.38
ITEM;1052;24;0.87;2120.11
ITEM;1200;7;0.91;4014.75
ITEM;2112;33;0.98;12884.25
ITEM;1050;24;0.97;2127.38
ITEM;2118;175;1.08;11736.88
ITEM;1400;24;1.18;5094.75
ITEM;1054;8;0.59;1640.85
ITEM;2130;78;1.19;15404.25
ITEM;313;0;1.13;449.67
ITEM;2;120;0.50;6.86
ITEM;2041;35;0.72;2064.54
ITEM;405;0;1.11;1.65
ITEM;2042;28;0.77;2410.54
ITEM;602;14;0.99;23232.09
ITEM;2389;32;1.06;5691.14
ITEM;2043;48;0.66;2305.12
ITEM;748;54;1.04;187058.40
ITEM;731;41;0.67;126008.40
ITEM;753;8;1.21;215108.40
ITEM;759;41;1.09;195308.40
ITEM;2044;33;0.83;3119.39
ITEM;102;440;1.09;3.68
ITEM;1621;0;1.36;109010.90
ITEM;2462;14;0.92;162190.00
ITEM;1751;28;1.23;105895.00
ITEM;2306;12;0.81;867540.00
ITEM;1641;0;1.11;75217.41
ITEM;1571;19;0.80;46471.75
ITEM;1511;23;0.65;32722.25
ITEM;1651;0;1.33;88967.42
ITEM;621;11;0.86;11682.67
ITEM;1112;3;0.66;20311.88
ITEM;1631;8;1.05;71480.47
ITEM;1014;8;0.97;26060.34
ITEM;1062;4;0.69;21120.38
ITEM;2126;148;0.71;108296.90
ITEM;2114;37;0.72;119612.10
ITEM;751;37;1.10;53715.94
ITEM;1561;35;1.14;66619.13
ITEM;1501;14;1.14;51814.88
ITEM;305;37;0.55;150.11
ITEM;2045;30;0.73;3059.83
ITEM;105;496;0.63;5.60
ITEM;20;49;0.86;20.03
ITEM;304;35;0.82;689.47
ITEM;742;44;0.86;95368.75
ITEM;747;37;0.64;73368.75
ITEM;2463;33;0.61;225180.00
ITEM;677;32;1.10;53715.94
ITEM;2046;39;0.78;3583.55
ITEM;211;93;0.70;129.65
ITEM;209;313;0.56;88.25
ITEM;2047;42;0.82;4106.94
ITEM;701;79;0.76;7683.19
ITEM;691;30;0.56;5229.50
ITEM;700;65;0.51;5433.19
ITEM;690;37;0.51;4225.81
ITEM;158;122;0.66;17.77
ITEM;4;282;1.11;37.84
ITEM;155;174;0.97;18.85
ITEM;104;402;1.10;4.45
ITEM;2048;51;0.75;4181.42
ITEM;203;4;1.10;117.97
ITEM;320;31;0.70;1126.94
ITEM;676;5;0.57;9955.31
ITEM;732;69;0.99;16255.31
ITEM;756;21;0.62;10705.31
ITEM;157;304;1.19;27.52
ITEM;23;72;0.72;83.95
ITEM;160;39;0.70;23.81
ITEM;321;13;0.61;1798.91
ITEM;106;192;1.24;12.39
ITEM;601;3;0.77;10580.17
ITEM;303;9;1.04;1036.05
ITEM;107;208;0.66;8.40
ITEM;407;30;1.07;6.40
ITEM;103;534;0.60;1.50
ITEM;118;192;1.13;6.57
ITEM;1623;0;1.29;415043.60
ITEM;1753;34;0.75;269980.00
ITEM;1643;0;1.35;360869.70
