// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Foodmaid
STATION;type;Food Production Plant
STATION;owner;Astto Xulaoyel
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;9
STATION;icon;foodmaid.png
STATION;filename;sector_55_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-1-4-1-4-0-2-4-1-9-0-5-6-2-7-1-6-4-3-3-90
STATION;interior_seed;4-3-15-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;48741.34
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.56;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.17;npc_ship_data_(transport_carrier_1).txt
MERC;3;1.95;npc_ship_data_(battle_escort_1).txt
MERC;3;1.98;npc_ship_data_(excavation_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Surplus: (1) Items ;404x218;68;93945.45
SELLORDER;Market Stock: (2) Items ;311x922,121x386;93867;64244.45
BUYORDER;Market Items Req: (4) Items ;5x575,2x571,22x352,22x491;178821.00;48591.93
BUYORDER;Market Needs Goods: (1) Items ;20x170;6019.00;72670.57
BUYORDER;Market Items Req: (3) Items ;22x262,9x244,1x313;154160.00;108279.60
BUYORDER;Market Out of Stock: (1) Items ;1x60;423.00;95427.03
BUYORDER;Market Demands: (3) Items ;4x189,9x165,6x107;122743.00;60450.93
ITEM;10;134;1.23;1050.13
ITEM;2175;52;0.71;14142960.00
ITEM;9;793;1.21;626.86
ITEM;408;86;0.94;12.51
ITEM;26;61;1.05;724.89
ITEM;100;692;0.70;1.19
ITEM;662;10;0.93;21953.85
ITEM;663;23;1.01;41420.01
ITEM;624;35;0.70;52131.79
ITEM;2022;426;0.73;795.05
ITEM;122;32;0.67;108.74
ITEM;22;98;1.15;94.38
ITEM;333;27;1.02;8409.78
ITEM;5;223;1.05;74.19
ITEM;124;622;1.17;87.23
ITEM;760;156;0.99;271015.60
ITEM;749;138;0.52;153515.60
ITEM;744;175;0.62;178515.60
ITEM;647;23;0.88;342729.80
ITEM;645;26;0.72;93529.27
ITEM;640;8;0.83;6468.44
ITEM;340;87;1.17;1868.79
ITEM;642;44;0.66;16165.59
ITEM;625;28;0.75;96976.03
ITEM;117;1252;1.06;55.30
ITEM;2186;62;1.19;67413.28
ITEM;323;88;0.80;1601.09
ITEM;608;35;0.60;427366.90
ITEM;626;17;0.53;125474.00
ITEM;710;170;0.88;7792.50
ITEM;725;108;1.15;18660.94
ITEM;159;93;0.62;34.50
ITEM;755;74;0.94;6204.38
ITEM;215;793;0.91;240.13
ITEM;217;559;0.71;232.68
ITEM;720;126;1.08;7044.38
ITEM;703;85;0.56;4578.44
ITEM;693;54;1.23;6620.31
ITEM;722;54;0.99;6504.38
ITEM;119;1084;0.67;63.27
ITEM;113;522;1.22;8.48
ITEM;21;666;1.05;51.05
ITEM;114;527;0.54;1.64
ITEM;164;531;1.14;19.88
ITEM;207;225;1.15;180.00
ITEM;726;50;0.74;12510.94
ITEM;2049;110;0.99;5896.05
