// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;OmniTrust
STATION;type;Banking Facility
STATION;owner;Qevedles Zanlocki
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;2
STATION;icon;omnitrust.png
STATION;filename;sector_57_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-6-1-7-0-2-8-1-5-2-3-6-1-6-3-1-5-0-2-6-2-4-90
STATION;interior_seed;3-0-30-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;14193.04
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;1.59;npc_ship_data_(pirate_utility_1).txt
MERC;2;1.34;npc_ship_data_(pirate_cruiser_1).txt
MERC;5;1.66;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.05;npc_ship_data_(support_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Looking to Sell (1) Items ;100x17;33.00;72457.76
SELLORDER;Sell Order Request for (2) Items ;340x19,212x8;16913.00;68356.76
BUYORDER;Market Out of Stock: (1) Items ;322x107;101993.00;34916.23
ITEM;1;109;0.69;5.25
ITEM;1173;0;1.23;166036.50
ITEM;1163;0;1.19;148022.70
ITEM;641;2;0.86;11275.36
ITEM;2121;45;0.98;446087.60
ITEM;163;81;1.20;50.33
ITEM;302;6;0.66;32.81
ITEM;153;190;1.11;17.14
ITEM;167;40;1.21;81.70
ITEM;169;15;1.14;84.92
ITEM;50;56;0.79;31.89
ITEM;1620;17;0.65;21313.13
ITEM;70;48;0.78;105.05
ITEM;2319;10;0.95;3759203.00
ITEM;1580;15;0.55;17092.25
ITEM;1510;2;0.94;22009.63
ITEM;1650;15;0.67;18260.94
ITEM;620;2;1.09;8053.06
ITEM;1007;11;0.63;5316.37
ITEM;1171;0;1.23;13564.37
ITEM;2304;15;0.80;258131.30
ITEM;2125;72;0.73;30431.84
ITEM;1201;9;1.03;15266.13
ITEM;1161;0;1.05;10687.96
ITEM;1101;1;0.62;4763.06
ITEM;1600;19;1.15;21787.88
ITEM;1550;6;0.68;18510.94
ITEM;1560;1;0.66;19451.81
ITEM;736;18;0.81;217609.40
ITEM;1500;11;1.04;23109.19
ITEM;2445;1;0.72;12487.00
ITEM;406;4;1.22;1.41
ITEM;403;8;0.73;0.87
ITEM;101;97;0.74;1.44
ITEM;168;36;1.18;32.18
ITEM;325;0;1.25;530.96
ITEM;404;18;1.07;1.24
ITEM;300;7;0.59;64.75
ITEM;301;6;1.10;29.36
ITEM;661;3;1.23;15807.86
ITEM;660;1;0.54;4203.06
ITEM;2416;9;0.50;11215.48
ITEM;2190;2;0.90;900410.10
ITEM;322;0;1.23;1067.75
ITEM;151;6;0.74;9.69
ITEM;324;0;1.28;4182.01
ITEM;735;26;0.70;5690525.00
ITEM;1110;2;0.64;1540.96
ITEM;1170;15;1.05;3331.31
ITEM;1002;14;0.54;1200.88
ITEM;2124;52;1.00;11664.81
ITEM;1200;19;0.77;3321.75
ITEM;1160;3;1.05;3053.70
ITEM;1100;9;1.21;2540.88
ITEM;2112;3;1.23;15485.25
ITEM;1054;14;0.82;2113.05
ITEM;2;126;1.02;12.48
ITEM;405;3;1.15;1.33
ITEM;681;12;0.51;46205.44
ITEM;753;12;1.16;201372.20
ITEM;2426;1;1.22;43241.66
ITEM;102;281;0.75;2.52
ITEM;1571;19;0.84;46822.75
ITEM;1651;7;0.59;32521.87
ITEM;621;9;0.86;11275.36
ITEM;1631;7;0.90;48021.88
ITEM;1172;0;1.25;48254.43
ITEM;1162;0;1.29;45535.70
ITEM;2114;81;0.57;92674.31
ITEM;757;21;1.20;56719.69
ITEM;1561;10;0.52;31343.63
ITEM;305;3;1.08;265.95
ITEM;20;51;1.09;24.16
ITEM;304;11;0.75;611.56
ITEM;677;30;1.01;48169.69
ITEM;712;36;1.24;93631.50
ITEM;701;31;0.55;5493.94
ITEM;700;22;1.09;10353.94
ITEM;1460;18;1.05;27760.94
ITEM;158;195;0.53;13.92
ITEM;155;159;0.58;11.35
ITEM;104;68;0.91;3.62
ITEM;166;194;0.58;37.44
ITEM;320;0;1.29;2393.60
ITEM;680;19;0.79;22961.81
ITEM;157;149;1.05;23.81
ITEM;160;4;0.63;20.71
ITEM;161;41;0.50;18.49
ITEM;321;0;1.28;4298.21
ITEM;601;7;0.95;12377.86
ITEM;150;152;1.00;11.66
ITEM;303;13;0.80;786.34
ITEM;407;8;0.51;3.14
ITEM;103;118;0.64;1.51
ITEM;165;20;0.64;37.23
ITEM;2221;1;1.12;2266440.00
ITEM;1174;0;1.26;595133.30
ITEM;1164;0;1.23;534074.60
ITEM;2116;9;1.17;2215710.00
ITEM;2241;7;1.13;3085614.00
ITEM;2256;10;0.89;1824840.00
ITEM;600;2;1.13;8333.06
ITEM;42;79;0.65;80.93
ITEM;52;90;0.88;178.53
ITEM;2335;10;1.00;265109.40
ITEM;2309;12;0.91;7452960.00
ITEM;1175;0;1.30;2149773.00
ITEM;2129;90;0.63;3988938.00
ITEM;1165;0;1.34;2025812.00
ITEM;2141;3;0.71;4046483.00
ITEM;2117;10;0.57;3973411.00
ITEM;2257;15;0.58;2459280.00
ITEM;164;125;0.82;14.18
ITEM;154;46;0.90;42.18
ITEM;114;147;0.66;1.87
ITEM;21;92;0.57;22.51
ITEM;2432;15;1.21;48839.43
ITEM;721;6;0.75;4862.63
ITEM;720;8;0.78;5042.63
ITEM;725;26;1.07;16956.56
ITEM;2080;36;0.68;4712.14
ITEM;323;0;1.22;2868.89
ITEM;1450;1;1.24;13654.59
ITEM;152;25;0.51;7.59
ITEM;156;182;0.83;17.35
ITEM;640;5;0.92;6863.06
ITEM;2081;41;0.75;5654.13
ITEM;2433;7;1.09;48649.70
ITEM;744;30;1.02;270109.40
ITEM;1300;15;0.70;10646.13
ITEM;100;218;1.23;1.94
ITEM;2082;35;0.84;6899.88
ITEM;2444;12;0.73;60667.66
