// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Mazu Starship
STATION;type;Production Factory
STATION;owner;Robert Nickles
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;4
STATION;icon;mazu_starship.png
STATION;filename;sector_5_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-4-0-1-5-3-3-1-4-0-0-7-90
STATION;interior_seed;3-5-30-5
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.50;npc_ship_data_(support_escort_1).txt
MERC;8;1.00;npc_ship_data_(battle_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (1) Items ;77x31;14118;29822.59
ITEM;1202;5;0.81
ITEM;1111;27;1.25
ITEM;1113;24;0.65
ITEM;1451;20;1.02
ITEM;1450;6;0.64
ITEM;1161;30;0.95
ITEM;1153;16;0.72
ITEM;1067;31;1.17
ITEM;1400;8;0.86
ITEM;1008;27;0.72
ITEM;1102;36;0.78
ITEM;1050;38;0.92
ITEM;1200;13;0.99
ITEM;1065;3;0.99
ITEM;1162;28;0.62
ITEM;1403;16;0.79
ITEM;1103;13;0.85
ITEM;1173;33;1.22
ITEM;1150;22;0.62
ITEM;1055;3;1.06
ITEM;1059;12;1.05
ITEM;1201;22;1.04
ITEM;1112;3;0.55
ITEM;1015;1;0.76
ITEM;1152;15;1.24
ITEM;1591;32;0.96
ITEM;1583;23;0.50
ITEM;1623;2;1.08
ITEM;1701;39;1.12
ITEM;1720;30;0.59
ITEM;1503;1;1.00
ITEM;1642;25;0.67
ITEM;1650;37;1.13
ITEM;1590;18;0.64
ITEM;1580;24;0.73
ITEM;1522;29;0.69
ITEM;1560;21;1.12
ITEM;1653;31;0.59
ITEM;1615;36;1.06
ITEM;1581;23;0.77
ITEM;1512;20;1.11
ITEM;1643;5;1.07
ITEM;1513;12;0.78
ITEM;1553;39;0.96
ITEM;1616;32;0.84
ITEM;1520;32;0.53
ITEM;61;192;1.07
ITEM;43;46;0.77
ITEM;40;163;0.78
ITEM;62;165;1.22
ITEM;51;179;1.12
ITEM;2111;32;0.99
ITEM;77;183;0.96
ITEM;2125;142;0.60
ITEM;78;48;0.72
ITEM;2112;9;0.81
ITEM;41;155;0.62
ITEM;2113;139;0.67
ITEM;2124;19;0.63
ITEM;2651;32;1.22
ITEM;53;199;0.84
ITEM;52;86;1.14
ITEM;2652;45;0.74
ITEM;2118;100;0.71
ITEM;2122;158;0.97
ITEM;42;70;0.88
ITEM;760;3;0.59
ITEM;722;63;0.58
ITEM;692;35;1.10
ITEM;743;36;0.86
ITEM;676;8;1.02
ITEM;734;28;1.00
ITEM;693;39;0.76
ITEM;720;55;0.57
ITEM;746;13;0.62
ITEM;728;66;0.92
ITEM;759;17;0.67
ITEM;742;38;0.72
ITEM;744;29;0.87
ITEM;756;73;1.20
ITEM;700;13;0.70
ITEM;703;41;0.84
ITEM;673;54;1.15
ITEM;750;55;0.82
ITEM;670;22;0.63
ITEM;736;14;1.11
ITEM;642;4;1.15
ITEM;600;16;0.87
ITEM;643;6;0.55
ITEM;640;7;0.97
ITEM;661;12;1.25
ITEM;620;17;0.82
ITEM;622;12;0.65
ITEM;662;6;1.05
ITEM;601;10;0.97
ITEM;623;13;1.05
ITEM;660;1;1.09
ITEM;641;13;1.10
ITEM;663;14;0.86
ITEM;621;3;0.98
ITEM;602;15;0.52
ITEM;603;16;0.84
ITEM;300;27;1.19
ITEM;312;9;0.81
ITEM;305;12;0.94
ITEM;325;2;0.60
ITEM;313;13;1.15
ITEM;301;22;0.66
ITEM;303;10;0.76
ITEM;320;1;1.04
ITEM;310;33;1.17
ITEM;302;12;1.06
ITEM;407;34;1.00
ITEM;321;35;1.20
ITEM;404;29;0.52
ITEM;403;25;1.13
ITEM;406;31;1.24
ITEM;322;2;1.05
ITEM;405;31;0.79
ITEM;304;19;1.15
ITEM;311;3;1.24
ITEM;324;22;0.86
ITEM;323;26;1.14
ITEM;408;26;1.06
ITEM;21;276;0.61
ITEM;23;305;0.93
ITEM;1;206;0.78
ITEM;4;81;1.12
ITEM;22;19;1.04
ITEM;3;168;1.19
ITEM;20;204;0.89
ITEM;2;342;0.67
ITEM;101;381;0.88
ITEM;107;120;1.19
ITEM;100;6;0.69
ITEM;106;173;0.73
ITEM;102;127;0.79
ITEM;104;540;0.62
ITEM;109;566;1.07
ITEM;103;303;0.99
ITEM;114;183;0.79
ITEM;105;101;0.52
ITEM;113;163;1.13
ITEM;118;93;1.16
ITEM;156;386;0.95
ITEM;207;133;0.71
ITEM;212;290;1.04
ITEM;165;202;1.22
ITEM;210;91;0.72
ITEM;151;96;1.21
ITEM;169;96;0.64
ITEM;206;220;1.12
ITEM;160;348;1.03
ITEM;158;375;0.89
ITEM;155;318;1.08
ITEM;161;18;1.13
ITEM;162;359;1.23
ITEM;154;39;0.84
ITEM;170;272;1.12
ITEM;166;76;0.98
ITEM;211;289;1.10
ITEM;167;265;1.15
ITEM;159;389;0.65
ITEM;205;197;1.05
ITEM;216;105;1.17
ITEM;208;213;0.59
ITEM;168;111;0.55
ITEM;209;243;0.74
ITEM;153;16;0.54
ITEM;200;116;0.91
ITEM;201;169;1.09
ITEM;164;283;0.64
ITEM;202;328;0.73
ITEM;2539;21;0.56
ITEM;2310;35;0.74
ITEM;2350;5;0.62
ITEM;2462;25;0.83
ITEM;2431;38;1.23
ITEM;2276;12;0.99
ITEM;2309;23;0.66
ITEM;2241;16;0.50
ITEM;2529;33;1.05
ITEM;2363;32;0.99
ITEM;2264;2;1.13
ITEM;2102;24;1.15
ITEM;2449;20;0.64
ITEM;2533;14;0.66
ITEM;2151;13;1.08
ITEM;2132;29;0.97
ITEM;2299;19;0.58
ITEM;2427;19;1.23
ITEM;2458;24;0.79
ITEM;2269;35;0.51
ITEM;2330;4;1.21
ITEM;2434;23;0.53
ITEM;2210;23;0.66
ITEM;2122;4;0.57
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;47;0.66
SKILL;45;1.40
SKILL;61;1.41
SKILL;223;0.64
SKILL;64;0.97
SKILL;73;1.61
SKILL;231;1.01
SKILL;35;1.34
SKILL;53;0.94
SKILL;100;0.23
SKILL;101;0.13
SKILL;102;0.33
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.07;ship_data_(transport_carrier_1).txt
SHIP;2;0.92;ship_data_(support_frigate_1).txt
SHIP;3;0.95;ship_data_(excavation_utility_1).txt
SHIP;4;0.95;ship_data_(battle_shuttle_1).txt
SHIP;5;0.95;ship_data_(excavation_utility_1).txt
SHIP;6;0.94;ship_data_(battle_shuttle_1).txt
SHIP;7;0.92;ship_data_(excavation_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
