// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomart
STATION;type;Auction Facility
STATION;owner;Leira Kolyitpi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;2
STATION;icon;biomart.png
STATION;filename;sector_60_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-1-2-4-0-9-1-2-2-1-3-0-6-2-0-2-0
STATION;interior_seed;5-2-45-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;31910.41
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.02;npc_ship_data_(battle_utility_1).txt
MERC;6;1.62;npc_ship_data_(excavation_utility_1).txt
MERC;8;1.59;npc_ship_data_(recon_carrier_1).txt
MERC;9;1.60;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (3) Items ;214x447,218x333,210x426;147942.00;43477.25
BUYORDER;Market Low Inventory: (1) Items ;331x143;49150.00;74258.14
ITEM;1451;39;0.66;18480.90
ITEM;1;147;0.62;4.74
ITEM;641;5;0.59;7929.58
ITEM;2265;16;0.71;626127.00
ITEM;163;163;0.87;37.03
ITEM;302;18;0.89;43.14
ITEM;153;195;1.11;17.09
ITEM;167;86;0.59;41.63
ITEM;169;175;0.68;52.16
ITEM;40;26;1.08;25.59
ITEM;50;29;1.21;47.52
ITEM;1520;16;0.71;15346.25
ITEM;1620;15;0.76;24519.38
ITEM;1530;3;1.10;28932.81
ITEM;1750;13;0.71;30692.50
ITEM;1580;13;1.12;32964.75
ITEM;620;6;1.24;9081.19
ITEM;1007;18;0.63;5292.31
ITEM;1111;5;0.83;6832.31
ITEM;1171;16;1.12;9889.43
ITEM;2101;1;0.65;24755.94
ITEM;1540;5;1.20;28918.19
ITEM;1161;16;0.53;4522.31
ITEM;1009;18;1.18;10393.42
ITEM;1055;7;0.83;6211.19
ITEM;2119;78;0.74;27905.94
ITEM;1615;6;0.94;18948.94
ITEM;1560;8;0.75;21797.44
ITEM;75;88;0.96;190.75
ITEM;1059;16;0.91;8125.43
ITEM;2131;3;0.89;39787.13
ITEM;727;38;1.20;18859.69
ITEM;406;2;0.58;0.70
ITEM;403;8;1.01;1.17
ITEM;101;271;1.17;2.21
ITEM;168;123;1.08;29.50
ITEM;404;19;1.14;1.32
ITEM;300;1;1.05;110.23
ITEM;301;6;0.64;17.64
ITEM;332;0;1.23;4493.16
ITEM;661;3;0.61;8174.58
ITEM;218;33;0.79;271.18
ITEM;660;6;1.01;7471.19
ITEM;2386;3;0.59;2398.94
ITEM;2190;15;1.25;1225606.00
ITEM;738;17;1.25;1323654.00
ITEM;151;7;1.10;14.00
ITEM;1052;10;0.68;1622.09
ITEM;1160;12;0.80;1886.09
ITEM;1100;11;1.02;2154.63
ITEM;2112;69;0.93;11847.75
