// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Lammassu Hub
STATION;type;Enterprise Hub
STATION;owner;Dueemifie Uomi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;5
STATION;icon;lammassu.png
STATION;filename;sector_63_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-5-0-5-3-2-2-0-2-4-2-3-0-7-2-1-0-0-6-8-1-5-0
STATION;interior_seed;5-0-30-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;33655.32
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;0.54;npc_ship_data_(recon_carrier_1).txt
MERC;7;1.21;npc_ship_data_(pirate_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (1) Items ;322x381;259052.00;64338.97
SELLORDER;Market Stock: (2) Items ;322x144,406x474;78325.00;87969.19
SELLORDER;Market Stock: (2) Items ;408x431,320x278;181177.00;68587.19
SELLORDER;Market Stock: (2) Items ;321x84,322x85;69435.00;50246.23
ITEM;2441;15;0.79;76806.34
ITEM;2438;15;0.73;53619.92
ITEM;2111;14;0.58;3682013.00
ITEM;2432;39;0.95;38724.11
ITEM;2117;120;1.13;7483186.00
ITEM;2123;13;1.11;6130945.00
ITEM;754;45;0.67;181828.10
ITEM;735;29;0.79;6354844.00
ITEM;2129;21;0.95;5819653.00
ITEM;673;56;0.67;52366.50
ITEM;2428;24;1.13;48517.15
ITEM;2116;129;0.72;1399746.00
ITEM;748;11;1.18;204156.60
ITEM;731;86;0.93;162906.60
ITEM;743;78;1.10;190956.60
ITEM;1114;14;0.81;286332.80
ITEM;1074;12;1.03;391595.60
ITEM;2416;4;0.73;15755.70
ITEM;728;7;0.50;8359.69
ITEM;1072;20;0.90;316045.20
ITEM;1065;19;1.09;98382.05
ITEM;1021;13;0.64;71753.45
ITEM;1403;18;0.78;143599.10
ITEM;1103;43;0.81;74372.05
ITEM;340;0;1.23;2371.99
ITEM;727;34;1.04;16459.69
ITEM;341;0;1.20;8263.05
ITEM;342;0;1.33;6894.20
ITEM;343;0;1.33;10755.63
ITEM;747;57;0.71;76731.25
ITEM;400;289;1.16;1947.70
ITEM;1173;6;0.58;65579.45
ITEM;2451;3;0.77;264740.00
ITEM;736;92;0.59;161828.10
ITEM;2397;16;0.96;7465.04
ITEM;41;130;1.08;57.58
ITEM;2171;41;0.51;5705340.00
ITEM;676;27;0.72;11659.69
ITEM;2334;30;0.93;49365.63
ITEM;2445;47;1.00;16917.00
ITEM;1534;10;0.68;294925.00
