// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;CoraVault Hub
STATION;type;Neural Transceiver Station
STATION;owner;Uelas Rastzepea
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;1
STATION;icon;coravault.png
STATION;filename;sector_65_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-0-0-7-0-2-4-0-4-3-3-4-0-6-7-0-4-0-3-1-3-7-90
STATION;interior_seed;4-7-45-4
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;0.69;npc_ship_data_(pirate_escort_1).txt
MERC;7;0.62;npc_ship_data_(recon_carrier_1).txt
MERC;9;0.64;npc_ship_data_(pirate_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Sell Order Request for (1) Items ;210x14;2505;65667.76

ITEM;1170;1;0.51
ITEM;1054;6;1.11
ITEM;1400;9;1.23
ITEM;1200;4;1.25
ITEM;1002;2;0.71
ITEM;1470;7;1.16
ITEM;1110;8;1.10
ITEM;1150;3;1.11
ITEM;1001;6;0.94
ITEM;1120;8;0.66
ITEM;1052;7;1.18
ITEM;1100;9;0.71
ITEM;1460;2;1.21
ITEM;1003;2;0.68
ITEM;1160;8;0.67
ITEM;1050;6;1.01
ITEM;1560;9;0.70
ITEM;1590;5;0.84
ITEM;1510;9;0.62
ITEM;1500;4;1.13
ITEM;1540;6;0.74
ITEM;1620;8;0.97
ITEM;1630;2;1.05
ITEM;1570;1;0.75
ITEM;1610;2;0.70
ITEM;1530;5;0.67
ITEM;1615;1;0.60
ITEM;1640;6;0.95
ITEM;1750;9;0.61
ITEM;1580;4;1.14
ITEM;2126;28;1.11
ITEM;2119;19;0.93
ITEM;2120;44;0.76
ITEM;2116;8;1.24
ITEM;2127;16;0.52
ITEM;2112;47;0.51
ITEM;52;42;1.19
ITEM;50;21;0.97
ITEM;2123;25;0.57
ITEM;75;2;1.08
ITEM;2128;10;1.23
ITEM;2129;34;1.20
ITEM;2111;5;1.10
ITEM;43;35;1.13
ITEM;734;9;0.83
ITEM;702;13;0.50
ITEM;725;18;0.52
ITEM;710;12;1.13
ITEM;736;5;0.55
ITEM;741;17;0.71
ITEM;692;10;0.58
ITEM;712;2;0.83
ITEM;726;7;1.20
ITEM;672;11;0.94
ITEM;728;19;0.52
ITEM;737;9;1.03
ITEM;750;4;1.08
ITEM;690;16;0.54
ITEM;701;4;0.92
ITEM;742;3;0.54
ITEM;759;13;0.63
ITEM;600;1;1.19
ITEM;640;3;0.82
ITEM;660;1;0.73
ITEM;620;3;0.57
ITEM;300;2;0.73
ITEM;404;3;1.04
ITEM;405;9;0.73
ITEM;407;8;1.03
ITEM;406;9;0.98
ITEM;403;9;1.04
ITEM;301;2;0.71
ITEM;302;8;0.55
ITEM;408;1;0.78
ITEM;1;72;0.87
ITEM;20;79;1.19
ITEM;100;16;0.87
ITEM;103;55;0.87
ITEM;101;81;0.86
ITEM;168;21;1.24
ITEM;156;79;1.03
ITEM;155;4;0.73
ITEM;151;40;0.54
ITEM;157;36;0.58
ITEM;152;33;0.61
ITEM;153;18;1.16
ITEM;164;70;1.15
ITEM;158;80;1.14
ITEM;150;58;0.58
ITEM;2269;2;1.09
ITEM;2434;2;0.56
ITEM;2284;1;1.03
ITEM;2427;4;0.74
ITEM;2309;5;0.95
ITEM;2396;7;0.80
ITEM;2538;3;0.97
ITEM;2556;1;0.67
ITEM;2220;6;1.10
ITEM;2180;8;0.64
ITEM;2210;7;1.08
ITEM;2250;4;1.08
ITEM;2361;1;0.94
ITEM;2339;1;0.52
ITEM;2319;2;0.53
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;61;1.37
SKILL;35;1.00
SKILL;56;0.57
SKILL;13;1.32
SKILL;63;1.80
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.99;ship_data_(battle_escort_1).txt
SHIP;2;0.95;ship_data_(support_cruiser_1).txt
SHIP;3;1.09;ship_data_(support_shuttle_1).txt
SHIP;4;0.93;ship_data_(transport_carrier_1).txt
SHIP;5;1.09;ship_data_(support_escort_1).txt
SHIP;6;0.94;ship_data_(pirate_frigate_1).txt
SHIP;7;1.04;ship_data_(pirate_shuttle_1).txt
SHIP;8;0.92;ship_data_(pirate_frigate_1).txt
SHIP;9;0.98;ship_data_(recon_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
