// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Oak Industries
STATION;type;Fabrication Plant
STATION;owner;Foexonhas Xulwenars
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;7
STATION;icon;oak.png
STATION;filename;sector_69_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-0-1-2-2-6-0-7-4-2-3-0
STATION;interior_seed;5-0-45-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;22484.41
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;1.39;npc_ship_data_(transport_escort_1).txt
MERC;8;1.67;npc_ship_data_(support_shuttle_1).txt
MERC;9;1.53;npc_ship_data_(battle_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (1) Items ;41x776;11813;79461.34
SELLORDER;Looking to Sell (1) Items ;2383x38;154304.00;32776.76
SELLORDER;Selling Items: (3) Items ;3x2458,1007x9,1300x5;179705.00;96320.13
BUYORDER;Market Low Inventory: (2) Items ;22x276,25x153;109427.00;82418.06
BUYORDER;Market Demands: (1) Items ;24x56;20348.00;54173.23
BUYORDER;Market Shortage: (2) Items ;27x37,22x165;97077.00;59053.59
SELLORDER;Market Production: (4) Items ;75x70,61x10,50x57,76x73;12977.00;69094.50
SELLORDER;Market Production: (3) Items ;77x93,75x27,62x51;30905.00;72847.50
ITEM;2023;329;0.77;0
ITEM;2000;766;1.04;0
ITEM;1;313;0.79;0
ITEM;41;69;0.69;37.67971
ITEM;51;216;1.11;98.47866
ITEM;2334;26;0.95;98.47866
ITEM;1752;22;0.47;83879.35
ITEM;1766;41;0.54;362982
ITEM;2314;27;1.21;362982
ITEM;1572;48;0.59;66668.41
ITEM;622;10;0.94;21333.83
ITEM;1019;0;1.46;178349.5
ITEM;2145;11;1.08;534198.4
ITEM;61;59;0.67;183.5508
ITEM;1103;12;0.88;183.5508
ITEM;641;21;0.93;12066.46
ITEM;2121;211;1.22;12066.46
ITEM;1562;39;1.03;12066.46
ITEM;2024;419;0.59;756.9466
ITEM;76;508;1.10;488.2641
ITEM;401;564;0.99;5030.615
ITEM;310;60;0.47;5030.615
ITEM;163;559;0.83;35.26931
ITEM;2355;44;1.18;490.6133
ITEM;111;39;0.87;490.6133
ITEM;2026;250;1.21;1787.631
ITEM;302;50;0.57;28.36525
ITEM;2028;160;0.73;1337.329
ITEM;351;36;0.86;5067.338
ITEM;153;302;1.14;5067.338
ITEM;40;390;0.35;9.20607
ITEM;50;282;0.76;30.43754
ITEM;2333;41;0.60;6495.348
ITEM;1520;6;0.64;6495.348
ITEM;1722;31;0.52;14304.8
ITEM;2301;7;1.17;14304.8
ITEM;2411;12;0.56;11594.09
ITEM;2316;47;0.86;11594.09
ITEM;1775;39;0.96;11594.09
ITEM;2283;17;0.83;265540.3
