// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Tella's
STATION;type;Entertainment Hub
STATION;owner;Jidzangee Akleinortis
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;tellas.png
STATION;filename;sector_78_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-3-0-2-1-0-2-0-5-3-2-6-90
STATION;interior_seed;3-8-45-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;36362.41
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.40;npc_ship_data_(battle_carrier_1).txt
MERC;1;1.77;npc_ship_data_(recon_carrier_1).txt
MERC;2;0.67;npc_ship_data_(transport_escort_1).txt
MERC;3;0.55;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Looking to Sell (1) Items ;1500x11;137062;68335.18

SELLORDER;Market Inventory: (2) Items ;2008x242,2003x218;103971;122734.40
SELLORDER;Selling Items: (2) Items ;2011x18,8x14;15582.00;63359.04
ITEM;408;15;0.74;10.03
ITEM;100;281;0.78;1.30
ITEM;333;0;2.50;24432.44
ITEM;754;2;0.69;194824.20
ITEM;749;32;1.24;332324.20
ITEM;162;92;0.60;25.02
ITEM;640;4;0.92;7065.08
ITEM;156;83;0.92;19.67
ITEM;152;116;0.97;14.10
ITEM;710;33;0.88;7754.38
ITEM;159;61;0.61;33.79
ITEM;722;8;1.24;7975.78
ITEM;721;38;0.56;3895.78
ITEM;21;2671;0.58;23.89
ITEM;114;275;0.86;2.46
ITEM;154;36;0.81;39.50
ITEM;164;37;1.03;18.03
ITEM;726;4;0.73;12289.45
ITEM;62;50;0.69;443.83
ITEM;1584;23;1.05;638006.20
ITEM;1574;0;2.50;1346434.00
ITEM;52;94;1.12;229.57
ITEM;42;62;1.16;142.31
ITEM;600;9;0.73;5735.08
ITEM;2122;60;0.67;1139420.00
ITEM;1583;0;2.50;725003.10
ITEM;1573;0;2.50;673217.20
ITEM;330;0;2.50;4930.99
ITEM;103;290;1.02;2.40
ITEM;407;19;0.78;4.78
ITEM;303;516;0.59;620.80
ITEM;150;37;0.72;8.90
ITEM;601;6;0.86;11628.89
ITEM;728;12;0.66;11239.45
ITEM;161;209;1.19;42.22
ITEM;160;58;0.87;28.78
ITEM;157;191;0.70;16.92
ITEM;711;31;0.87;23023.13
ITEM;674;35;0.53;11147.34
ITEM;672;16;0.82;21823.13
ITEM;680;36;0.89;26441.02
ITEM;104;61;0.55;2.38
ITEM;158;38;1.07;27.34
ITEM;1460;11;0.61;17482.42
ITEM;304;769;0.80;671.06
ITEM;219;41;0.69;197.26
ITEM;20;165;0.97;22.25
ITEM;2009;150;0.25;202.51
ITEM;2427;1;1.07;43065.56
ITEM;305;4;0.83;214.38
ITEM;1591;18;1.24;53171.88
ITEM;1501;16;0.99;45330.47
ITEM;1561;19;0.96;56662.03
ITEM;1601;18;1.03;40294.69
ITEM;1616;25;0.60;26193.28
ITEM;2120;18;0.75;102813.90
ITEM;2126;93;0.77;115790.30
ITEM;1541;9;1.05;52407.66
ITEM;621;3;0.60;8443.89
ITEM;1581;7;1.05;79750.77
ITEM;1571;13;1.05;74054.29
ITEM;2284;15;0.55;383578.10
ITEM;746;26;0.81;40468.36
ITEM;1531;2;1.05;56964.84
ITEM;1521;1;0.68;30771.88
ITEM;331;17;1.05;307.04
ITEM;102;141;1.16;3.89
ITEM;2008;42;0.79;477.11
ITEM;2007;45;0.71;394.27
ITEM;405;14;0.69;0.86
ITEM;2;57;1.17;14.54
ITEM;2006;46;0.73;367.40
ITEM;1160;5;0.74;1824.45
ITEM;1200;27;1.12;4837.19
ITEM;1052;4;1.06;2528.45
ITEM;151;5;1.12;14.63
ITEM;738;5;0.54;637163.10
ITEM;2005;47;0.75;342.15
ITEM;2417;7;0.95;22879.08
ITEM;2004;33;0.76;314.75
ITEM;660;6;1.12;8465.08
ITEM;2003;48;0.66;252.45
ITEM;2002;41;0.66;229.49
ITEM;661;4;1.24;16283.89
ITEM;332;0;2.50;9012.86
ITEM;301;697;1.03;28.32
ITEM;2325;3;1.25;8197317.00
ITEM;300;18;0.70;78.57
ITEM;404;10;0.54;0.69
ITEM;168;91;0.67;19.70
ITEM;101;202;1.03;2.01
ITEM;403;811;0.59;0.75
ITEM;406;5;0.90;1.09
ITEM;2200;17;0.97;1694875.00
ITEM;75;9;0.75;157.37
ITEM;1500;8;0.52;12795.23
ITEM;736;26;1.04;282324.20
ITEM;1600;14;1.22;23567.34
ITEM;1615;19;1.05;21646.64
ITEM;1055;14;0.63;5035.08
ITEM;1009;20;0.50;4950.09
ITEM;1101;17;0.94;7205.08
ITEM;2295;12;0.90;296789.10
ITEM;1161;18;1.23;10158.59
ITEM;1201;10;1.14;17210.16
ITEM;2125;52;0.72;31157.93
ITEM;1057;5;1.16;9619.59
ITEM;1008;1;0.83;6435.08
ITEM;1007;13;0.67;5846.59
ITEM;620;6;1.24;9305.08
ITEM;1650;2;1.22;32732.42
ITEM;1580;13;1.09;41371.79
ITEM;1570;0;2.50;84152.15
ITEM;1640;8;1.23;32982.42
