// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Genistar
STATION;type;Deep Space Array
STATION;owner;Couue Atelow
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;1
STATION;icon;genistar.png
STATION;filename;sector_80_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-1-4-1-1-5-0-6-3-0-1-90
STATION;interior_seed;5-9-45-1
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.93;npc_ship_data_(pirate_frigate_1).txt
MERC;9;0.76;npc_ship_data_(battle_shuttle_1).txt
MERC;6;1.49;npc_ship_data_(recon_escort_1).txt
MERC;6;1.66;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (2) Items ;25x934,22x118;292100;134378.40
BUYORDER;Market Items Req: (2) Items ;22x644,22x156;80990;40288.23

BUYORDER;Request Order: (1) Items ;404x2224;3218;40480.16
BUYORDER;Market Shortage: (1) Items ;23x290;49147;36344.07

BUYORDER;Market Needs Goods: (2) Items ;22x207,320x135;195025;89069.19
BUYORDER;Market Shortage: (2) Items ;26x247,24x327;324648;77559.52
BUYORDER;Market Shortage: (1) Items ;26x72;44272;63718.52
BUYORDER;Market Out of Stock: (2) Items ;24x139,22x111;44480;57355.14

ITEM;1460;5;0.87;0
ITEM;1200;0;1.18;5077.875
ITEM;1003;3;0.92;5077.875
ITEM;1150;7;0.61;5077.875
ITEM;1050;7;0.54;5077.875
ITEM;1001;6;0.79;5077.875
ITEM;1120;7;0.82;5077.875
ITEM;1100;0;1.16;2498.938
ITEM;1470;9;0.71;2498.938
ITEM;1400;0;0.70;3157.875
ITEM;1170;0;1.08;2806.725
ITEM;1110;9;0.76;2806.725
ITEM;1002;1;0.78;2806.725
ITEM;1160;0;0.89;2154.831
ITEM;1052;0;0.72;1780.831
ITEM;1054;5;0.66;1780.831
ITEM;1540;9;0.77;1780.831
ITEM;1750;7;0.76;1780.831
ITEM;1560;0;1.21;35085.66
ITEM;1620;7;0.77;35085.66
ITEM;1570;4;1.17;35085.66
ITEM;1520;1;1.14;35085.66
ITEM;1610;8;0.76;35085.66
ITEM;1580;0;1.19;35825.13
ITEM;1550;2;0.99;35825.13
ITEM;1630;0;1.06;28736.72
ITEM;1615;1;1.02;28736.72
ITEM;1510;5;0.58;28736.72
ITEM;1590;2;1.15;28736.72
ITEM;1530;6;1.11;28736.72
ITEM;1650;0;1.20;32236.72
ITEM;1600;4;0.53;32236.72
ITEM;1640;8;0.72;32236.72
ITEM;1500;1;0.77;32236.72
ITEM;2119;1;0.72;32236.72
ITEM;63;41;0.77;32236.72
ITEM;43;6;0.82;32236.72
ITEM;2115;12;1.10;32236.72
ITEM;41;1;0.97;32236.72
ITEM;2126;6;0.66;32236.72
ITEM;2127;47;1.22;32236.72
ITEM;2125;17;0.68;32236.72
ITEM;50;17;0.53;32236.72
ITEM;51;35;1.14;32236.72
ITEM;2118;17;0.80;32236.72
ITEM;749;1;0.72;32236.72
ITEM;746;5;1.15;32236.72
ITEM;681;1;1.22;106067
ITEM;723;0;0.54;3776.813
ITEM;748;2;1.00;3776.813
ITEM;742;0;0.98;106946.9
ITEM;731;8;0.87;106946.9
ITEM;692;16;0.91;106946.9
ITEM;755;4;0.88;106946.9
