// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Kith
STATION;type;Ordinance Storage Facility
STATION;owner;Fegalefae Sizilswhea
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;6
STATION;icon;kith.png
STATION;filename;sector_82_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-6-1-2-4-0-5-1-5-0-1-4-1-3-9-0-5-1-3-3-0-5-90
STATION;interior_seed;3-8-15-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;41063.05
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.01;npc_ship_data_(excavation_escort_1).txt
MERC;7;1.73;npc_ship_data_(battle_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Surplus: (1) Items ;123x229;10912;135449.10
SELLORDER;Market Goods: (1) Items ;105x118;958.00;77632.20
SELLORDER;Market Production: (2) Items ;100x297,119x284;11410.00;59706.93
SELLORDER;Market Items: (3) Items ;123x222,119x283,109x199;37667.00;82576.15
ITEM;2000;874;1.18;24.44
ITEM;1451;8;0.75;21605.70
ITEM;1;527;0.69;5.45
ITEM;51;32;0.66;63.21
ITEM;1752;53;1.09;188649.00
ITEM;2307;22;0.93;1956588.00
ITEM;2290;10;1.09;1414868.00
ITEM;622;20;0.97;22704.05
ITEM;1020;17;0.63;61659.07
ITEM;61;130;1.22;331.36
ITEM;1163;34;0.53;58392.48
ITEM;2115;133;0.70;405969.40
ITEM;641;9;1.12;14810.94
ITEM;1065;1;1.01;94244.07
ITEM;2121;1;0.58;286857.90
ITEM;1617;44;1.05;86568.27
ITEM;737;18;0.98;601344.10
ITEM;1502;52;1.19;107440.70
ITEM;310;45;1.03;152.89
ITEM;2001;507;1.20;358.92
ITEM;163;179;1.25;53.47
ITEM;111;10;0.84;21.47
ITEM;302;36;0.78;39.58
ITEM;153;290;0.55;9.36
ITEM;2360;23;0.73;526.65
ITEM;40;59;1.03;25.18
ITEM;50;157;0.75;31.46
ITEM;1620;25;1.10;35671.69
ITEM;2273;58;1.01;395660.30
ITEM;70;255;0.62;88.63
ITEM;2316;2;1.21;5144778.00
ITEM;1760;50;1.02;410391.80
ITEM;2243;18;0.84;289865.50
ITEM;2288;26;0.98;320716.90
ITEM;620;8;0.65;5173.39
ITEM;312;15;0.94;72.67
ITEM;1540;47;0.82;20908.29
ITEM;60;192;0.92;113.52
ITEM;2125;201;0.89;37693.66
ITEM;1701;30;0.68;19226.41
ITEM;1702;44;0.55;15976.41
ITEM;1700;42;0.83;22976.41
ITEM;2113;229;0.51;25160.36
ITEM;1401;14;0.96;14686.79
ITEM;1550;40;0.99;26976.41
ITEM;1560;10;0.77;23194.52
ITEM;2253;27;1.12;290173.50
ITEM;400;473;0.88;1550.49
ITEM;208;431;0.73;130.36
ITEM;115;241;0.65;20.49
ITEM;664;26;0.51;39329.24
ITEM;665;27;1.03;128570.60
ITEM;727;116;0.62;10635.84
ITEM;311;57;0.96;133.98
ITEM;116;39;0.76;48.83
ITEM;109;786;0.69;3.49
ITEM;406;23;1.01;1.21
ITEM;403;48;0.85;1.03
ITEM;101;689;0.54;1.13
ITEM;168;119;1.03;29.03
ITEM;2351;26;0.60;178.47
ITEM;623;2;0.89;36730.27
ITEM;110;242;0.82;14.59
