// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;SimKitten
STATION;type;Tavern Station
STATION;owner;Bruwhikadd Xenbue
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;4
STATION;icon;simkitten.png
STATION;filename;sector_83_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-0-6-9-1-2-1-7-9-0-9-0-6-4-1-9-90
STATION;interior_seed;4-1-30-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;41707.62
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.47;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.08;npc_ship_data_(battle_cruiser_1).txt
MERC;4;1.90;npc_ship_data_(transport_cruiser_1).txt
MERC;9;1.36;npc_ship_data_(recon_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (1) Items ;312x250;23580.00;46262.23
SELLORDER;For Sale: (1) Items ;2392x40;183592.00;45927.04
BUYORDER;Market Shortage: (2) Items ;313x123,310x47;65221.00;64395.17
ITEM;1;42;0.51;0
ITEM;41;44;1.04;0
ITEM;1522;11;0.76;68198.09
ITEM;1622;0;1.50;238711.2
ITEM;1532;0;0.56;238711.2
ITEM;1752;34;0.77;238711.2
ITEM;2307;16;1.24;238711.2
ITEM;1642;0;1.45;238711.2
ITEM;1572;15;1.12;238711.2
ITEM;1652;0;1.42;188202.2
ITEM;622;7;1.19;188202.2
ITEM;1113;19;0.94;188202.2
ITEM;1632;0;1.26;188202.2
ITEM;1020;39;1.07;188202.2
ITEM;2127;141;0.82;188202.2
ITEM;1163;20;0.63;67657.05
ITEM;641;15;0.76;67657.05
ITEM;2121;2;0.80;67657.05
ITEM;1403;12;1.09;67657.05
ITEM;2270;18;0.83;67657.05
ITEM;1552;9;1.16;125127
ITEM;76;127;0.76;125127
ITEM;1069;39;1.01;125127
ITEM;310;0;1.26;125127
ITEM;2407;7;0.91;125127
ITEM;302;15;0.89;125127
ITEM;153;173;1.23;125127
ITEM;167;175;1.25;125127
ITEM;169;308;0.77;125127
ITEM;50;119;0.72;125127
ITEM;1620;0;1.41;56125.98
ITEM;70;199;1.19;56125.98
ITEM;1750;30;0.78;56125.98
ITEM;1640;0;1.49;56125.98
ITEM;1580;16;0.65;56125.98
ITEM;1650;0;1.47;56125.98
ITEM;620;3;0.58;56125.98
ITEM;312;0;1.38;56125.98
ITEM;1630;0;1.52;56125.98
ITEM;1008;20;0.54;56125.98
