PLAYER;-QTY;3;1;7819.477;Biomate University;Void Starcross;0h 11m 51s ;711.524
NPC;+STOCK;12;9;7732.077;Biomate University;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;16;10;5786.028;Lammassu Financial;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;19;10;4061.661;Lammassu Financial;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;18;9;4303.56;Starbase Corporate Center;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;20;11;2914.953;Starbase Corporate Center;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;13;9;3162.207;Starbase Corporate Center;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;13;8;8968.08;Starbase Corporate Center;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;13;10;9053.74;Proctors Center;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;14;10;4481.776;Proctors Center;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;10;8;3005.748;Proctors Center;Void Starcross;3h 44m 48s ;13488.87
