[s:30][c:yellow]Biomate University[/c][/s]
Academic University
Telyoupea Akpi
Alpha
[c:lime]Dock fee 0[/c]
Timestamp: 23374.02
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Shield Extender
Improved Shield Extender
Advanced Shield Extender
Premium Shield Extender
Prototype Shield Extender
Basic Shield Generator
Improved Shield Generator
Advanced Shield Generator
Premium Shield Generator
Prototype Shield Generator
[c:orange]DEMAND[/c]
Mechanical Tools
Assembly Tools
Medical Instruments
Calibration Tools

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Advanced 20mm x2 Gun  6 - z16,000
Advanced Active Scanner  2 - z9,989
Advanced Afterburner  16 - z14,131
Advanced Armor Exterior  9 - z9,680
Advanced Cargo Expansion  8 - z36,190
Advanced Explosive Armor  5 - z32,630
Advanced Impact Armor  2 - z77,707
Advanced Light Miner  2 - z7,546
Advanced Mass Reduction  8 - z19,504
Advanced Shield Extender  12 - z7,111
Advanced Shield Generator  12 - z3,762
Advanced Targeting System  9 - z7,199
Advanced Thruster  15 - z17,455
Armor Nanobots  34 - z4,278
Assorted Gaskets  147 - z16
Basic 20mm  4793 - z1
Basic 20mm Auto  6 - z912
Basic 20mm Gun  15 - z1,769
Basic 20mm Specs  6 - z14,777
Basic 20mm x2 Gun  12 - z2,024
Basic 60mm  9000 - z4
Basic 60mm Cannon  7 - z1,634
Basic 60mm Railgun  2 - z5,878
Basic 60mm Specs  6 - z25,428
Basic 60mm x2 Railgun  2 - z8,010
Basic Active Scanner  10 - z1,075
Basic Cargo Expansion  14 - z2,334
Basic Charged Cell  1523 - z11
Basic Default Tractor  4 - z2,665
Basic Dual Launcher  10 - z2,992
Basic Energy Armor  9 - z12,085
Basic Explosive Armor  8 - z7,939
Basic Filter  17 - z2,009
Basic Light Beam  62 - z921
Basic Light Laser  6 - z1,032
Basic Light Miner  30 - z2,971
Basic Mass Reduction  3 - z770
Basic Missile  6000 - z8
Basic Missile Specs  7 - z13,857
Basic Quad LRM Launcher  5 - z8,016
