// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Star Shepard's Temple
STATION;type;Worship Center
STATION;owner;Binsakol Lascorbue
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;7
STATION;icon;star_shepards.png
STATION;filename;sector_102_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-5-1-2-4-1-3-1-7-5-2-0-90
STATION;interior_seed;5-1-45-8
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.26;npc_ship_data_(battle_shuttle_1).txt
MERC;5;1.23;npc_ship_data_(battle_frigate_1).txt
MERC;4;0.52;npc_ship_data_(transport_carrier_1).txt
MERC;1;0.89;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;3022;2;1
ITEM;2256;2;0.97
ITEM;1306;5;1.02
ITEM;1541;7;1.06
ITEM;1702;2;1.11
ITEM;501;2;1.01
ITEM;1208;5;1.13
ITEM;1026;4;0.96
ITEM;1019;2;1.06
ITEM;2003;59;1.04
ITEM;643;3;1.04
ITEM;2025;94;0.98
ITEM;2329;2;1.08
ITEM;2302;1;1.15
ITEM;1751;2;1.01
ITEM;1110;5;1.01
ITEM;730;8;1.08
ITEM;641;3;0.98
ITEM;2361;1;1.08
ITEM;1304;7;1.01
ITEM;2375;2;1.09
ITEM;2115;4284;1.12
ITEM;2010;67;1.03
ITEM;1110;4;1.02
ITEM;1158;4;1.12
ITEM;1651;2;1.12
ITEM;1204;4;1.08
ITEM;2306;2;1.11
ITEM;2281;2;1.13
ITEM;1583;5;0.98
ITEM;102;122;1.04
ITEM;1062;8;1.15
ITEM;1614;5;1.04
ITEM;642;5;1.00
ITEM;53;4492;0.99
ITEM;2013;75;1.13
ITEM;1161;7;0.96
ITEM;2251;2;1.00
ITEM;1017;8;0.96
ITEM;1603;3;0.98
ITEM;2228;2;1.05
ITEM;623;3;0.97
ITEM;2231;2;0.96
ITEM;2117;4700;1.08
ITEM;2113;2881;1.05
ITEM;62;2949;0.95
ITEM;2207;1;0.96
ITEM;1030;3;1.03
ITEM;2375;2;0.97
ITEM;2303;2;1.12
ITEM;1115;6;0.99
ITEM;2286;2;1.02
ITEM;1060;2;1.09
ITEM;1730;5;0.95
ITEM;1162;7;0.98
ITEM;1065;6;1.15
ITEM;641;3;1.12
ITEM;1056;8;0.98
ITEM;2187;2;1.13
ITEM;1301;7;1.01
ITEM;2192;1;1.00
ITEM;1542;7;1.11
ITEM;1211;3;1.15
ITEM;2249;1;1.10
ITEM;2151;2;0.97
ITEM;1604;7;1.08
ITEM;2233;1;1.02
ITEM;2236;2;1.06
ITEM;2131;1;1.03
ITEM;2253;1;1.15
ITEM;2354;2;0.95
ITEM;2256;1;0.98
ITEM;1634;2;1.00
ITEM;2118;2921;1.15
ITEM;2014;63;1.03
ITEM;2006;53;0.95
ITEM;1070;4;1.01
ITEM;1502;9;1.11
ITEM;2090;786;1.08
ITEM;1210;9;1.05
ITEM;1601;7;0.97
ITEM;1720;2;1.06
ITEM;2308;1;0.98
ITEM;2141;1;1.13
ITEM;1110;3;1.06
ITEM;303;1708;1.12
ITEM;1120;2;1.05
ITEM;1501;2;1.10
ITEM;1617;9;1.06
ITEM;711;4;1.09
ITEM;2089;665;1.09
ITEM;2123;2;1.10
ITEM;643;7;1.07
ITEM;730;8;1.07
ITEM;1110;5;1.01
ITEM;2187;2;1.14
ITEM;61;2590;1.09
ITEM;1018;3;1.00
ITEM;1591;4;1.08
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;233;1.85
SKILL;51;1.33
SKILL;75;1.61
SKILL;46;1.67
SKILL;57;1.33
SKILL;53;1.17
SKILL;16;1.71
SKILL;233;1.88
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.1;ship_data_(missile_escort_3).txt
SHIP;1;1.05;ship_data_(pirate_carrier_1).txt
SHIP;2;0.92;ship_data_(battle_frigate_1).txt
SHIP;3;0.93;ship_data_(battle_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
