// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Transporteers
STATION;type;Auction Facility
STATION;owner;Ribres Borxaxon
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;transporteers.png
STATION;filename;sector_56_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-1-2-0-3-0-0-4-2-1-0-90
STATION;interior_seed;4-7-30-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;16816.82
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;2;npc_ship_data_(freighter_10).txt
MERC;4;1.6;npc_ship_data_(freighter_7).txt
MERC;3;1.6;npc_ship_data_(freighter_1).txt
MERC;1;1;npc_ship_data_(transport_cruiser_8.txt
MERC;2;1.2;npc_ship_data_(Super_heavy_transport_10).txt
MERC;6;1.2;npc_ship_data_(transport_frigate_3).txt
MERC;6;1.1;npc_ship_data_(transport_battlecruiser_4).txt
MERC;6;1.4;npc_ship_data_(transport_carrier_1).txt
MERC;8;2.00;npc_ship_data_(pirate_frigate_1).txt
MERC;4;1.99;npc_ship_data_(recon_shuttle_1).txt
MERC;6;0.76;npc_ship_data_(transport_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (4) Items ;21x342,22x355,20x252,22x358;59798;42938.40
BUYORDER;Market Low Inventory: (2) Items ;21x159,21x66;8351;49241.46
ITEM;208;58;1.13
ITEM;103;132;1.04
ITEM;1750;4;1.03
ITEM;76;3702;0.99
ITEM;168;88;1.07
ITEM;2350;1;1.01
ITEM;2245;2;1.12
ITEM;1560;9;0.98
ITEM;2;2348;1.04
ITEM;1611;4;1.06
ITEM;1155;9;1.02
ITEM;206;68;0.97
ITEM;1007;2;1.00
ITEM;2325;1;1.12
ITEM;701;7;1.14
ITEM;1453;3;1.11
ITEM;1010;5;1.04
ITEM;159;66;0.96
ITEM;1012;8;0.98
ITEM;2234;1;1.00
ITEM;2323;1;1.14
ITEM;1621;5;0.97
ITEM;1581;5;1.06
ITEM;1520;5;0.97
ITEM;50;4247;0.96
ITEM;1300;4;0.97
ITEM;2086;3089;1.11
ITEM;1641;2;0.97
ITEM;2275;1;1.03
ITEM;1500;6;1.13
ITEM;206;90;0.97
ITEM;2237;2;1.07
ITEM;1551;2;0.99
ITEM;2276;2;1.06
ITEM;729;3;1.00
ITEM;50;3654;0.97
ITEM;206;66;1.00
ITEM;2245;1;0.99
ITEM;4;4077;1.01
ITEM;103;112;1.09
ITEM;162;84;1.06
ITEM;2324;1;0.95
ITEM;165;93;1.07
ITEM;300;3798;0.96
ITEM;1531;9;0.99
ITEM;1560;2;1.12
ITEM;2299;2;1.04
ITEM;2085;4123;1.01
ITEM;4;4574;1.03
ITEM;1551;3;1.10
ITEM;154;61;1.07
ITEM;2232;1;1.14
ITEM;2372;2;1.06
ITEM;710;2;0.97
ITEM;640;6;1.04
ITEM;204;61;1.14
ITEM;607;6;1.13
ITEM;2160;1;1.09
ITEM;2323;1;1.00
ITEM;1641;5;1.05
ITEM;2000;164;1.00
ITEM;2226;1;0.98
ITEM;1541;6;1.14
ITEM;2245;2;1.07
ITEM;150;89;0.95
ITEM;51;4710;1.04
ITEM;209;91;1.04
ITEM;1751;6;0.96
ITEM;1;1377;1.10
ITEM;76;3609;0.99
ITEM;203;69;1.11
ITEM;640;3;0.98
ITEM;41;1932;0.96
ITEM;155;93;1.06
ITEM;2233;1;1.08
ITEM;701;3;1.11
ITEM;4;3747;1.11
ITEM;1453;6;0.98
ITEM;1452;2;1.10
ITEM;729;8;1.13
ITEM;510;1;1.03
ITEM;520;1;1.12
ITEM;2247;1;1.00
ITEM;2299;2;1.05
ITEM;1201;6;1.13
ITEM;162;68;1.07
ITEM;1009;6;1.08
ITEM;2180;1;1.04
ITEM;2373;2;1.08
ITEM;1510;3;1.05
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;253;1.2
SKILL;252;1.2
SKILL;33;0.65
SKILL;24;1.37
SKILL;65;0.89
SKILL;16;0.60
SKILL;51;1.68
SKILL;229;1.16
SKILL;54;0.71
SKILL;14;1.73
SKILL;44;0.66
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;72;180;621189;ESCORT#sector_0_station_0.txt#sector_0_station_4.txt#Officer Gagore Arsino#npc_ship_data_(pirate_shuttle_1)#14#null#null#null;A ship in Biomate University in <color='cyan'>Void Starcross</color> needs an escort to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;3;After being selected for an academic grant, Dr. <color='yellow'><i>Officer Gagore Arsino</i></color> has requested an escort to the Starbase Corporate Center station in the <color='cyan'>Void Starcross</color> system. <color='yellow'><i>Officer Gagore Arsino</i></color> has posted his pick-up location as Biomate University in <color='cyan'>Void Starcross</color>. Be sure to protect the doctor at all cost, and under no circumstances are you to abandon him.;6660;900
MISSION;120;120;370484;CHAT_PILOT#sector_97_station_0.txt#sector_58.txt#Chairman Zogore Amyawa#npc_ship_data_(recon_escort_2)#11#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Chairman Zogore Amyawa</i></color> in <color='cyan'>Lins</color> and return to Temple of the Void in <color='cyan'>Valley of Truths</color>;4;<i>Velzeta Dorneasa</i> has requested that debt be collected from <color='yellow'><i>Chairman Zogore Amyawa</i></color>. After 3 payments to the Financial faction for transport fines, <color='yellow'><i>Chairman Zogore Amyawa</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Chairman Zogore Amyawa</i></color> was in the vicinity of the <color='cyan'>Lins</color> system. Have a chat with them, collect the debt, and return to the Temple of the Void in the <color='cyan'>Valley of Truths</color> system to deliver the payment.;19379;3100
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.1;ship_data_(freighter_7).txt
SHIP;1;1.2;ship_data_(freighter_4).txt
SHIP;1;1;ship_data_(freighter_1).txt
SHIP;1;1.1;ship_data_(attack_beam_cruiser_7).txt
SHIP;1;1.06;ship_data_(recon_cruiser_1).txt
