NPC;-PRICE;3;0;9254.187;Holosynth Industries;Rats Of Mortalis;0h 56m 50s ;3410.242
NPC;BAL;46;-8;12601.65;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;40;9;13465.21;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;74;9;6366.91;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;63;11;5547.187;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;19;10;10810.96;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;83;9;5914.45;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;73;10;5233.122;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;13;-6;10834.5;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;6;-7;11783.44;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;94;11;5859;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
