NPC;+QTY;491;194;2.044875;Keyworx;Geminey;0h 50m 9s ;3009.769
NPC;BAL;97;0;0.9651362;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;44;0;1.554607;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;+STOCK;287;236;0.9427199;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;378;246;1.396751;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;328;231;0.8978328;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;579;239;1.424948;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;927;244;1.780418;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;364;0;2.153545;Stinkfinger;Jonisae;2h 29m 20s ;8960.865
NPC;+PRICE;79;0;2.111148;Medicore University;Cliffs of Drameria;2h 29m 20s ;8960.865
NPC;+QTY;1114;188;2.18925;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;BAL;336;-184;1.644367;ValueStar;Hunu;2h 58m 0s ;10680.39
NPC;+PRICE;269;0;1.7205;Imperium Bank;Ciando;4h 11m 12s ;15072.39
NPC;+STOCK;264;213;0.9080998;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;573;195;1.304784;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;529;201;0.8336368;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1262;202;1.852524;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;766;187;1.354494;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1133;206;1.735184;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;385;-194;1.414875;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;-PRICE;111;0;1.779576;Crystalis Broadcasting;Jermicus;4h 29m 47s ;16187.74
NPC;BAL;44;0;1.745093;Blargg's;Beacon Spita;4h 40m 21s ;16821.04
NPC;+QTY;817;244;1.30725;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;784;213;0.8423362;Star Shepard's Temple;Lightless;4h 50m 45s ;17445.84
NPC;-PRICE;224;0;1.50856;Kinetics Manufacturing;Void Spooflarnia;4h 51m 22s ;17482.65
NPC;-PRICE;108;0;1.048747;Cecil;Junia;4h 51m 22s ;17482.65
PLAYER;+QTY;734;205;0.8266781;StarGypsy Warehouse;Void Starcross;5h 28m 46s ;19726.86
NPC;+PRICE;732;0;1.975602;Gunstellar;Adrenal;5h 41m 50s ;20510.81
PLAYER;+QTY;545;160;1.414875;Starbase Corporate Center;Void Starcross;6h 56m 28s ;24988.86
NPC;+LOCAL;250;810;0.6825;Tella's;Bitcola;7h 28m 52s ;26932.76
NPC;+QTY;334;219;1.765332;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+QTY;1036;180;2.185332;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;+PRICE;44;0;1.851067;Blargg's;Beacon Spita;9h 36m 0s ;34560.29
NPC;-QTY;72;-192;0.90153;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+QTY;882;148;0.7816856;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+PRICE;72;0;0.9364969;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+PRICE;1036;0;2.229309;Vo Industries;Brimstone;11h 29m 25s ;41365.69
NPC;+STOCK;267;195;0.8408135;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;1026;209;1.233073;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;1126;244;0.7562667;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;1428;166;1.809064;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;742;197;1.31243;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;1320;187;1.685858;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;462;172;1.016006;Astrox Security Patrol;Kilotorish;12h 33m 5s ;45185.51
NPC;-PRICE;1320;0;1.65654;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;601;139;2.002271;The Dunes;The Dunes of Caliph;12h 51m 8s ;46268.94
NPC;+STOCK;1535;187;1.92616;Temple of the Void;Vindicati;12h 57m 36s ;46656.88
NPC;BAL;560;-144;1.332855;Psybermind;Ion Child;13h 31m 19s ;48679.5
NPC;+STOCK;472;205;0.7748585;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1226;200;1.190419;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1336;210;0.6923695;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1611;183;1.696462;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;768;223;1.301921;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1529;209;1.577692;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;560;0;1.421788;Psybermind;Ion Child;14h 10m 55s ;51055.01
NPC;BAL;60;0;2.204244;Oro Omniplex Center;Merces Academy;14h 12m 27s ;51147.38
