NPC;+QTY;38;10;14974.13;KIN AI;Xenilo Valley;0h 50m 9s ;3009.769
NPC;-PRICE;27;0;9464.057;Nova Labs;Noah Fox;0h 56m 50s ;3410.242
NPC;+STOCK;109;9;9895.568;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;16;0;15071.63;Psybermind;Ion Child;2h 29m 20s ;8960.865
NPC;+PRICE;17;0;14545.77;Spacebook;Phistatisia;2h 34m 4s ;9244.389
NPC;+PRICE;32;0;14752.33;Stinkfinger;Jonisae;4h 11m 12s ;15072.39
NPC;+STOCK;120;11;9030.586;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+LOCAL;12;35;7117.5;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;+PRICE;27;0;9476.451;Nova Labs;Noah Fox;4h 16m 43s ;15403.89
NPC;BAL;12;0;4575.439;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+LOCAL;12;13;7117.5;Starbase Corporate Center;Void Starcross;5h 56m 1s ;21361.8
NPC;+LOCAL;12;8;7117.5;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;+QTY;46;11;19723.89;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;+PRICE;32;0;19591.32;Gunstellar;Adrenal;11h 29m 25s ;41365.69
NPC;+LOCAL;12;15;7117.5;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+STOCK;20;8;3141.829;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+LOCAL;12;1;7117.5;Starbase Corporate Center;Void Starcross;12h 16m 28s ;44188.51
NPC;+QTY;39;7;14721.86;Stinkfinger;Jonisae;12h 51m 8s ;46268.94
NPC;BAL;10;-6;17057.65;Psybermind;Ion Child;13h 31m 19s ;48679.5
NPC;+STOCK;22;10;3133.616;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;32;0;20211.69;Gunstellar;Adrenal;14h 10m 55s ;51055.01
NPC;+LOCAL;12;14;7117.5;Starbase Corporate Center;Void Starcross;14h 13m 23s ;51203.44
