NPC;+QTY;97;11;28478;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;+STOCK;16;11;30043.65;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;17;10;36149.65;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;31;6;24302;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;BAL;30;-11;32669.37;Kith;Kidd Overture;2h 58m 0s ;10680.39
NPC;+STOCK;27;10;35180.78;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+LOCAL;12;33;15080;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;-QTY;6;-6;6670;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;6;0;9976.255;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;53;9;51156;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;-PRICE;86;0;36496.52;Cecil;Junia;4h 51m 22s ;17482.65
NPC;+PRICE;31;0;26155;Gunstellar;Adrenal;5h 41m 50s ;20510.81
NPC;+LOCAL;12;14;15080;Starbase Corporate Center;Void Starcross;5h 56m 1s ;21361.8
NPC;+LOCAL;12;12;15080;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;+LOCAL;12;17;15080;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+STOCK;63;10;50233.87;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;26;10;29423.32;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+LOCAL;12;1;15080;Starbase Corporate Center;Void Starcross;12h 16m 28s ;44188.51
NPC;+QTY;32;6;29273.18;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;71;8;49071.2;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;42;10;28366.35;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;31;0;26974.14;Gunstellar;Adrenal;14h 10m 55s ;51055.01
NPC;+LOCAL;12;20;15080;Starbase Corporate Center;Void Starcross;14h 13m 23s ;51203.44
NPC;-QTY;36;-6;28586.46;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+PRICE;71;0;50420.54;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;+PRICE;37;0;49812.81;Desban;Ellisar;16h 46m 45s ;60405.14
