NPC;BAL;31;-136;60.93053;Astrox Security Patrol;Kilotorish;1h 53m 54s ;6834.967
NPC;+STOCK;596;107;115.6436;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;125;114;60.31013;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;447;108;76.28338;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;233;146;74.27141;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;440;0;99.4275;Psybermind;Ion Child;2h 29m 20s ;8960.865
NPC;+QTY;854;133;131.6463;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+PRICE;246;0;59.3906;Stinkfinger;Jonisae;4h 11m 12s ;15072.39
NPC;+STOCK;617;128;116.6125;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;583;136;74.21144;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;336;103;71.12708;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+LOCAL;150;506;39.1625;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;-QTY;67;-83;17.32187;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;67;0;23.87979;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;230;105;60.55125;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+STOCK;187;147;81.21245;Lacuna Bandits;Ballast Crow;6h 31m 26s ;23486.09
NPC;+QTY;370;140;60.55125;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+LOCAL;150;90;39.1625;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
