PLAYER;-QTY;38;1;9405.001;Lammassu Financial;Void Starcross;0h 21m 55s ;1315.586
NPC;+QTY;2;1;13737;Xellon;Ele;0h 50m 9s ;3009.769
NPC;+STOCK;40;2;9114.941;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;27;1;23341.5;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+STOCK;42;2;8042.995;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;35;0;21981.1;Holosynth Industries;Rats Of Mortalis;4h 16m 43s ;15403.89
NPC;+QTY;7;2;20349;Biomart;Veloxi;4h 47m 5s ;17225.82
NPC;+STOCK;44;2;7707.752;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;46;2;7430.736;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;27;0;24301.25;Gunstellar;Adrenal;14h 10m 55s ;51055.01
NPC;+PRICE;46;0;7964.44;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;+QTY;8;1;20321.92;Biomart;Veloxi;18h 20m 21s ;66021.78
NPC;BAL;34;-1;20105.8;Holosynth Industries;Rats Of Mortalis;20h 19m 44s ;73184.99
NPC;+QTY;25;2;17109.97;CoraVault;Lins;20h 24m 54s ;73494.4
NPC;+STOCK;48;2;7634.284;Lammassu Financial;Void Starcross;23h 4m 29s ;83069.7
NPC;BAL;6;-2;19681.47;Oak Industries;Dorando Corridor;23h 46m 31s ;85591.75
