NPC;-PRICE;109;0;756.7117;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;+QTY;2284;2205;298.3;Xellon;Ele;0h 50m 9s ;3009.769
NPC;BAL;39;0;364.4431;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;100;0;390.7955;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;BAL;93;0;707.8572;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;+STOCK;2721;2495;559.6989;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;1835;1796;332.631;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;1866;1676;652.2613;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2550;2210;335.9203;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;285;0;803.1613;Medicore University;Cliffs of Drameria;2h 29m 20s ;8960.865
NPC;+QTY;2235;2148;366.7;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
