NPC;-PRICE;28;0;9.984632;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;-PRICE;21;0;25.00406;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;-LOCAL;5;0;29.125;StarGypsy Warehouse;Void Starcross;0h 25m 47s ;1547.129
NPC;BAL;5;0;27.71264;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;13;0;19.36746;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;BAL;17;0;16.67318;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;+STOCK;797;730;24.53811;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;955;893;25.49972;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;801;796;26.0836;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;969;944;12.10305;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;849;803;19.16583;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;791;721;15.33455;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;7;0;21.67987;Acrondia Corp.;Crown of Imperium;2h 29m 20s ;8960.865
NPC;+QTY;604;564;16.59375;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+PRICE;6;0;25.91409;Fellacore Research Center;Grace;2h 34m 4s ;9244.389
NPC;+QTY;721;709;10.04375;Cosmic Jay's;Canndelis;2h 36m 11s ;9371.667
NPC;+PRICE;1;0;25.25278;Imperium Bank;Ciando;4h 11m 12s ;15072.39
NPC;+STOCK;1016;949;24.1794;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1819;864;24.56748;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1634;833;25.20972;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1729;760;11.26401;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1841;992;18.33037;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1569;778;14.26885;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;12;0;24.55662;Holosynth Industries;Rats Of Mortalis;4h 16m 43s ;15403.89
NPC;-QTY;212;-637;19.09375;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;212;0;21.04013;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;BAL;17;0;17.78299;Blargg's;Beacon Spita;4h 40m 21s ;16821.04
NPC;+QTY;2567;748;24.5625;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;633;614;25.0625;Biomart;Veloxi;4h 47m 5s ;17225.82
NPC;+QTY;604;564;12.26094;Imperium Republica ;Gate of Alpharis;4h 50m 45s ;17445.84
NPC;-PRICE;15;0;13.80163;Valuestar Hub;Jelumus;4h 51m 22s ;17482.65
NPC;+QTY;965;954;32.61719;The Dunes;The Dunes of Caliph;4h 54m 45s ;17685.59
NPC;-LOCAL;265;0;28.125;StarGypsy Warehouse;Void Starcross;5h 21m 41s ;19301.13
NPC;+PRICE;604;0;16.89312;Gunstellar;Adrenal;5h 41m 50s ;20510.81
NPC;-LOCAL;17;0;28.125;StarGypsy Warehouse;Void Starcross;5h 41m 57s ;20517.09
NPC;-LOCAL;0;0;44.60273;StarGypsy Warehouse;Void Starcross;6h 2m 0s ;21720.92
NPC;+STOCK;946;938;22.34787;Lacuna Bandits;Ballast Crow;6h 31m 26s ;23486.09
NPC;+QTY;3499;932;24.5625;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;-QTY;0;-7;18.51586;Ferce;Allabentoris;7h 28m 42s ;26922.34
NPC;-QTY;0;-721;9.739843;Cosmic Jay's;Canndelis;7h 28m 42s ;26922.34
NPC;-LOCAL;0;0;62.5;StarGypsy Warehouse;Void Starcross;7h 37m 56s ;27476.67
NPC;+QTY;758;758;18.51586;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+QTY;1351;593;18.51586;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;-LOCAL;80;80;28.125;StarGypsy Warehouse;Void Starcross;8h 4m 7s ;29047.16
NPC;+STOCK;1486;882;11.32528;Imperium Republica ;Gate of Alpharis;9h 25m 28s ;33928.45
NPC;-LOCAL;0;0;62.5;StarGypsy Warehouse;Void Starcross;9h 36m 17s ;34577.13
