NPC;+LOCAL;112;9;25.76155;Daemon Ammunitions;Starfort Ramos;0h 50m 56s ;3056.125
NPC;BAL;122;0;20.4376;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;+STOCK;2199;2140;18.7445;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2534;2361;16.86881;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2078;1761;10.21418;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2230;1938;11.73946;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;2524;2498;9.45725;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+PRICE;129;0;22.34827;Imperium Bank;Ciando;4h 11m 12s ;15072.39
NPC;+STOCK;4485;2286;17.64756;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;4485;1951;16.22563;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;3847;1769;9.824368;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;4465;2235;11.00722;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;127;0;19.18983;Holosynth Industries;Rats Of Mortalis;4h 16m 43s ;15403.89
NPC;+PRICE;127;0;19.8261;Holosynth Industries;Rats Of Mortalis;4h 16m 43s ;15403.89
NPC;+PRICE;9;0;15.03642;Gemini Mining;Jala;4h 16m 43s ;15403.89
NPC;-QTY;664;-1414;10.11037;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;664;0;12.00342;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;BAL;122;0;19.93616;Blargg's;Beacon Spita;4h 40m 21s ;16821.04
NPC;+QTY;5988;1503;17.60825;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+PRICE;65;0;17.15952;Dustardz;Redsky;5h 41m 50s ;20510.81
NPC;BAL;122;0;19.6835;Blargg's;Beacon Spita;6h 1m 51s ;21711.47
NPC;+QTY;1792;1769;19.09737;Foodmaid;Daelus;6h 44m 29s ;24269.91
NPC;+QTY;7580;1592;17.60825;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+PRICE;155;0;11.23689;Mazu Starship;Enoch Estates;9h 36m 0s ;34560.29
NPC;+STOCK;9655;2075;16.95861;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;6443;1958;15.55437;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;-PRICE;1;0;16.97881;Genistar;Blades of Dandrow;12h 34m 48s ;45288.88
NPC;-PRICE;4465;0;10.33011;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;8364;1921;15.48455;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;11535;1880;16.08653;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;10253;1889;14.63153;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;3057;2393;11.21341;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;9;0;16.13791;Gemini Mining;Jala;15h 8m 41s ;54521.68
NPC;+PRICE;432;0;10.63481;Legistron;Dogstar Prime;15h 48m 23s ;56903.07
NPC;-QTY;8984;-1269;14.54823;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+PRICE;1;0;17.33318;Genistar;Blades of Dandrow;16h 46m 45s ;60405.14
NPC;+PRICE;11535;0;16.90028;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;BAL;62;0;17.05268;Rendo Labs;Entropy;18h 20m 20s ;66020.74
NPC;-PRICE;252;0;15.01015;KIN AI;Xenilo Valley;19h 7m 15s ;68835.37
NPC;+STOCK;13675;2140;16.44084;Lammassu Financial;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;10920;1936;14.03176;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;4728;1671;10.23433;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
NPC;+PRICE;2524;0;9.982881;Mass Market;Dorando Corridor;23h 4m 30s ;83070.77
