NPC;-PRICE;121;0;379355;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;101;19;313500;KIN AI;Xenilo Valley;0h 50m 9s ;3009.769
NPC;+QTY;157;19;413500;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;+STOCK;85;20;321802.1;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;78;22;327232.3;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;8;0;263631.6;Acrondia Corp.;Crown of Imperium;2h 29m 20s ;8960.865
NPC;+STOCK;101;16;308196.9;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;177;17;334749.4;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;66;-12;325500;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;44;-22;360324.2;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;123;22;309000;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;BAL;8;0;277562.7;Acrondia Corp.;Crown of Imperium;6h 1m 51s ;21711.47
NPC;+QTY;147;24;309000;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+QTY;28;20;213525;Gunstellar;Adrenal;10h 9m 19s ;36559.19
NPC;+STOCK;198;21;324776.4;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;60;16;344502.8;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;BAL;8;0;279084.5;Acrondia Corp.;Crown of Imperium;13h 31m 19s ;48679.5
NPC;+STOCK;220;22;316736.3;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;68;24;347546.2;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;28;0;221725.5;Gunstellar;Adrenal;14h 10m 55s ;51055.01
NPC;BAL;29;-16;246388.9;Oro Omniplex Center;Merces Academy;14h 12m 27s ;51147.38
NPC;-QTY;205;-15;318435;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+PRICE;147;0;324737.9;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;-PRICE;101;0;295124.3;KIN AI;Xenilo Valley;19h 7m 15s ;68835.37
NPC;+STOCK;168;21;312655.2;Lammassu Financial;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;226;21;310013.6;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;87;19;332941.5;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;79;23;158943.2;Star Shepard's Temple;Lightless;24h 17m 12s ;87432.16
