NPC;+QTY;39;16;93375;Xellon;Ele;0h 50m 9s ;3009.769
NPC;+QTY;27;16;63562.5;Keyworx;Geminey;0h 50m 9s ;3009.769
NPC;-PRICE;30;0;131767.7;Horizons;Gate of Alpharis;0h 56m 50s ;3410.242
NPC;+STOCK;25;24;84809.7;Star Shepards Hub;Temple Gates;0h 57m 57s ;3477.823
NPC;BAL;71;-17;111841;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;6;-24;102704.4;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;BAL;11;0;153338.2;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;+STOCK;79;24;156894.2;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;42;20;143507.6;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;89;18;107697.3;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;163;24;85587.99;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;45;21;58423.86;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;111;22;88367.59;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;91;0;162516.4;Psybermind;Ion Child;2h 29m 20s ;8960.865
NPC;+QTY;111;20;162562.5;Psybermind;Ion Child;2h 36m 11s ;9371.667
