NPC;+QTY;41;12;90375;KIN AI;Xenilo Valley;0h 50m 9s ;3009.769
NPC;BAL;52;-10;86904.09;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;116;12;63657.2;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;169;10;86344.38;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;72;12;46183.77;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;BAL;81;-12;67254.86;ValueStar;Hunu;2h 58m 0s ;10680.39
NPC;+STOCK;63;11;84433.45;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;126;10;59139.65;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;181;12;82780.15;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;85;13;42989.78;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;155;-14;86375;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;146;-9;95064.54;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;84;9;92043.75;Imperium Republica ;Gate of Alpharis;4h 50m 45s ;17445.84
NPC;-QTY;13;-14;91959.38;Crystalis Broadcasting;Jermicus;7h 28m 42s ;26922.34
NPC;+QTY;39;12;60063.44;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;-QTY;0;-7;47063.75;Temple of the Void;Vindicati;9h 48m 4s ;35284.71
NPC;+QTY;75;12;84223.13;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+PRICE;59;0;75835.47;Vita Assembly;Capital Void;11h 3m 47s ;39827.63
NPC;+PRICE;39;0;63050.82;Vo Industries;Brimstone;11h 29m 25s ;41365.69
NPC;+STOCK;137;11;56789.03;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;159;13;90519.73;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;95;10;41297.74;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;-PRICE;95;0;38050.79;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;151;14;57088.75;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;85;10;80680.99;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;161;10;52125.11;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;159;13;90521.95;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;107;12;36751.94;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;78;0;61361.95;Legistron;Dogstar Prime;15h 48m 23s ;56903.07
NPC;+PRICE;85;0;83758.45;StarGypsy Warehouse;Void Starcross;15h 48m 23s ;56903.07
NPC;+PRICE;51;0;45004.02;Desban;Ellisar;16h 46m 45s ;60405.14
NPC;BAL;101;-8;94533.22;Oak Industries;Dorando Corridor;18h 20m 20s ;66020.74
NPC;-QTY;78;-7;84141.25;StarGypsy Warehouse;Void Starcross;19h 7m 15s ;68835.37
NPC;+QTY;13;8;90811.56;Quah Relay Station;Noah Fox;20h 24m 54s ;73494.4
NPC;+STOCK;89;11;81077.91;StarGypsy Warehouse;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;174;13;47787.68;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;172;13;86056.69;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
NPC;+PRICE;15;0;97795.64;Mass Market;Dorando Corridor;23h 4m 30s ;83070.77
NPC;BAL;90;-11;87126.42;Oak Industries;Dorando Corridor;23h 46m 31s ;85591.75
