NPC;-PRICE;176;0;100317.4;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;185;10;128437.5;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;BAL;25;-8;126558.2;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;37;11;102676.8;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;37;12;117633;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;113;12;198386.2;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;-QTY;5;-13;278437.5;Void Raiders;Corbis Almuni;4h 11m 42s ;15102.06
NPC;+STOCK;48;11;108787.8;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;125;12;191990;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;BAL;33;-11;202562.6;Blargg's;Beacon Spita;4h 40m 21s ;16821.04
NPC;+QTY;47;10;103125;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+PRICE;37;0;112955.7;Quantex;Dellis Primeria;6h 12m 48s ;22368.54
NPC;+PRICE;84;0;143894.8;Inovex;Goru Populan;6h 12m 48s ;22368.54
NPC;+QTY;192;7;128437.5;Foodmaid;Daelus;6h 44m 29s ;24269.91
NPC;+QTY;55;8;103125;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+PRICE;29;0;200362.1;Mazu Starship;Enoch Estates;9h 36m 0s ;34560.29
NPC;+PRICE;33;0;213016.6;Blargg's;Beacon Spita;9h 36m 0s ;34560.29
NPC;+PRICE;5;0;285334.9;Void Raiders;Corbis Almuni;11h 3m 47s ;39827.63
NPC;+STOCK;67;12;91803.76;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;58;10;100613.7;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;139;14;185272.5;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;68;14;197075;PharmaLife;Carioullis;12h 33m 5s ;45185.51
NPC;+QTY;82;13;180557.8;Stinkfinger;Jonisae;12h 51m 8s ;46268.94
NPC;+QTY;146;7;185221.9;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;77;10;82754.86;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;70;12;92115.98;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;BAL;17;-12;220678.2;Mazu Starship;Enoch Estates;14h 12m 27s ;51147.38
