NPC;+QTY;169;13;220937.5;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;BAL;87;-13;134153.1;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;138;13;273443.7;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;97;10;121561.5;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;41;0;290097.7;Stinkfinger;Jonisae;2h 29m 20s ;8960.865
NPC;+PRICE;49;0;272998.3;Astrox Security Patrol;Felishar;2h 34m 4s ;9244.389
NPC;-QTY;0;-9;173125;Transporteers Hub;Ambervellis Drea;4h 11m 42s ;15102.06
NPC;+STOCK;139;14;269122.5;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;107;10;109212;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;76;10;205123.6;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;58;-8;215937.5;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;+QTY;24;14;170937.5;Blissheads;Estura Cove;4h 50m 45s ;17445.84
NPC;+QTY;118;12;102778.1;Star Shepard's Temple;Lightless;4h 50m 45s ;17445.84
NPC;+PRICE;3;0;127425;Mazu Starship;Enoch Estates;9h 36m 0s ;34560.29
NPC;-QTY;36;-13;273453.1;Astrox Security Patrol;Felishar;9h 48m 4s ;35284.71
NPC;-QTY;128;-11;269825;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+QTY;121;14;108057.8;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+STOCK;138;10;264311.4;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;132;11;96235.05;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;42;12;98453.13;Astrox Security Patrol;Kilotorish;12h 33m 5s ;45185.51
NPC;+STOCK;136;10;181175.1;Temple of the Void;Vindicati;12h 57m 36s ;46656.88
NPC;+STOCK;150;12;261519.4;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;70;12;207070.9;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;BAL;3;0;141149.9;Mazu Starship;Enoch Estates;14h 12m 27s ;51147.38
NPC;+PRICE;132;0;106830.1;StarGypsy Warehouse;Void Starcross;15h 48m 23s ;56903.07
NPC;-QTY;105;-13;101521.9;Star Shepard's Temple;Lightless;15h 52m 52s ;57172.89
NPC;+QTY;38;14;170353.1;Blissheads;Estura Cove;18h 20m 21s ;66021.78
