[s:30][c:yellow]Biomate University[/c][/s]
Academic University
Telyoupea Akpi
Alpha
[c:lime]Dock fee 0[/c]
Timestamp: 85483.92
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
LED Lights
Micro Processor
Large Processor
Motion Sensor
Pressure Sensor
Memory Chip
Small Pump
Small Heatsink
Small Motor
Copperi Cables
Basic Shield Booster
Improved Shield Booster
Advanced Shield Booster
Premium Shield Booster
Prototype Shield Booster
Basic Shield Generator
Improved Shield Generator
Advanced Shield Generator
Premium Shield Generator
Prototype Shield Generator
[c:orange]DEMAND[/c]
Mechanical Tools
Assembly Tools
Medical Instruments
Calibration Tools

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (1) Items 
 (585) x Small Heatsink
Buy items for [c:lime]83,101 discount.[/c]
[c:red]SELL Order[/c] Market Stock: (3) Items 
 (329) x Small Pump
 (995) x Micro Processor
 (720) x LED Lights
Buy items for [c:lime]160,089 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (444) x Calibration Tools
Fulfill order for [c:lime]33,097 profit.[/c]
[c:green]BUY Order[/c] Purchase Request (2) Items 
 (8) x Gunstellar 20mm Gatling
 (6) x Ore Harvester 2
Fulfill order for [c:lime]-70,569 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  92 - z13
Adamyte Ore  4918 - z7
Advanced 20mm  1817 - z25
Advanced Armor Exterior (Doc)  92 - z140,963
Advanced ECM Energy Coil  38 - z4,981
Advanced ECM Power Boost Field (Doc)  68 - z110,410
Advanced ECM Range Lock  66 - z9,691
Advanced ECM Range Lock (Doc)  80 - z53,890
Advanced ECM Resistance Field (Doc)  62 - z103,345
Advanced Energy Armor  54 - z41,210
Advanced Energy Capacitor  68 - z9,240
Advanced Engine Core  29 - z38,728
Advanced Filter  37 - z9,759
Advanced Missile  2418 - z90
Advanced Regulator  20 - z8,477
Advanced Scan Booster (Doc)  63 - z98,650
Advanced Shield Booster  12 - z2,837
Advanced Shield Generator  12 - z1,501
Advanced Skill Manual  71 - z438,834
Advanced Warp Drive Fuel  395 - z7,422
Advanced Waste Unit  7 - z310,788
Aged Wine  113 - z49
AI Bio Filter  14 - z956,533
AI Interface Drive  735 - z419
Aluminium Plates  397 - z115
Aluminium Rivets  72 - z36
Aluminium Rivets (Doc)  13 - z255
Aluminium Shard  608 - z18
Anti-Freeze  966 - z49
Antimatter 20mm  2024 - z48
Antimatter 60mm  6577 - z122
Antimatter Missile  2368 - z743
Antimatter Missile (Doc)  10 - z8,004
Armor Plating  254 - z1,450
Assault x3 Launcher  84 - z5,407
Assault x4 Launcher  20 - z6,581
Assault x9 Launcher  82 - z493,219
Atmospawn Thermobox  31 - z870,433
Auxiliary System Mount  702 - z2,710
Auxiliary System Mount (Doc)  73 - z23,526
Ball Bearings  767 - z64
Basic 20mm  1986 - z15
Basic 60mm  2203 - z21
Basic Beam Impact Mod  23 - z2,406
Basic Charged Cell  3974 - z5
Basic Computer  758 - z1,004
Basic ECM Energy Coil  27 - z6,355
Basic Explosive Armor  75 - z3,748
Basic Filter  50 - z3,088
Basic Food Rations  1728 - z50
Basic Laser Energy Mod  63 - z3,669
Basic Laser Explosive Mod  18 - z3,372
Basic Missile Energy Mod (Doc)  55 - z21,696
Basic Projectile Explosive Mod  33 - z2,811
Basic Scan Emitter  78 - z1,217
Basic Shield Booster  12 - z399
Basic Shield Generator  12 - z150
Basic Warp Drive  79 - z165,409
Basic Warp Drive Fuel  812 - z739
Battery Array  988 - z1,962
Belasite Ore  3760 - z437
Bio Carbon  1294 - z12
Bio Converter  52 - z110,197
Biowaste Processor   6 - z645,958
Blaster x3 Laser  61 - z2,505
Blaster x5 Laser  31 - z13,239
Bottled Whiskey  669 - z62
Burglar Drone  128 - z6,715
Burglar Drone (Doc)  38 - z148,980
Calciate Residue  1180 - z96
Calcium  201 - z3
Candy Cane  551 - z18
Candy Corn  729 - z19
Carbon  1394 - z1
Carbon Fiber (Doc)  31 - z600
Carbon Filter  13 - z48,383
Cat Food  5 - z346,191
Ceramic  190 - z16
Cheese and Crackers  48 - z217,841
Cheeseburger  28 - z37,883
Childrens Toys  442 - z20
Chocolate Bars  143 - z24
Cleaning Chemicals  319 - z38
Cloak Field Generator  64 - z1,009,586
Colored Dye  843 - z69
Communication Device  797 - z61
