[s:30][c:yellow]Lammassu Financial[/c][/s]
Market Center
Jelegus
Trade
[c:lime]Dock fee 25[/c]
Timestamp: 28970.84
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Nuts And Bolts
Fasteners
Steelium Beam
Assorted Gaskets
Lubricant
Steelium Pipes
Metal Brackets
Liquid Coolant
Reinforced Rubber
Carbon Fiber
ECM Magweb
ECM Target Scrambler
ECM Sensors Jammer
ECM Module Disruptor
[c:orange]DEMAND[/c]
Rubber Tubing
Small Storage Tank
Metal Gears
Metal Valve
Thermal Insulation
Aluminium Rivets
Plastic Caps
Mechanical Belts
Assorted Springs
Ball Bearings

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (314) x Metal Gears
 (123) x Assorted Springs
Fulfill order for [c:lime]16,014 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery (Doc)  41 - z6,233
Acidic Residue  1134 - z12
Active Scanner (Doc)  9 - z67,422
Adamyte Ore  11940 - z14
Advanced Afterburner  51 - z9,412
Advanced Armor Exterior  75 - z13,004
Advanced Energy Armor  78 - z26,873
Advanced Filter  33 - z17,016
Advanced Missile  7282 - z95
Advanced Missile (Doc)  62 - z759
Advanced Regulator  18 - z5,723
Advanced Scan Emitter  85 - z8,287
Advanced Skill Manual  16 - z281,158
Advanced Turn Thrust  21 - z11,361
Advanced Turn Thrust (Doc)  74 - z61,890
Aged Wine  3010 - z51
Aluminium Plates  370 - z61
Aluminium Rivets  52 - z44
Aluminium Shard  916 - z10
Anti-Freeze  2734 - z38
Antimatter 20mm  7113 - z38
Antimatter Missile  5938 - z534
Assault x4 Launcher  86 - z17,155
Assembly Tools  3261 - z70
Assorted Gaskets  271 - z1
Assorted Springs  59 - z102
Assorted Springs (Doc)  48 - z782
Ball Bearings  65 - z109
Basic 20mm  7659 - z15
Basic Beam Energy Mod  75 - z1,606
Basic Computer  1133 - z1,152
Basic Energy Armor  89 - z3,203
Basic Filter  23 - z2,512
Basic Food Rations  2078 - z65
