[s:30][c:yellow]Imperium Republica [/c][/s]
Civil Housing Facility
Fonmi Duemelze
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 62283.77
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Warp Drive
Improved Warp Drive
Advanced Warp Drive
Sensor Array
Thruster Casing
Voltage Regulator
Afterburner Assembly
Artificial Gravity Generator
Auxiliary System Mount
Battery Array
Micro Computer
Servo Controls
Containment Field Emitter
[c:orange]DEMAND[/c]
Adamyte Ore
Gradeon Ore
Quazor Ore
Lokken Ore
Torim Ore
Plasite Ore
Dynex Ore
Belasite Ore
Xenox Ore
Zai Ore

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Low Inventory: (2) Items 
 (71) x Plasite Ore
 (102) x Belasite Ore
Fulfill order for [c:lime]15,189 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Kinetics G-series Dual 20mm  51 - z0
Tactical x2 Launcher  68 - z0
Blaster x6 Laser  69 - z23,264
Rapid x4 Launcher  55 - z23,264
Kith Single 60mm Cannon  15 - z23,264
Assault x1 Launcher  44 - z23,264
Ore Harvester 1  48 - z23,264
Rapid x2 Launcher  67 - z23,264
Pulse x1 Laser  42 - z23,264
Kinetics G-series 20mm Gatling  57 - z1,100
Entex V-series 20mm Gatling  49 - z8,309
Tactical x3 Launcher  33 - z7,092
Salvage Collector 6  17 - z7,092
Quantex  x-3 20mm Gun  21 - z7,092
Salvage Collector 4  21 - z7,092
ECM Target Scrambler  39 - z303,063
Generic Single 20mm Gun  39 - z303,063
x2 Torpedo Launcher  63 - z829,004
Pulse x5 Laser  17 - z829,004
Blaster x4 Laser  4 - z3,614
Pulse Beam Class 6  33 - z43,906
Pulse Beam Class 2  27 - z1,769
Assault x4 Launcher  10 - z1,769
Gunstellar 20mm Dual Barrel  55 - z9,480
Tactical x6 Launcher  5 - z9,480
Prototype Shield Booster  47 - z9,480
Prototype Thruster  8 - z9,480
Improved Afterburner  34 - z1,700
Advanced ECM Power Boost Field  41 - z1,700
Cloak Field Resistance  9 - z6,941
Premium Targeting System  8 - z6,941
Basic Shield Booster  60 - z6,941
Prototype Scan Booster  54 - z6,941
Prototype ECM Range Lock  61 - z5,716
Improved Shield Booster  49 - z5,716
Advanced Scan Emitter  26 - z5,716
Improved Thruster  57 - z5,716
Advanced Engine Core  25 - z5,716
Prototype Scan Emitter  12 - z203,044
Advanced Energy Generator  37 - z15,865
Basic Armor Exterior  45 - z15,865
Advanced Explosive Armor  39 - z34,874
Prototype Afterburner  19 - z77,218
Prototype Armor Exterior  55 - z77,218
Improved Energy Generator  7 - z11,962
Basic Energy Capacitor  44 - z11,962
Basic Engine Core  42 - z11,962
Basic Laser Explosive Mod  57 - z2,615
Prototype Impact Armor  22 - z352,656
Prototype Energy Generator  57 - z352,656
Basic 20mm  22 - z352,656
Kinetic 60mm  2506 - z352,656
Corrosive 60mm  1793 - z352,656
Basic Missile  40 - z352,656
Explosive 20mm  254 - z352,656
Corrosive 20mm  293 - z60
Uranium Core 60mm  189 - z60
Torpedo Mark V  1357 - z142
Impact Missile  135 - z142
Radiated 20mm  2087 - z142
Fusion 20mm  256 - z142
Torpedo Mark VII  265 - z142
Torpedo Mark VI  8 - z432
Basic Charged Cell  2007 - z3
Energized Missile  276 - z3
Toxic 20mm  78 - z3
Fusion Missile  103 - z3
Advanced Missile  167 - z3
Antimatter 60mm  24 - z3
Advanced 20mm  10 - z3
Torpedo Mark IV  254 - z3
Fusion 60mm  230 - z3
Radiated 60mm  3767 - z3
Torpedo Mark X  134 - z3
Explosive 60mm  2234 - z3
Antimatter 20mm  1784 - z63
Kinetic Missile  4526 - z63
Medium Life Support Pack  53 - z63
Large Salvage Drone  90 - z63
Micro Leech Drone  58 - z63
Improved Mining Drone  116 - z63
Medium Repair Drone  67 - z13,461
Large Web Field  84 - z13,461
Advanced Skill Manual  25 - z13,461
Medium Defense Drone  83 - z10,922
Elite Skill Manual  30 - z400,036
Medium Shield Charge  5 - z400,036
Medium Armor Bomb  44 - z18,660
Generic Construction Platform  62 - z2,596,023
Heavy Defense Drone  46 - z96,057
Light Shield Charge  87 - z96,057
Light Armor Bomb  104 - z4,269
Burglar Drone  85 - z4,269
Small Mining Drone  54 - z4,269
Medium Combat Drone  8 - z4,269
Large Repair Drone  69 - z4,269
Large Mining Drone  11 - z4,269
Heavy Mining Drone  32 - z4,269
Large Defense Drone  112 - z4,269
Medium Armor Repair  42 - z4,269
Large Combat Drone  84 - z4,269
Titan Salvage Drone  54 - z4,269
Improved Repair Drone  90 - z4,269
Small Web Field  46 - z4,269
Medium Salvage Drone  42 - z4,269
Basic Skill Manual  81 - z4,269
Medium Shield Bomb  89 - z4,269
UV Filter  10 - z4,269
Disposables  23 - z4,269
OmniCon Regulator  18 - z4,269
Advanced Filter  26 - z7,515
Carbon Filter  21 - z7,515
Improved Filter  27 - z7,515
Ham Sandwich  18 - z7,515
Cheeseburger  27 - z7,515
Cheese and Crackers  6 - z7,515
Protein Bar  5 - z7,515
Advanced Regulator  31 - z7,515
Basic Filter  16 - z7,515
Bio Converter  10 - z58,043
Noodles  14 - z58,043
Grilled Steak  27 - z58,043
Bio Disposables  9 - z58,043
Thermal Controller  25 - z58,043
Waste Burner  4 - z20,146
Eco Regulator  8 - z20,146
Waste Processor  28 - z20,146
Synth Filter  11 - z20,146
Temperature Genie  24 - z18,169
Containment Unit  9 - z18,169
Thermal Generex  6 - z18,169
Entertainment Electronics  27 - z196
Gummy Bears  43 - z196
Wrapped Box  58 - z196
Candy Cane  651 - z196
Basic Food Rations  642 - z196
Colored Dye  977 - z196
Cleaning Chemicals  852 - z57
Ornament  1789 - z57
Kitchen Appliances  1728 - z57
Media Recordings  41 - z57
Foodservice Equipment  1634 - z57
Aged Wine  36 - z57
Gourmet Food Rations  33 - z57
Bottled Whiskey  19 - z57
Office Supplies  28 - z13
Sporting Equipment  820 - z27
Transport Units  762 - z27
Musical Instruments  38 - z27
Childrens Toys  940 - z27
Anti-Freeze  1766 - z34
Foodservice Products  8 - z34
Candy Corn  1 - z34
Textile Fabrics  870 - z34
Gaming Devices  27 - z34
Hygiene Products  34 - z148
Chocolate Bars  1486 - z10
Personal Clothing  45 - z10
Interior Lighting  34 - z10
Communication Device  20 - z10
Office Furniture  32 - z10
Undamaged Part  4065 - z10
Gradeon Ore  153 - z23
Module Fragment  205 - z23
Torim Ore  203 - z23
Lokken Ore  112 - z23
Metal Fragment  8709 - z630
Junk Part  5256 - z630
Quazor Ore  3911 - z630
Plasite Ore  2943 - z630
Electronic Fragment  56 - z630
Scrap Part  155 - z630
Adamyte Ore  588 - z630
Oil  852 - z7
Magnetic Quartz  273 - z7
Dynex Crystal  206 - z7
Plastix Strands  491 - z7
Aluminium Shard  296 - z7
Hydrogen  847 - z7
Calcium  329 - z7
Oxygen  625 - z1
Silicon  893 - z1
Acidic Residue  575 - z1
Iron Coring  928 - z1
Ceramic  513 - z1
Water  152 - z1
Copperi Cubex  239 - z1
Nitrogen  246 - z8
Bio Carbon  774 - z8
Carbon  1263 - z0
Salt Crystal  791 - z0
Thermal Insulation  178 - z0
Assorted Gaskets  280 - z10
Regulator  402 - z10
Rubber Tubing  644 - z10
Large Microchip  276 - z10
Circuit Board  479 - z20
Steelium Pipes  89 - z20
Hardened Glass Panels  145 - z20
Capacitors  561 - z20
Small Electronics  410 - z20
Steelium Beam  588 - z20
Iron Coring Plates  215 - z20
Dynex Crystal Resonator  569 - z20
Large Processor  580 - z20
Hand Tools  401 - z20
Ball Bearings  312 - z20
Battery Core  466 - z20
Memory Chip  285 - z107
Optical Interface  502 - z107
Aluminium Plates  497 - z107
Steelium Plates  187 - z107
Metal Valve  163 - z107
Micro Processor  484 - z107
Mechanical Belts  94 - z107
Polymere  580 - z107
Improved Warp Drive Fuel  72 - z107
Mechanical Switch  401 - z107
Iron Coring Pipes  190 - z107
Pressure Sensor  484 - z107
Titanyte Beams  551 - z107
Basic Sensor  421 - z75
Nuts And Bolts  371 - z75
Misc Hardware  322 - z325
Thermal Sensor  538 - z325
Motion Sensor  480 - z325
Metal Gears  372 - z325
Improved Mass Reduction (Doc)  47 - z325
Mechanical Belts (Doc)  21 - z325
Prototype Armor Exterior (Doc)  53 - z325
Kinetics G-series 20mm Gun (Doc)  56 - z325
Explosive 20mm (Doc)  45 - z325
Prototype Energy Armor (Doc)  56 - z10,787,620
Thermal Sensor (Doc)  8 - z10,787,620
Basic ECM Range Lock (Doc)  18 - z10,787,620
Hand Tools (Doc)  58 - z10,787,620
Steelium Beam (Doc)  48 - z10,787,620
Ion Beam Class 1 (Doc)  16 - z10,787,620
Basic Missile Impact Mod (Doc)  31 - z10,787,620
Light Shield Booster (Doc)  21 - z10,787,620
Prototype ECM Resistance Field (Doc)  47 - z95,161
Prototype Engine Core (Doc)  49 - z95,161
Ion Beam Class 3 (Doc)  54 - z95,161
Assault x2 Launcher (Doc)  59 - z95,161
Advanced ECM Resistance Field (Doc)  11 - z72,196
Basic Afterburner (Doc)  45 - z72,196
Ore Harvester 6 (Doc)  28 - z72,196
Blaster x1 Laser (Doc)  29 - z72,196
Assorted Gaskets (Doc)  48 - z72,196
Ion Beam Class 2 (Doc)  34 - z72,196
Basic Energy Armor (Doc)  21 - z72,196
Fusion 60mm (Doc)  13 - z72,196
Fiber Optic Cables (Doc)  56 - z72,196
Improved Armor Exterior (Doc)  3 - z72,196
Pulse Beam Class 5 (Doc)  26 - z72,196
Basic Beam Explosive Mod (Doc)  9 - z72,196
Improved Cargo Expansion (Doc)  26 - z72,196
Advanced 20mm (Doc)  42 - z72,196
Cloak Range Extender (Doc)  20 - z72,196
Improved Energy Capacitor (Doc)  10 - z65,071


<Station University Skills>
Passive Scanner Systems
Projectile Advanced Systems
Miner Energy Optimization
Laser Cycle Mechanics
Storage Manager


<Station Missions>
[c:lime]RECOVER[/c]
Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Dragon Sea</color> sector, recover the <color='yellow'>1</color> <color='yellow'>Premium Thruster</color> and return to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Module Fragment</color> in <color='cyan'>Blades of Dandrow</color> and return to Ferce Hub in <color='cyan'>Semja</color> with minimum of <color='yellow'>44</color>

[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>2 Raiders</color> level 10 in <color='cyan'>Hunu</color>. Return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>



<Station Ships>
SC-1 Bishop / Cruiser    (Support)
SS-1 Arcane Shuttle / Shuttle    (Support)
TU-1 Jonas / Utility    (Transport)
RU-1 Curator / Utility    (Recon)
