[s:30][c:yellow]Horizons[/c][/s]
Headquarters
Serzokom Qireno
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 61760.9
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Polymere
Circuit Board
Basic Sensor
Thermal Sensor
Mechanical Switch
Fiber Optic Cables
Capacitors
Optical Interface
Regulator
Battery Core
Basic Cargo Expansion
Improved Cargo Expansion
Advanced Cargo Expansion
Premium Cargo Expansion
Prototype Cargo Expansion
Basic Mass Reduction
Improved Mass Reduction
Advanced Mass Reduction
Premium Mass Reduction
Prototype Mass Reduction
[c:orange]DEMAND[/c]
LED Lights
Micro Processor
Large Processor
Motion Sensor
Pressure Sensor
Memory Chip
Small Pump
Small Heatsink
Small Motor
Copperi Cables

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Needs Goods: (1) Items 
 (81) x Motion Sensor
Fulfill order for [c:lime]1,524 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (218) x Small Motor
 (230) x Small Heatsink
Fulfill order for [c:lime]7,409 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (122) x Pressure Sensor
 (124) x Pressure Sensor
Fulfill order for [c:lime]15,690 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (1) Items 
 (48) x Pressure Sensor
Fulfill order for [c:lime]2,432 profit.[/c]
[c:green]BUY Order[/c] Market Low Inventory: (1) Items 
 (128) x Copperi Cables
Fulfill order for [c:lime]6,669 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  686 - z17
Advanced Cargo Expansion  12 - z2,225
Advanced Mass Reduction  12 - z1,372
Advanced Regulator  2 - z7,271
Aluminium Rivets  79 - z31
Anti-Freeze  12 - z38
Antimatter 20mm  43 - z84
Antimatter 60mm  35 - z167
Assorted Gaskets  50 - z12
Assorted Springs (Doc)  5 - z714
Ball Bearings  158 - z88
Ball Bearings (Doc)  11 - z924
Basic 60mm  69 - z16
Basic Afterburner  5 - z1,149
Basic Armor Exterior  13 - z1,297
Basic Cargo Expansion  12 - z963
Basic Drone Command Bay  13 - z2,123
Basic Drone Command Bay (Doc)  3 - z20,106
Basic Energy Capacitor  13 - z1,137
Basic Filter  2 - z3,786
Basic Impact Armor (Doc)  9 - z67,126
Basic Mass Reduction  12 - z210
Basic Scan Booster  1 - z1,185
Basic Sensor  69 - z37
Basic Shield Generator  9 - z570
Basic Thruster  9 - z905
Basic Turn Thrust  18 - z1,319
Battery Core  46 - z93
Candy Cane  18 - z26
Candy Corn  12 - z17
Capacitors  90 - z52
Carbon  136 - z0
Carbon Fiber  174 - z24
Chocolate Bars  11 - z14
Circuit Board  29 - z31
Cleaning Chemicals  5 - z65
Colored Dye  7 - z94
Concussion Missile  68 - z421
Containment Unit  3 - z9,571
Corrosive Missile  79 - z139
Disposables  2 - z4,736
Fasteners  131 - z5
Fiber Optic Cables  41 - z73
Generic Construction Platform  1 - z1,342,813
Generic Dual 20mm Gun  15 - z503
Generic Single 20mm Gun (Doc)  17 - z6,151
Gradeon Ore  62 - z20
Gummy Bears  15 - z28
Heavy Energy Charge  18 - z297,866
Heavy Mining Drone  14 - z57,276
Heavy Repair Drone  7 - z108,426
Heavy Salvage Drone  18 - z167,826
Hydrogen  268 - z2
Improved Afterburner  5 - z2,336
Improved Cargo Expansion  12 - z2,957
Improved Energy Generator  15 - z11,538
Improved Engine Core (Doc)  13 - z110,222
Improved Filter  8 - z3,871
Improved Mass Reduction  43 - z1,767
Improved Scan Emitter  16 - z2,288
Interior Lighting  16 - z97
Ion Beam Class 1  15 - z2,196
Junk Part  195 - z55
Kinetic 60mm  85 - z37
Kinetic 60mm (Doc)  4 - z463
Kinetics G-series 20mm Gatling  4 - z2,172
Kitchen Appliances  11 - z143
Large Life Support Pack  2 - z96,132
Large Web Field  30 - z130,069
Liquid Coolant  193 - z47
Lubricant  42 - z8
Magnetic Quartz  29 - z1
Mechanical Belts  14 - z60
Mechanical Switch  44 - z51
Medium Armor Repair  29 - z213,596
Medium Combat Drone (Doc)  8 - z184,883
Medium Life Support Pack  30 - z86,713
Medium Mining Drone  4 - z8,057
Medium Salvage Drone  30 - z16,607
Medium Web Field  23 - z9,428
Metal Brackets  94 - z30
Metal Brackets (Doc)  18 - z441
Metal Gears  41 - z15
Metal Valve  40 - z25
Micro Leech Drone  32 - z16,607
Noodles  6 - z3,771
Nuts And Bolts  76 - z5
Nuts And Bolts (Doc)  17 - z87
Office Furniture  15 - z56
Optical Interface  114 - z46
Ore Harvester 1  11 - z4,712
Ornament  19 - z417
Oxygen  30 - z0
Plastic Caps  140 - z70
Plastic Caps (Doc)  4 - z676
Polymere  150 - z7
Premium Cargo Expansion  12 - z16,234
Premium Mass Reduction  29 - z32,690
Pressure Sensor  15 - z112
Protein Bar  2 - z2,986
Proton Missile  76 - z242
Prototype Cargo Expansion  12 - z209,228
Prototype Mass Reduction  36 - z149,684
Pulse Beam Class 1  18 - z2,343
Pulse Beam Class 2  19 - z3,514
Pulse x1 Laser  14 - z209
Radiated 20mm  72 - z37
Rapid x2 Launcher  1 - z3,684
Recon Scanner Drone  10 - z9,557
Regulator  150 - z15
Reinforced Rubber  167 - z14
Rubber Tubing  65 - z33
Salt Crystal  129 - z2
Salvage Collector 2  4 - z6,371
Scrap Part  117 - z161
Small Defense Drone (Doc)  12 - z54,513
Small Mining Drone (Doc)  8 - z81,153
Steelium Pipes  132 - z35
Steelium Pipes (Doc)  19 - z213
Tactical x2 Launcher  11 - z5,391
Tactical x2 Launcher (Doc)  19 - z68,368
Thermal Controller  3 - z5,036
Thermal Insulation  152 - z15
Thermal Insulation (Doc)  15 - z245
Thermal Sensor  150 - z10
Titan Defense Drone  28 - z129,281
Titan Repair Drone  12 - z274,281
Torpedo Mark I (Doc)  3 - z978
Torpedo Mark II  2 - z113
Torpedo Mark IX  1 - z1,010
Torpedo Mark V  26 - z327
Toxic 60mm  66 - z70
Uranium Core 20mm  97 - z34
Uranium Core 60mm  7 - z47
Water  262 - z0
Wrapped Box  19 - z3,019
x1 Torpedo Launcher  19 - z60,582


<Station University Skills>
Ship Shield Systems
Storage Manager
Beam Advanced Systems
Fabrication Accountant
Launcher Maintenance


<Station Missions>


<Station Ships>
RE-1 Integrator / Escort    (Recon)
EC-1 Mining Cruiser / Cruiser    (Excavation)
EE-1 Mining Escort / Escort    (Excavation)
PCA-1 Pirate Carrier / Carrier    (Assault)
TF-1 Hexalon / Frigate    (Transport)
BC-1 Alpharis Predator / Cruiser    (Battle)
