[s:30][c:yellow]Transporteers[/c][/s]
Auction Facility
Ribres Borxaxon
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 65950.81
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Nuts And Bolts
Fasteners
Steelium Beam
Assorted Gaskets
Lubricant
Steelium Pipes
Metal Brackets
Liquid Coolant
Reinforced Rubber
Carbon Fiber
Basic ECM Resistance Field
Advanced ECM Resistance Field
Prototype ECM Resistance Field
Basic ECM Power Boost
Advanced ECM Power Boost Field
Prototype ECM Power Boost Field
Basic ECM Energy Coil
Advanced ECM Energy Coil
Prototype ECM Energy Coil
Basic ECM Range Lock
Advanced ECM Range Lock
Prototype ECM Range Lock
[c:orange]DEMAND[/c]
Junk Part
Scrap Part
Undamaged Part
Metal Fragment
Electronic Fragment
Module Fragment
Weapons Component
Engine Component
Computer Component
Hull Chassis

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Mission Contracts


<Station Market Orders>
[c:red]SELL Order[/c] Market Goods: (1) Items 
 (485) x Metal Brackets
Buy items for [c:lime]15,096 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  200 - z220
Acidic Residue  646 - z12
Acrondia 60mm Howitzer Autogun  28 - z125,497
Adamyte Ore  240 - z17
Advanced 20mm  348 - z17
Advanced 60mm  328 - z50
Advanced Armor Exterior  7 - z11,640
Advanced Cargo Expansion  38 - z12,753
Advanced ECM Energy Coil  8 - z6,186
Advanced ECM Power Boost Field  29 - z6,658
Advanced ECM Range Lock  27 - z6,080
Advanced ECM Resistance Field  44 - z5,064
Advanced Filter  30 - z14,898
Advanced Missile  394 - z96
Advanced Regulator  27 - z9,413
Advanced Shield Booster  77 - z21,247
Advanced Waste Unit  23 - z510,283
Aged Wine  69 - z43
Aluminium Rivets  119 - z38
Aluminium Shard  772 - z28
Anti-Freeze  14 - z41
Antimatter 20mm  203 - z42
Antimatter 60mm  345 - z199
Antimatter Missile  107 - z556
Armor Plating  130 - z1,385
Assault x6 Launcher  73 - z75,169
Assembly Tools  3 - z33
Assorted Gaskets  788 - z14
Assorted Springs  386 - z44
Basic Afterburner  23 - z941
Basic Charged Cell  328 - z7
Basic ECM Energy Coil  44 - z6,083
Basic ECM Power Boost  25 - z5,439
Basic ECM Range Lock  12 - z3,631
Basic ECM Resistance Field  25 - z5,291
Basic Energy Generator  56 - z5,019
Basic Filter  28 - z5,357
Basic Food Rations  21 - z33
Basic Laser Impact Mod  22 - z3,014
Basic Missile  79 - z32
Basic Missile (Doc)  53 - z337
Basic Missile Impact Mod  17 - z2,534
Basic Scan Booster  64 - z2,363
Basic Scan Booster (Doc)  18 - z14,634
Basic Targeting System  19 - z782
Basic Turn Thrust (Doc)  65 - z21,947
Basic Warp Drive (Doc)  16 - z2,711,715
Belasite Ore  116 - z283
Bio Carbon  655 - z14
Bio Converter  21 - z49,571
Blaster x3 Laser  34 - z2,893
Blaster x4 Laser  31 - z5,174
Blaster x7 Laser  66 - z33,264
Bottled Whiskey  44 - z49
Burglar Drone (Doc)  25 - z92,036
Calciate Residue  519 - z107
Calcium  476 - z3
Calibration Tools  41 - z29
Candy Cane  28 - z12
Candy Corn  2 - z8
Carbon  291 - z1
Carbon Fiber  315 - z40
Carbon Filter  36 - z40,066
Cat Food  8 - z406,112
Ceramic  514 - z6
Cheese and Crackers  13 - z165,915
Cheeseburger  4 - z50,566
Childrens Toys  52 - z24
Chocolate Bars  60 - z15
Cleaning Chemicals  14 - z54
Colored Dye  50 - z56
Comm Device (Doc)  27 - z2,334
Communication Device  75 - z36
Compartment Frame  30 - z149
Connection Harness  523 - z414
Containment Unit  12 - z7,413
Cooling Unit  216 - z511
Copperi Cubex  1108 - z15
Copperi Plates  133 - z106
Corrosive 20mm  419 - z52
Disposables  31 - z4,257
Duct Work (Doc)  46 - z4,218
Dynex Crystal  475 - z15
Dynex Crystal Resonator  432 - z139
Dynex Crystal Resonator (Doc)  1 - z1,309
Dynex Ore  286 - z282
ECM Sensors Jammer  52 - z106,697
ECM Sensors Jammer (Doc)  3 - z1,568,363
Eco Regulator  31 - z39,066
Electron Orb  163 - z61
Electronic Fragment  612 - z1,891
Elite Skill Manual  154 - z1,153,575
Energized Missile  29 - z371
Engine Component  711 - z10,212
Entertainment Electronics  50 - z110
Entex V-series 20mm Gatling  41 - z7,404
Explosive 20mm  50 - z46
Fasteners  440 - z14
Fiber Optic Cables  19 - z108
Focused x1 Laser  34 - z744
Focused x6 Laser  9 - z29,662
Focused x8 Laser (Doc)  2 - z1,960,662
Foodservice Equipment  63 - z117
Foodservice Products  41 - z45
Fuel Injector  298 - z2,887
Fusion 20mm  276 - z38
Fusion 60mm  6 - z78
Gaming Devices  23 - z36
Glass Panels  317 - z334
Gourmet Food Rations  50 - z200
Gradeon Ore  171 - z31
Gummy Bears  53 - z29
Gunstellar 20mm Dual Barrel  19 - z8,347
Ham Sandwich  35 - z8,073
Heavy Energy Charge  159 - z275,881
Heavy Salvage Drone  71 - z89,317
Heavy Shield Bomb  16 - z91,540
Hydrogen  475 - z2
Hydrox Filter  18 - z499,883
Hygiene Products  53 - z111
Hyperion Regulator  23 - z402,212
Improved Cargo Expansion  50 - z4,993
Improved Combat Drone  133 - z29,759
Improved Defense Drone  96 - z37,409
Improved Energy Capacitor  28 - z3,245
Improved Engine Core  79 - z9,600
Improved Explosive Armor  39 - z7,181
Improved Filter  13 - z7,113
Improved Mass Reduction  15 - z1,725
Improved Mining Drone  59 - z19,859
Improved Repair Drone  71 - z25,259
Improved Repair Drone (Doc)  34 - z502,909
Improved Shield Booster  43 - z4,453
Improved Targeting System (Doc)  76 - z35,542
Improved Thruster  59 - z1,200
Improved Warp Drive Fuel  582 - z1,837
Inovex 60mm Auto Cannon  10 - z48,668
Interior Lighting  57 - z158
Ion Beam Class 2  23 - z5,460
Ion Beam Class 4  14 - z25,086
Iron Coring  1163 - z5
Iron Coring Beams  676 - z501
