[s:30][c:yellow]CoraVault[/c][/s]
Banking Facility
Nexa Mapei
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 63436.68
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Charged Cell
Torpedo Mark I
Torpedo Mark II
Torpedo Mark III
Torpedo Mark IV
Polymere
Circuit Board
Basic Sensor
Thermal Sensor
Mechanical Switch
Fiber Optic Cables
Capacitors
Optical Interface
Regulator
Battery Core
Torpedo Mark V
Torpedo Mark VI
Torpedo Mark VII
Torpedo Mark VIII
Torpedo Mark IX
Torpedo Mark X
[c:orange]DEMAND[/c]
Cleaning Chemicals
Colored Dye
Anti-Freeze

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (3) Items 
 (591) x Capacitors
 (286) x Mechanical Switch
 (137) x Torpedo Mark I
Buy items for [c:lime]79,450 discount.[/c]
[c:red]SELL Order[/c] Market Surplus: (1) Items 
 (151) x Torpedo Mark IV
Buy items for [c:lime]33,193 discount.[/c]
[c:red]SELL Order[/c] Market Inventory: (3) Items 
 (123) x Regulator
 (361) x Basic Sensor
 (120) x Thermal Sensor
Buy items for [c:lime]33,571 discount.[/c]
[c:red]SELL Order[/c] Market Inventory: (1) Items 
 (194) x Battery Core
Buy items for [c:lime]18,487 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Active Scanner  8 - z4,897
Adamyte Ore  5193 - z8
Advanced 60mm  79 - z36
Advanced Armor Exterior  23 - z18,219
Advanced Drone Command Bay (Doc)  11 - z226,781
Advanced Energy Capacitor  18 - z13,164
Advanced Filter  6 - z12,986
Advanced Regulator  14 - z5,721
Advanced Shield Booster  24 - z14,997
Advanced Skill Manual  61 - z376,031
Aged Wine  13 - z55
Aluminium Rivets  168 - z39
Anti-Freeze  6 - z65
Antimatter 60mm  115 - z121
Assault x1 Launcher  28 - z1,845
Assault x1 Launcher (Doc)  15 - z16,617
Assault x2 Launcher  29 - z2,907
Assault x3 Launcher (Doc)  24 - z56,532
Assorted Springs  213 - z82
Assorted Springs (Doc)  30 - z885
Ball Bearings  173 - z51
Ball Bearings (Doc)  14 - z781
Basic 60mm  9 - z16
Basic Charged Cell  33 - z5
Basic Drone Command Bay  5 - z1,260
Basic Energy Capacitor  6 - z2,735
Basic Explosive Armor  22 - z4,477
Basic Explosive Armor (Doc)  16 - z52,963
Basic Filter  6 - z5,210
Basic Food Rations  21 - z80
Basic Laser Impact Mod  32 - z1,791
Basic Missile Impact Mod  24 - z1,401
Basic Missile Impact Mod (Doc)  9 - z40,553
Basic Scan Booster  16 - z1,319
Basic Scan Emitter  16 - z1,092
Basic Sensor  138 - z60
Basic Shield Booster (Doc)  23 - z17,969
Basic Skill Manual  9 - z61,206
Basic Thruster  28 - z1,300
Basic Warp Drive Fuel  47 - z667
Battery Core  150 - z16
Battery Core (Doc)  15 - z1,825
Blaster x2 Laser (Doc)  23 - z17,147
