[s:30][c:yellow]Lacuna Bandits[/c][/s]
Entertainment Hub
Kilekom Anfer
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 82948.17
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Water
Carbon
Hydrogen
Oxygen
Magnetic Quartz
Iron Coring
Nitrogen
Oil
Copperi Cubex
Calcium
Ceramic
Aluminium Shard
Dynex Crystal
Silicon
Salt Crystal
Bio Carbon
Calciate Residue
Steelium
Plastix Strands
Silveryte
Prometheum
Neutron Pods
Uranium
Goldyte
Titanyte
Keypad
Acidic Residue
Aluminium Plates
Copperi Pipes
Copperi Plates
Dynex Crystal Resonator
Electronic Switch
Glass Panels
Hand Tools
Hardened Glass Panels
Iron Coring Beams
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (479) x Candy Cane
Fulfill order for [c:lime]1,661 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  250 - z2
Adamyte Ore  3163 - z7
Advanced 60mm  173 - z28
Advanced 60mm (Doc)  2 - z265
Advanced Afterburner (Doc)  7 - z89,643
Advanced Armor Exterior  31 - z12,147
Advanced Cargo Expansion  24 - z9,906
Advanced Energy Capacitor  39 - z19,410
Advanced Energy Generator  18 - z36,994
Advanced Energy Generator (Doc)  16 - z409,156
Advanced Engine Core  6 - z41,204
Advanced Filter  19 - z10,525
Advanced Missile  491 - z87
Advanced Regulator  18 - z10,714
Aged Wine  10 - z52
Aluminium Plates  40 - z85
Aluminium Rivets (Doc)  38 - z442
Aluminium Shard  224 - z16
Anti-Freeze  21 - z53
Antimatter 20mm  1573 - z70
Antimatter 60mm  178 - z123
Antimatter Missile  149 - z305
Assault x1 Launcher  25 - z2,602
Assault x2 Launcher  28 - z5,113
Assault x2 Launcher (Doc)  19 - z58,040
Assault x3 Launcher  36 - z7,465
Assorted Gaskets  288 - z5
Assorted Gaskets (Doc)  18 - z113
Ball Bearings  160 - z55
Basic 20mm  2279 - z16
Basic Afterburner  18 - z1,104
Basic Armor Exterior  12 - z1,689
Basic Cargo Expansion  40 - z1,842
Basic Charged Cell  130 - z4
Basic Explosive Armor (Doc)  2 - z80,466
Basic Filter  12 - z5,157
Basic Food Rations  20 - z35
Basic Laser Energy Mod (Doc)  24 - z43,311
Basic Laser Impact Mod  34 - z3,089
Basic Laser Impact Mod (Doc)  27 - z26,369
Basic Projectile Energy Mod (Doc)  34 - z23,263
Basic Scan Booster  12 - z1,098
Basic Sensor (Doc)  30 - z377
Basic Warp Drive Fuel  300 - z1,330
Basic Warp Drive Fuel (Doc)  38 - z13,928
Battery Core  76 - z105
Battery Core (Doc)  32 - z1,360
Bio Carbon  37 - z16
Blaster x1 Laser  38 - z1,001
Blaster x2 Laser  34 - z1,599
Bottled Whiskey  25 - z68
Calciate Residue  258 - z71
Calcium  250 - z1
Candy Corn  39 - z26
Carbon  250 - z0
Carbon Filter  16 - z45,572
Ceramic  32 - z12
Cheeseburger  1 - z53,572
Childrens Toys  5 - z22
Chocolate Bars  8 - z23
Circuit Board  61 - z32
Cleaning Chemicals  917 - z59
Colored Dye  27 - z121
Containment Unit  11 - z4,414
Copperi Cables  264 - z82
Copperi Cubex  30 - z10
Copperi Pipes  52 - z81
Copperi Plates  150 - z23
Corrosive Missile  39 - z218
Disposables  2 - z3,157
Dynex Crystal  250 - z18
Dynex Crystal Resonator  29 - z120
Eco Regulator  16 - z32,072
Electronic Switch  150 - z34
Elite Skill Manual  42 - z709,729
Energized Missile  94 - z197
Energy Bomb  48 - z3,957
Entertainment Electronics  6 - z170
Entex IV-series 20mm Gun  31 - z7,614
Explosive 60mm  10 - z69
Fasteners  212 - z7
Focused x3 Laser  22 - z5,838
Fusion 60mm  121 - z91
Fusion Missile  125 - z147
Gaming Devices  38 - z45
Generic Gatling 20mm Gun  13 - z783
Glass Panels  150 - z43
