[s:30][c:yellow]Star Shepards Hub[/c][/s]
Engineering Facility
Bemdee Tudoe
Temple
[c:lime]Dock fee 100[/c]
Timestamp: 90670.21
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Cleaning Chemicals
Colored Dye
Anti-Freeze
Iron Coring Pipes
Iron Coring Plates
Large Heatsink
Large Microchip
Large Pump
Misc Hardware
Small Electronics
Small Microchip
Steelium Plates
Titanyte Beams
[c:orange]DEMAND[/c]
Mechanical Tools
Assembly Tools
Medical Instruments
Calibration Tools

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Storage
Mission Contracts


<Station Market Orders>
[c:red]SELL Order[/c] Market Inventory: (2) Items 
 (296) x Colored Dye
 (639) x Cleaning Chemicals
Buy items for [c:lime]58,176 discount.[/c]
[c:red]SELL Order[/c] Market Inventory: (1) Items 
 (246) x Large Heatsink
Buy items for [c:lime]25,015 discount.[/c]
[c:red]SELL Order[/c] Looking to Sell (2) Items 
 (456) x Silicon
 (293) x Basic 60mm
Buy items for [c:lime]5,930 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  44 - z13
Advanced 20mm  45 - z29
Advanced 60mm  10 - z48
Advanced Missile  1768 - z91
Anti-Freeze  1000 - z8
Antimatter 20mm  3 - z37
Antimatter Missile  26 - z439
Assault x1 Launcher  1 - z1,927
Assorted Gaskets  97 - z12
Basic Afterburner  1 - z912
Basic Armor Exterior  8 - z1,153
Basic Armor Exterior (Doc)  6 - z13,065
Basic Cargo Expansion  9 - z2,075
Basic Drone Command Bay  14 - z2,103
Basic Energy Armor (Doc)  5 - z45,742
Basic Energy Capacitor  4 - z1,684
Basic Energy Generator  8 - z3,147
Basic Engine Core  6 - z4,785
Basic Explosive Armor  8 - z7,128
Basic Explosive Armor (Doc)  8 - z71,761
Basic Filter  2 - z2,639
Basic Mass Reduction  5 - z526
Basic Missile  34 - z20
Basic Scan Booster  9 - z1,600
Basic Scan Emitter  8 - z1,063
Basic Shield Booster  1 - z1,517
Basic Shield Booster (Doc)  6 - z30,393
Basic Shield Generator  6 - z1,411
Basic Targeting System  5 - z988
Basic Thruster  2 - z764
Basic Thruster (Doc)  5 - z12,561
Basic Turn Thrust  4 - z1,538
Blaster x1 Laser  1 - z968
Bomber Drone  1 - z9,416
Candy Cane  5 - z35
Candy Corn  8 - z19
Carbon  120 - z1
Carbon Fiber  57 - z61
Carbon Fiber (Doc)  5 - z395
Chocolate Bars  4 - z20
Cleaning Chemicals  1000 - z9
Colored Dye  1000 - z19
Corrosive 60mm  18 - z75
Corrosive Missile  1937 - z204
Disposables  3 - z4,689
Explosive 20mm  38 - z43
Fasteners  40 - z8
Focused x1 Laser  1 - z1,117
Focused x1 Laser (Doc)  7 - z13,737
Fusion 60mm  2351 - z71
Fusion Missile  36 - z63
Generic Dual 20mm Gun  3 - z1,076
Generic Gatling 20mm Gun  19 - z591
Generic Single 20mm Gun  5 - z1,305
Gummy Bears  9 - z28
Heavy Combat Drone  15 - z146,471
Heavy Energy Charge  4 - z269,034
Heavy Salvage Drone  14 - z143,171
Heavy Shield Charge  13 - z181,357
Ion Beam Class 1  14 - z2,284
Iron Coring Pipes  43 - z94
Iron Coring Plates  150 - z19
Junk Part  45 - z100
Kinetic 20mm  41 - z20
Kinetic Missile  37 - z470
Large Defense Drone  8 - z58,770
Large Heatsink  150 - z22
Large Microchip  39 - z125
Large Mining Drone  8 - z112,770
Large Pump  150 - z39
Large Salvage Drone  13 - z60,770
