//;LOG DATA FILE (Astrox Imperium)
COMPLETED;Salvage;Dismantle ;20,521;198323.02357471;Horizons;Gate of Alpharis;9h 38m 39s 
ACCEPTED;Salvage;Dismantle Special Electro...;-15355;146865.69935596;Proctors Center;Void Starcross;8h 58m 36s 
COMPLETED;Harvest;Harvest S...;15,341;154847.318496585;Proctors Center;Void Starcross;8h 56m 33s 
ACCEPTED;Harvest;Harvest Special Adamyte O...;-244;131927.56888783;CoraVault;Lins;7h 55m 59s 
COMPLETED;Delivery;Deliver light container o...;18,321;132271.56888783;ValueStar;Hunu;7h 46m 25s 
ACCEPTED;Delivery;Deliver light container o...;-2213.125;111837.64310658;StarGypsy Warehouse;Void Starcross;7h 42m 30s 
COMPLETED;Delivery;Deliver light container o...;15,471;84461.5815831423;Tella's;Bitcola;7h 28m 44s 
ACCEPTED;Delivery;Deliver light container o...;-482.625;68608.4116307497;Genistar;Blades of Dandrow;7h 19m 55s 
COMPLETED;Delivery;Deliver light container o...;18,441;69091.0366612673;Genistar;Blades of Dandrow;7h 11m 39s 
ACCEPTED;Delivery;Deliver light container o...;-9200;41549.8179112673;Starbase Corporate Center;Void Starcross;7h 2m 13s 
COMPLETED;Harvest;Excavate ...;16,231;50126.9219495058;Starbase Corporate Center;Void Starcross;6h 54m 11s 
ACCEPTED;Harvest;Excavate Special Torim Or...;-6120;67076.4369622469;StarGypsy Warehouse;Void Starcross;5h 45m 5s 
COMPLETED;Delivery;Dock at Genistar in ;18,853;99832.783203125;Genistar;Blades of Dandrow;5h 12m 20s 
ACCEPTED;Delivery;Dock at Genistar in Blade...;-19250;62030.01953125;Acrondia Hub;Temple Gates;4h 56m 3s 
COMPLETED;Escort;Entert...;15,055;81380.01953125;Star Shepards Hub;Temple Gates;4h 52m 13s 
ACCEPTED;Escort;Entertainer Cooyan Youkil...;-0;66725.01953125;Biomate University;Void Starcross;4h 36m 56s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,983;66725.01953125;Biomate University;Void Starcross;4h 36m 0s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;8,015;75760.1166558266;Biomate University;Void Starcross;3h 28m 25s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;8,047;67751.116656065;Biomate University;Void Starcross;3h 24m 35s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;8,367;55493.5153133869;Biomate University;Void Starcross;3h 19m 15s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;11,000;59595.229786396;Biomate University;Void Starcross;3h 3m 4s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,700;48595.229786396;Biomate University;Void Starcross;2h 58m 2s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,700;46546.2297866344;Biomate University;Void Starcross;2h 46m 19s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,700;51242.7428970337;Biomate University;Void Starcross;2h 36m 11s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,700;44369.5482437611;Biomate University;Void Starcross;2h 34m 4s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,040;35685.1483049393;Biomate University;Void Starcross;2h 29m 22s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,509;28646.348304987;Biomate University;Void Starcross;2h 26m 24s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,040;19858.8083794117;Biomate University;Void Starcross;2h 13m 47s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,040;16496.1662163734;Biomate University;Void Starcross;1h 53m 52s 
COMPLETED;Harvest;( Tutorial 1 ) Harvest yo...;6,525;14591.9011230469;Biomate University;Void Starcross;1h 28m 25s 
