//;LOG DATA FILE (Astrox Imperium)
SKILL;3;Ship Shield Systems;6 min;15;3870.0;139312.255020022;Horizons;Gate of Alpharis;8h 44m 24s 
SKILL;1;Salvager Basic Operation;2 min;5;1212.0;50749.8179112673;Starbase Corporate Center;Void Starcross;6h 58m 57s 
SKILL;3;Miner Basic Operation;6 min;15;1404.0;27286.5996704102;Lacuna Bandits;Ballast Crow;6h 22m 56s 
SKILL;2;Miner Basic Operation;4 min;10;936.0;28690.5996704102;Lacuna Bandits;Ballast Crow;6h 18m 39s 
SKILL;2;Escort Ship Operation;1 min;12;2250.0;573510.125;Biomate University;Void Starcross;3h 31m 40s 
SKILL;1;Frigate Ship Operation;2 min;17;6375.0;53220.229786396;Biomate University;Void Starcross;3h 4m 31s 
SKILL;1;Utility Ship Operation;1 min;11;2625.0;40895.229786396;Biomate University;Void Starcross;2h 53m 7s 
SKILL;2;Projectile Basic Operation;4 min;10;3020.0;43526.2297866344;Biomate University;Void Starcross;2h 47m 38s 
SKILL;1;Projectile Basic Operation;2 min;5;1510.0;40806.5851333141;Biomate University;Void Starcross;2h 40m 43s 
SKILL;3;Beam Basic Operation;6 min;15;3294.0;42316.5851333141;Biomate University;Void Starcross;2h 40m 29s 
SKILL;2;Beam Basic Operation;4 min;10;2196.0;42172.3482437134;Biomate University;Void Starcross;2h 34m 59s 
SKILL;1;Beam Basic Operation;2 min;5;1098.0;18740.4083788395;Biomate University;Void Starcross;2h 15m 21s 
SKILL;3;Laser Basic Operation;6 min;18;6105.0;9986.90112304688;Biomate University;Void Starcross;1h 31m 6s 
SKILL;2;Laser Basic Operation;4 min;12;4070.0;31890;Biomate University;Void Starcross;0h 4m 45s 
