// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomate University
STATION;type;Academic University
STATION;owner;Telyoupea Akpi
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;10
STATION;icon;biomate.png
STATION;filename;sector_0_station_0.txt
STATION;max_hp;25000000
STATION;dockfee;0
STATION;lease;30
STATION;seed;4-8-1-5-5-2-9-1-2-6-3-1-1-5-4-1-2-1-4-4-0-4-0
STATION;interior_seed;0-0-15-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;85481.92
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(recon_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(recon_escort_1).txt
MERC;9;1.93;npc_ship_data_(recon_utility_1).txt
MERC;12;1.23;npc_ship_data_(recon_utility_2).txt
MERC;15;1.47;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (1) Items ;216x585;29747.00;117048.10
SELLORDER;Market Stock: (3) Items ;215x329,210x995,209x720;46966.00;98238.75
BUYORDER;Market Shortage: (1) Items ;353x444;59927.00;86691.85
BUYORDER;Purchase Request (2) Items ;1027x8,1201x6;130440.00;100638.30
ITEM;2000;92;0.86;12.81
ITEM;1;4918;0.56;6.84
ITEM;42;1817;1.05;24.50
ITEM;2331;92;0.83;140962.60
ITEM;1771;38;0.64;4981.45
ITEM;2370;68;1.07;110409.60
ITEM;1776;66;1.12;9691.40
ITEM;2376;80;0.59;53890.04
ITEM;2367;62;1.01;103344.60
ITEM;1642;54;1.01;41210.41
ITEM;1572;68;0.59;9239.83
ITEM;1512;29;1.13;38728.11
ITEM;622;37;0.69;9759.20
ITEM;61;2418;1.13;89.79
ITEM;641;20;0.98;8476.69
ITEM;2326;63;0.55;98649.60
ITEM;1552;12;0.25;2836.83
ITEM;1562;12;0.25;1500.97
ITEM;737;71;1.01;438834.40
ITEM;402;395;1.09;7421.93
ITEM;667;7;0.73;310787.80
ITEM;310;113;1.00;49.20
ITEM;629;14;0.91;956532.60
ITEM;2025;735;0.56;418.77
ITEM;2001;397;1.09;115.40
ITEM;163;72;1.09;35.91
ITEM;2439;13;0.70;255.45
ITEM;111;608;0.82;17.54
ITEM;302;966;0.99;48.63
ITEM;2128;2024;0.63;47.93
ITEM;2131;-99;0.82;124.19
ITEM;2131;6577;0.81;122.39
ITEM;2652;2368;1.11;743.03
ITEM;2415;10;1.01;8004.34
ITEM;2028;254;0.95;1449.73
ITEM;1062;84;0.72;5406.55
ITEM;1067;20;0.49;6581.11
ITEM;1068;82;0.97;493219.40
ITEM;351;0;1.50;129.32
ITEM;649;31;0.84;870432.50
ITEM;2055;702;1.00;2710.08
ITEM;2521;73;0.76;23525.65
ITEM;169;767;0.80;63.70
ITEM;40;1986;1.13;14.67
ITEM;50;2203;0.98;20.85
ITEM;1720;23;0.78;2406.28
ITEM;70;3974;0.84;5.24
