// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;StarShepards Headquarters
STATION;type;Worship Center
STATION;owner;Temple Of the Void
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color; 1.0 , 0.0 , 1.0 , 1.0
STATION;level;9
STATION;icon;star_shepards.png
STATION;filename;sector_0_station_3.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-4-0-4-1-3-0-0-4-1-3-6-1-5-1-1-3-1-3-0
STATION;interior_seed;3-3-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;51095.03
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(support_escort_1).txt
MERC;9;1.93;npc_ship_data_(support_utility_1).txt
MERC;12;1.23;npc_ship_data_(support_utility_2).txt
MERC;15;1.47;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Sale Request Order: (1) Items ;1615x12;17406;118452.20
BUYORDER;Market Low Inventory: (2) Items ;305x90,303x240;45484.00;79284.48
BUYORDER;Market Items Req: (4) Items ;303x561,303x204,303x89,303x332;120067.00;91782.48
BUYORDER;Market Low Inventory: (1) Items ;303x401;34005.00;53153.81
BUYORDER;Market Out of Stock: (1) Items ;303x154;20471.00;54003.80
BUYORDER;Market Needs Goods: (1) Items ;304x232;35440.00;50319.80
BUYORDER;Market Out of Stock: (3) Items ;303x92,303x278,303x307;66520.00;95157.53
ITEM;2000;1322;1.10;17.53114
ITEM;1;13255;0.90;12.7374
ITEM;1752;96;0.65;12.7374
ITEM;1766;92;0.93;12.7374
ITEM;1761;51;0.46;3494.073
ITEM;1572;113;0.74;12841.91
ITEM;1582;65;0.98;31729.44
ITEM;1512;55;0.60;19257.42
ITEM;622;8;0.25;2556.531
ITEM;61;4665;0.62;46.44788
ITEM;641;23;1.09;9860.875
ITEM;1617;30;0.56;8976.987
ITEM;1552;89;1.07;23291.02
ITEM;402;1191;0.42;2449.678
ITEM;2531;46;0.60;46136.14
ITEM;667;41;0.39;148765.5
ITEM;310;3337;0.60;28.12816
ITEM;629;5;0.25;179687.6
ITEM;2025;796;1.10;179687.6
ITEM;2001;862;0.66;67.00854
ITEM;111;1052;1.07;24.63523
ITEM;2026;619;0.63;566.1754
ITEM;2027;1306;0.90;1126.543
ITEM;302;3579;0.84;1126.543
ITEM;2128;9076;0.55;42.95823
ITEM;2652;6574;0.89;597.4265
ITEM;1052;76;0.62;1187.001
ITEM;2143;20;0.96;189024.1
ITEM;1072;92;1.10;189024.1
ITEM;1058;113;0.49;56832.08
ITEM;2146;95;0.70;56832.08
ITEM;1068;122;0.53;250880.3
ITEM;351;2407;0.94;63.29182
ITEM;167;958;0.57;40.36318
ITEM;169;840;0.90;75.94675
ITEM;50;11301;0.41;75.94675
