// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Proctors Center
STATION;type;Patrol Annex Station
STATION;owner;Kandace
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color; 0.0 , 0.0 , 1.0 , 1.0
STATION;level;10
STATION;icon;proctors.png
STATION;filename;sector_0_station_5.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;40
STATION;seed;3-4-0-1-2-0-2-1-2-0-0-4-1-3-2-1-2-1-1-2-1-3-0
STATION;interior_seed;3-1-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;44974.16
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(battle_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(battle_escort_1).txt
MERC;9;1.93;npc_ship_data_(battle_utility_1).txt
MERC;12;1.23;npc_ship_data_(battle_utility_2).txt
MERC;15;1.47;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (3) Items ;1x504,1x190,2x686;45808;140838.70
BUYORDER;Market Items Req: (2) Items ;3x331,3x764;106388;90386.07
BUYORDER;Market Low Inventory: (1) Items ;1x93;2538.00;92205.45
BUYORDER;Market Needs Goods: (1) Items ;1x214;6498.00;81107.45
ITEM;2023;976;1.00;516.7891
ITEM;2000;1325;1.15;18.34818
ITEM;1016;84;0.44;18.34818
ITEM;1;10136;1.01;18.34818
ITEM;42;8168;0.63;14.08155
ITEM;52;5934;0.83;33.73339
ITEM;1622;106;0.55;7516.029
ITEM;1752;44;0.25;5109.201
ITEM;2376;103;0.97;101321.4
ITEM;1761;109;0.72;101321.4
ITEM;2367;13;0.45;40417.18
ITEM;2271;37;0.44;40417.18
ITEM;622;38;0.48;6605.5
ITEM;1632;106;1.01;42226.91
ITEM;1542;124;0.84;8590.72
ITEM;61;6660;0.67;50.78729
ITEM;641;20;0.69;5846.085
ITEM;1617;109;1.05;18658.15
ITEM;1602;80;1.04;11811.72
ITEM;737;171;0.84;364566.3
ITEM;2024;1032;1.10;764.4434
ITEM;1612;34;0.61;6352.088
ITEM;2384;15;0.98;2.91796E+08
ITEM;402;901;0.72;4727.78
ITEM;667;53;0.63;270653.9
ITEM;2053;1037;0.63;851.3843
ITEM;310;3522;1.06;54.32336
ITEM;629;20;0.44;406565.4
ITEM;2025;952;0.56;441.5866
ITEM;163;506;0.71;22.78602
ITEM;111;1235;0.51;10.30301
ITEM;2026;653;0.70;637.022
ITEM;302;3600;0.64;30.23157
ITEM;2128;9264;0.45;32.81355
ITEM;2028;417;1.17;32.81355
ITEM;1052;52;0.56;1037.571
ITEM;1062;101;1.08;8974.406
ITEM;351;3133;1.04;70.49178
ITEM;167;1542;0.72;52.72703
ITEM;649;25;0.60;52.72703
ITEM;40;8743;0.77;52.72703
ITEM;50;4708;0.67;52.72703
ITEM;2396;34;0.60;144.7157
ITEM;1530;40;0.99;2132.481
ITEM;70;9477;0.62;3.818702
ITEM;1750;21;0.25;3.818702
ITEM;1770;102;0.82;3.818702
ITEM;1775;94;0.51;3942.458
ITEM;1760;142;0.76;6461.014
