// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Vo Industries
STATION;type;Probe Launch Facility
STATION;owner;Bidqa Rondee
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;9
STATION;icon;vo_industries.png
STATION;filename;sector_101_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-8-0-1-7-2-6-1-3-7-2-1-1-1-9-1-8-0
STATION;interior_seed;3-6-30-5
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;45962.81
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;0.52;npc_ship_data_(transport_shuttle_1).txt
MERC;9;1.25;npc_ship_data_(recon_cruiser_1).txt
MERC;3;1.28;npc_ship_data_(pirate_carrier_1).txt
MERC;4;0.84;npc_ship_data_(support_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (2) Items ;331x97,331x412;142523.00;81051.86
BUYORDER;Market Shortage: (3) Items ;331x476,331x627,332x617;202668.00;54234.86
BUYORDER;Market Shortage: (3) Items ;333x263,330x346,330x445;275328.00;103214.50
BUYORDER;Buying: (3) Items ;320x1321,311x866,324x848;184773.00;101664.60
BUYORDER;Market Needs Goods: (3) Items ;330x270,331x108,332x138;54538.00;65015.94
ITEM;2023;336;1.03;535.91
ITEM;2000;1283;0.88;13.74
ITEM;1451;35;0.85;6007.10
ITEM;1;550;0.52;6.73
ITEM;42;362;1.12;27.26
ITEM;52;30;1.15;49.18
ITEM;2398;62;1.22;629.94
ITEM;1622;88;0.87;12979.67
ITEM;1752;63;0.88;27736.42
ITEM;1771;69;0.96;8447.37
ITEM;1766;73;1.13;10115.48
ITEM;1572;25;0.62;10516.15
ITEM;1582;13;0.89;28643.73
ITEM;622;26;1.18;18915.53
ITEM;1632;39;0.67;26805.68
ITEM;61;249;0.97;78.38
ITEM;641;20;0.55;4508.88
ITEM;1602;15;1.22;14240.43
ITEM;1552;54;0.55;10870.27
ITEM;737;47;1.17;535443.80
ITEM;1612;22;1.11;12657.42
ITEM;667;23;1.16;551661.50
ITEM;2053;44;0.84;1210.85
ITEM;310;89;0.77;38.04
ITEM;2025;213;1.17;1048.61
ITEM;2001;281;0.97;104.94
ITEM;163;195;0.57;17.66
ITEM;111;815;0.95;21.70
ITEM;2026;41;0.84;797.34
ITEM;302;42;0.83;41.44
ITEM;2128;-99;0.86;73.27
ITEM;2128;2004;0.92;79.05
ITEM;2131;230;0.57;85.04
ITEM;2652;247;0.89;601.07
ITEM;2054;42;0.70;1343.16
ITEM;1062;6;0.57;4332.17
ITEM;351;89;1.24;86.37
ITEM;167;483;1.00;78.02
ITEM;649;28;0.67;704097.80
ITEM;2055;26;0.68;1825.10
ITEM;40;2157;1.20;16.18
ITEM;2396;53;1.23;333.61
ITEM;1520;93;0.84;928.04
