// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Star Shepard's Temple
STATION;type;Worship Center
STATION;owner;Binsakol Lascorbue
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;7
STATION;icon;star_shepards.png
STATION;filename;sector_102_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-5-1-2-4-1-3-1-7-5-2-0-90
STATION;interior_seed;5-1-45-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;89765.41
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.26;npc_ship_data_(battle_shuttle_1).txt
MERC;5;1.23;npc_ship_data_(battle_frigate_1).txt
MERC;4;0.52;npc_ship_data_(transport_carrier_1).txt
MERC;1;0.89;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (1) Items ;305x930;253006;120108.70
BUYORDER;Market Items Req: (2) Items ;304x708,304x767;308614;160516.70
BUYORDER;Market Low Inventory: (1) Items ;303x321;43412.00;156085.00
BUYORDER;Market Shortage: (3) Items ;304x280,304x545,303x803;227371.00;165069.00
BUYORDER;Market Needs Goods: (1) Items ;305x141;24379.00;95266.77
ITEM;2000;520;0.59;8.40
ITEM;1451;5;0.77;5257.50
ITEM;1;279;0.55;7.00
ITEM;52;128;1.23;52.28
ITEM;2370;8;0.75;75028.19
ITEM;1776;3;1.21;10766.04
ITEM;2376;3;0.69;67963.25
ITEM;622;27;1.16;18325.78
ITEM;641;7;1.15;10371.88
ITEM;737;31;0.81;348593.80
ITEM;2024;0;0.72;468.99
ITEM;310;626;1.05;53.14
ITEM;629;5;0.60;596437.10
ITEM;2025;433;0.62;496.64
ITEM;111;692;0.68;14.46
ITEM;2026;513;0.92;868.70
ITEM;2027;13;0.51;562.06
ITEM;302;0;0.98;49.17
ITEM;2131;52;0.52;73.54
ITEM;1072;33;0.96;31176.50
ITEM;2144;5;0.93;360870.00
ITEM;1053;27;0.55;32177.00
ITEM;351;752;0.72;45.96
ITEM;167;593;0.64;45.65
ITEM;1722;18;0.80;2553.11
ITEM;70;170;0.70;4.35
ITEM;1770;22;1.23;10962.29
ITEM;2372;30;0.87;89158.07
ITEM;1760;60;0.63;5074.85
ITEM;2366;67;0.82;83270.62
ITEM;620;5;1.14;5135.94
ITEM;312;613;0.51;29.71
ITEM;1630;49;0.75;4063.60
ITEM;60;332;0.62;25.36
ITEM;2358;36;0.96;32969.15
ITEM;1700;23;0.84;6041.84
ITEM;1560;29;1.12;1283.16
ITEM;736;104;0.72;60718.75
ITEM;1590;38;0.81;1168.42
ITEM;400;707;1.01;1168.14
ITEM;115;140;0.84;20.07
ITEM;664;2;0.95;108834.40
ITEM;665;1;1.06;227325.00
ITEM;1111;14;0.61;944.66
ITEM;1116;9;0.53;20984.53
ITEM;311;46;0.57;33.19
ITEM;109;559;1.02;4.63
ITEM;353;45;1.19;54.83
ITEM;403;64;0.84;16.73
ITEM;205;333;0.52;47.03
ITEM;101;961;0.91;0.60
ITEM;623;29;0.72;30359.38
ITEM;606;32;0.59;186103.10
ITEM;110;405;0.94;13.98
ITEM;605;12;0.64;126525.00
ITEM;603;21;0.59;23859.38
ITEM;325;833;1.10;22.61
ITEM;404;0;1.01;22.43
ITEM;200;30;1.18;66.17
ITEM;300;0;1.01;55.81
ITEM;2378;23;0.87;89158.07
ITEM;2381;59;0.58;55010.86
ITEM;301;26;1.19;149.62
ITEM;332;21;1.01;62.09
ITEM;2651;145;0.56;290.67
ITEM;666;14;1.00;346003.10
ITEM;661;27;0.64;5271.88
