// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Temple of the Void
STATION;type;Worship Center
STATION;owner;Gobaz Jaliswen
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;9
STATION;icon;totv.png
STATION;filename;sector_103_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-1-0-4-9-2-9-0-5-1-3-2-0
STATION;interior_seed;3-3-45-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;49878.34
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;0.90;npc_ship_data_(pirate_frigate_1).txt
MERC;4;1.90;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (1) Items ;2040x623;183597;76824.99

BUYORDER;Market Out of Stock: (1) Items ;304x672;143012.00;78845.86
BUYORDER;Request Order: (1) Items ;321x15;2317.00;102882.40
SELLORDER;Market Goods: (1) Items ;2044x126;92986.00;83827.03
ITEM;2000;37;0.68;10.14
ITEM;1016;38;1.17;170592.00
ITEM;1;0;0.65;8.74
ITEM;52;282;0.85;34.92
ITEM;1622;2;0.73;10543.52
ITEM;1752;40;0.68;20466.11
ITEM;2363;57;0.51;173134.20
ITEM;1642;51;0.79;32220.11
ITEM;2341;8;0.79;386641.50
ITEM;622;3;1.21;19358.50
ITEM;61;207;0.73;56.36
ITEM;641;33;0.84;7362.00
ITEM;1617;68;1.12;20001.46
ITEM;737;97;0.70;298100.00
ITEM;667;44;0.68;299624.00
ITEM;310;5;0.73;35.51
ITEM;629;37;0.71;745626.00
ITEM;2001;390;0.55;53.77
ITEM;163;82;0.69;21.98
ITEM;111;936;0.76;16.73
ITEM;302;37;1.06;54.22
ITEM;2131;47;0.75;116.70
ITEM;2652;0;1.02;696.31
ITEM;2028;471;0.97;1535.77
ITEM;1052;62;0.65;1256.26
ITEM;2143;38;0.96;189049.00
ITEM;1053;68;0.76;48296.32
ITEM;1058;53;1.08;143696.60
ITEM;351;28;0.58;36.05
ITEM;153;250;0.75;8.08
ITEM;169;43;0.77;63.56
ITEM;1620;5;0.87;1230.98
ITEM;1530;7;1.00;2167.73
ITEM;2369;11;0.85;87864.30
ITEM;1760;30;1.00;8793.87
ITEM;1640;77;0.71;3865.98
ITEM;2304;55;0.60;32434.61
ITEM;1510;50;0.78;3862.32
ITEM;1650;18;1.10;6353.17
ITEM;620;19;0.88;3881.00
ITEM;312;31;1.22;83.49
ITEM;60;0;0.58;23.81
ITEM;1732;17;1.08;2958.47
ITEM;1730;80;0.70;1933.48
ITEM;1550;56;0.68;1951.76
ITEM;736;144;0.50;39620.00
ITEM;1500;44;0.58;561.54
ITEM;400;78;0.52;541.89
ITEM;8;788;1.11;603.72
ITEM;115;1081;1.23;31.08
ITEM;664;18;0.76;85306.00
ITEM;665;38;0.88;186288.00
ITEM;668;32;0.97;684298.00
ITEM;1110;44;0.53;426.20
ITEM;727;64;0.78;10143.00
ITEM;2564;59;0.89;141516.00
ITEM;311;40;0.70;43.28
ITEM;729;70;0.82;10743.00
ITEM;116;828;0.64;56.68
ITEM;109;1234;0.77;3.40
ITEM;353;59;0.67;28.82
ITEM;406;2;0.78;20.96
ITEM;403;68;0.80;16.01
ITEM;205;240;0.78;78.10
ITEM;101;766;0.89;0.59
ITEM;623;4;0.79;34192.74
ITEM;606;38;1.10;388518.00
ITEM;110;523;0.82;12.10
ITEM;605;11;0.84;176688.00
ITEM;603;25;0.96;42810.00
ITEM;325;78;0.84;16.86
ITEM;404;45;0.68;14.41
ITEM;200;214;0.87;47.50
ITEM;300;71;0.74;39.57
ITEM;2379;73;0.79;80799.37
ITEM;1780;71;0.62;5065.16
ITEM;1778;86;0.72;6046.40
ITEM;2378;77;1.05;111414.10
ITEM;301;89;0.51;56.42
ITEM;2030;75;0.62;108.97
ITEM;332;64;0.71;41.95
ITEM;28;0;0.98;10251.54
ITEM;2651;436;0.99;576.03
ITEM;2032;309;0.90;406.30
ITEM;666;20;1.03;361218.00
ITEM;661;9;0.81;7062.00
ITEM;2033;5;1.09;606.02
ITEM;108;327;1.19;16.51
ITEM;2002;342;0.86;99.82
ITEM;2003;604;0.87;134.93
ITEM;2126;0;0.61;36.35
ITEM;2129;19;0.55;53.23
ITEM;63;47;0.84;147.24
ITEM;628;5;0.62;407798.00
ITEM;660;21;0.67;2831.00
ITEM;2034;424;0.85;533.91
ITEM;112;1160;0.83;20.33
ITEM;2004;63;0.67;120.83
ITEM;7;545;0.91;298.29
ITEM;1477;63;1.16;158430.00
ITEM;643;5;0.57;23310.00
ITEM;2035;46;0.78;619.80
ITEM;11;296;0.97;82.29
ITEM;24;25;0.83;1205.49
ITEM;2005;769;0.70;153.22
ITEM;738;4;0.64;643440.00
ITEM;2118;107;0.58;166.67
ITEM;702;27;0.98;4381.00
ITEM;27;102;1.17;9558.48
ITEM;322;69;1.09;211.24
ITEM;2111;286;0.56;19.07
ITEM;2114;109;0.85;53.20
ITEM;204;743;0.89;81.76
ITEM;2185;34;0.72;308346.50
ITEM;1126;76;1.14;86315.46
ITEM;2186;22;0.90;795881.50
ITEM;343;80;0.67;77.57
ITEM;341;45;0.80;53.54
ITEM;2039;140;0.60;1744.44
ITEM;2112;181;0.76;32.94
ITEM;2115;107;0.57;39.67
ITEM;2401;64;0.55;455.57
ITEM;2040;36;0.69;331.44
ITEM;324;82;0.64;27.29
ITEM;735;26;0.73;1565500.00
ITEM;1003;77;1.17;1172.82
ITEM;2006;515;1.15;341.79
ITEM;123;925;0.50;60.98
