// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Cecil
STATION;type;Private Jobsite
STATION;owner;Beckak Vajweli
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;9
STATION;icon;cecil.png
STATION;filename;sector_104_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-9-0-2-0-1-7-0-3-7-0-1-0-2-2-3-6-0-1-5-3-2-0
STATION;interior_seed;3-8-15-7
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;0.65;npc_ship_data_(recon_utility_1).txt
MERC;5;1.93;npc_ship_data_(pirate_cruiser_1).txt
MERC;9;1.00;npc_ship_data_(battle_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (3) Items ;300x578,300x859,302x621;256986;147294.90
BUYORDER;Market Low Inventory: (1) Items ;300x451;30915;105212.90
SELLORDER;Market Stock: (1) Items ;2034x450;90688;77567.89

SELLORDER;Market Items: (3) Items ;2032x134,2037x61,2030x108;75958;22694.72

BUYORDER;Market Low Inventory: (2) Items ;301x103,300x61;25372;81568.28
BUYORDER;Market Low Inventory: (2) Items ;302x329,300x120;42313;97747.28
ITEM;1174;86;0.89;0
ITEM;1115;68;1.18;0
ITEM;1013;19;1.06;0
ITEM;1010;18;0.82;0
ITEM;1461;31;0.62;0
ITEM;1066;75;0.58;0
ITEM;1171;50;0.75;0
ITEM;1173;26;0.96;0
ITEM;1151;54;1.02;0
ITEM;1074;13;1.12;0
ITEM;1050;20;0.90;0
ITEM;1052;79;1.14;0
ITEM;1451;24;1.21;0
ITEM;1012;45;1.23;0
ITEM;1116;30;1.09;0
ITEM;1407;3;1.02;547040
ITEM;1155;73;0.89;547040
ITEM;1123;62;1.06;10074.03
ITEM;1023;68;0.85;248677.3
ITEM;1118;34;0.87;248677.3
ITEM;1077;28;0.91;248677.3
ITEM;1207;49;0.85;248677.3
ITEM;1005;89;1.17;44240.08
ITEM;1475;52;1.11;44240.08
ITEM;1167;8;1.19;44240.08
ITEM;1206;75;1.06;44240.08
ITEM;1003;22;0.65;44240.08
ITEM;1408;63;1.23;44240.08
ITEM;1170;6;0.57;44240.08
ITEM;1110;61;1.05;944.4064
ITEM;1062;89;0.53;944.4064
ITEM;1122;30;1.13;5456.25
ITEM;1018;10;0.91;5456.25
ITEM;1621;83;1.19;4302.304
ITEM;1750;8;0.68;4302.304
ITEM;1550;51;1.05;4302.304
ITEM;1603;73;1.12;4302.304
