// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Acrondia Corp.
STATION;type;Fabrication Plant
STATION;owner;Borgale Feiforo
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;1
STATION;icon;acrondia.png
STATION;filename;sector_106_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-7-1-7-2-2-7-0-1-2-3-9-90
STATION;interior_seed;4-4-45-0
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.41;npc_ship_data_(battle_frigate_1).txt
MERC;6;1.99;npc_ship_data_(support_frigate_1).txt
MERC;1;1.59;npc_ship_data_(battle_carrier_1).txt
MERC;2;0.93;npc_ship_data_(transport_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (2) Items ;340x549,341x489;76912;44084.69
BUYORDER;Market Shortage: (1) Items ;343x554;107759;88651.17
BUYORDER;Market Items Req: (2) Items ;340x30,341x180;23335;43635.82
BUYORDER;Market Low Inventory: (2) Items ;341x251,341x289;84098;48784.82
SELLORDER;Looking to Sell (2) Items ;1767x1,1652x1;73466;70838.68
BUYORDER;Market Low Inventory: (3) Items ;340x50,340x38,343x61;26123;33603.82
BUYORDER;Market Items Req: (1) Items ;343x87;14658;32122.82
BUYORDER;Market Shortage: (2) Items ;341x39,340x63;8957;25050.43
ITEM;1170;8;1.05;2756.336
ITEM;1460;8;0.99;49033.07
ITEM;1050;4;1.09;49033.07
ITEM;1400;3;1.24;49033.07
ITEM;1100;4;1.08;490.5411
ITEM;1003;13;1.20;490.5411
ITEM;1150;6;1.22;490.5411
ITEM;1160;1;0.80;490.5411
ITEM;1200;6;0.76;490.5411
ITEM;1470;2;0.80;43382.25
ITEM;1110;1;0.90;43382.25
ITEM;1054;15;0.75;43382.25
ITEM;1002;9;1.12;43382.25
ITEM;1001;6;0.98;1149.179
ITEM;1052;3;0.77;1149.179
ITEM;1600;4;0.98;1149.179
ITEM;1750;7;0.83;1149.179
ITEM;1610;2;1.15;1149.179
ITEM;1570;8;0.85;1949.726
ITEM;1650;16;1.07;1949.726
ITEM;1550;12;0.78;1949.726
ITEM;1630;1;0.79;1949.726
ITEM;1560;1;0.71;1949.726
ITEM;1500;8;1.00;1949.726
ITEM;1520;12;0.87;962.8659
ITEM;1640;17;1.11;962.8659
ITEM;1580;8;1.23;962.8659
ITEM;1590;5;0.82;962.8659
ITEM;1620;3;0.51;962.8659
ITEM;1540;6;0.71;962.8659
ITEM;1530;4;0.91;1967.71
ITEM;1510;8;0.83;1967.71
ITEM;63;27;0.77;1967.71
ITEM;2127;41;0.68;1967.71
ITEM;2652;14;0.69;447.7646
ITEM;2118;1795;0.79;447.7646
ITEM;2124;7;0.66;596.193
ITEM;2119;31;1.24;596.193
ITEM;40;29;1.06;596.193
ITEM;78;32;1.05;596.193
ITEM;2117;18;1.04;253.2998
ITEM;61;36;0.50;253.2998
ITEM;2123;8;0.83;253.2998
ITEM;60;35;1.20;253.2998
ITEM;52;1350;1.10;253.2998
