// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Horizons
STATION;type;Headquarters
STATION;owner;Serzokom Qireno
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .40, .19, 1
STATION;level;2
STATION;icon;horizons.png
STATION;filename;sector_14_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-4-0-3-0-0-0-1-4-7-1-8-90
STATION;interior_seed;3-4-15-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;61758.8
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.67;npc_ship_data_(transport_escort_1).txt
MERC;8;1.28;npc_ship_data_(recon_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (1) Items ;208x381;49691;147271.80

BUYORDER;Market Needs Goods: (1) Items ;212x81;9361.00;93885.85
BUYORDER;Market Shortage: (2) Items ;217x218,216x230;92557.00;92220.77
BUYORDER;Market Demands: (2) Items ;213x122,213x124;42751.00;63192.61
BUYORDER;Market Demands: (1) Items ;213x48;7662.00;63812.77
BUYORDER;Market Low Inventory: (1) Items ;218x128;34041.00;65405.77
ITEM;1;686;1.21;17.23
ITEM;1532;12;0.25;2225.12
ITEM;1542;12;0.25;1372.04
ITEM;641;2;0.86;7271.25
ITEM;163;79;0.97;31.39
ITEM;302;12;0.81;38.39
ITEM;2128;43;1.00;83.50
ITEM;2131;35;1.06;167.44
ITEM;2131;-99;1.18;189.11
ITEM;153;50;1.06;11.59
ITEM;2444;5;0.82;713.92
ITEM;169;158;1.06;88.45
ITEM;2445;11;0.94;924.16
ITEM;50;69;0.77;15.67
ITEM;1520;5;1.05;1148.79
ITEM;1620;13;0.94;1296.73
ITEM;1530;12;0.53;963.29
ITEM;1750;13;1.13;2122.58
ITEM;2361;3;0.92;20106.32
ITEM;1570;13;0.57;1136.57
ITEM;620;2;0.89;3785.63
ITEM;2334;9;1.01;67125.50
ITEM;1540;12;0.32;210.29
ITEM;1615;1;0.62;1184.98
ITEM;201;69;0.62;37.17
ITEM;1560;9;0.58;569.64
ITEM;1500;9;0.90;904.59
ITEM;1590;18;0.92;1319.14
ITEM;208;46;0.78;92.67
ITEM;406;18;0.97;25.95
ITEM;403;12;0.88;17.18
ITEM;205;90;0.58;51.58
ITEM;101;136;0.60;0.35
ITEM;168;174;0.57;24.09
ITEM;404;11;0.71;14.43
ITEM;200;29;0.64;31.44
ITEM;300;5;1.17;64.51
ITEM;301;7;0.81;94.05
ITEM;2651;68;0.78;420.63
ITEM;661;3;1.09;9571.25
ITEM;218;0;2.50;575.21
ITEM;63;79;0.83;139.43
ITEM;660;2;1.08;4735.63
ITEM;151;131;0.51;4.71
ITEM;204;41;0.83;72.50
ITEM;735;1;0.67;1342813.00
ITEM;1001;15;0.52;503.26
ITEM;2100;17;0.56;6150.60
ITEM;2;62;0.83;19.52
ITEM;405;15;1.04;28.12
ITEM;675;18;1.16;297866.30
ITEM;731;14;0.48;57275.63
ITEM;753;7;0.79;108425.60
ITEM;759;18;1.15;167825.60
ITEM;102;268;1.04;2.27
ITEM;1521;5;1.02;2336.33
ITEM;1531;12;0.72;2957.17
ITEM;1581;15;1.16;11537.69
ITEM;2270;13;0.89;110222.30
ITEM;621;8;0.52;3871.25
ITEM;1541;43;0.81;1766.55
ITEM;1601;16;1.01;2287.54
ITEM;305;16;0.79;96.66
ITEM;1170;15;0.89;2195.66
ITEM;20;195;0.69;54.60
ITEM;51;85;1.17;37.13
ITEM;2397;4;1.21;463.16
ITEM;1009;4;1.12;2171.68
ITEM;304;11;1.18;143.46
ITEM;677;2;0.58;96131.88
ITEM;211;0;2.50;247.07
ITEM;712;30;1.00;130068.80
ITEM;209;0;2.50;212.15
ITEM;158;193;1.18;47.43
ITEM;155;42;0.50;8.19
ITEM;104;29;0.66;1.42
ITEM;166;14;0.93;59.94
ITEM;203;44;0.67;51.30
ITEM;672;29;1.15;213596.30
ITEM;2539;8;1.16;184882.50
ITEM;676;30;1.00;86712.50
ITEM;732;4;0.67;8056.88
ITEM;756;30;1.24;16606.88
ITEM;711;23;0.51;9428.13
ITEM;214;0;1.31;180.90
ITEM;157;94;0.84;30.34
ITEM;2433;18;0.99;441.42
ITEM;160;41;0.75;15.43
ITEM;161;40;1.07;24.74
ITEM;728;32;1.24;16606.88
ITEM;210;0;2.50;226.95
ITEM;212;0;1.31;129.55
ITEM;601;6;0.51;3771.25
ITEM;150;76;0.56;4.87
ITEM;2426;17;0.77;87.29
ITEM;303;15;0.80;56.31
ITEM;206;114;0.51;45.60
ITEM;1200;11;1.18;4712.06
ITEM;407;19;1.10;416.83
ITEM;103;30;0.65;0.48
ITEM;165;140;1.18;69.63
ITEM;2442;4;0.98;676.01
ITEM;170;150;0.27;7.02
ITEM;1533;12;0.33;16234.31
ITEM;1543;29;0.78;32690.23
ITEM;213;15;1.05;111.55
ITEM;600;2;0.73;2985.63
ITEM;2117;76;1.03;242.22
ITEM;1534;12;0.64;209228.10
ITEM;1544;36;0.72;149683.80
ITEM;1150;18;1.07;2342.81
ITEM;1151;19;0.85;3513.91
ITEM;1100;14;0.55;208.56
ITEM;43;72;1.22;36.64
ITEM;1055;1;1.01;3683.93
ITEM;726;10;0.77;9556.88
ITEM;207;150;0.25;14.95
ITEM;164;167;0.76;14.30
ITEM;154;65;0.85;33.42
ITEM;114;129;0.94;1.69
ITEM;1401;4;0.77;6371.25
ITEM;21;117;0.94;161.43
ITEM;2544;12;0.89;54513.00
ITEM;216;0;2.50;481.12
ITEM;2532;8;1.26;81153.00
ITEM;217;0;2.50;556.27
ITEM;215;0;2.50;459.81
ITEM;156;132;1.18;34.66
ITEM;2432;19;0.67;213.24
ITEM;1059;11;1.19;5391.34
ITEM;2151;19;1.25;68368.05
ITEM;640;3;1.14;5035.63
ITEM;162;152;0.70;14.69
ITEM;2438;15;0.92;244.80
ITEM;202;150;0.25;9.76
ITEM;749;28;0.65;129281.20
ITEM;754;12;1.23;274281.30
ITEM;2416;3;0.78;977.81
ITEM;76;2;0.78;113.25
ITEM;2124;1;1.09;1010.25
ITEM;2120;26;0.94;327.21
ITEM;2130;66;0.60;70.12
ITEM;2113;97;0.69;33.59
ITEM;2116;7;0.60;46.99
ITEM;100;262;0.78;0.32
ITEM;408;19;0.71;3018.94
ITEM;1470;19;1.11;60581.75
