// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Quantex
STATION;type;Production Factory
STATION;owner;Binohom Xadnortisfall
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;ad_image_11.png
STATION;filename;sector_1_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-6-0-1-7-0-1-8-1-0-1-6-3-1-7-90
STATION;interior_seed;4-0-45-4
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.95;npc_ship_data_(excavation_escort_1).txt
MERC;5;0.66;npc_ship_data_(recon_shuttle_1).txt
MERC;1;1.13;npc_ship_data_(battle_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (3) Items ;2x751,3x298,1x302;68556;79262.42
BUYORDER;Market Out of Stock: (2) Items ;2x382,5x534;202929;100053.90
BUYORDER;Market Items Req: (1) Items ;1x157;2788;110906.90
BUYORDER;Market Out of Stock: (2) Items ;1x221,2x168;18002;101233.30
SELLORDER;Market Production: (1) Items ;206x249;25231;61341.39
BUYORDER;Market Shortage: (2) Items ;6x21,3x179;31436;68966.16

BUYORDER;Market Needs Goods: (3) Items ;5x25,4x96,9x27;53910;76574.19
BUYORDER;Market Out of Stock: (2) Items ;5x29,4x24;9215;31758.19
ITEM;1014;12;0.67;0
ITEM;1002;3;0.88;0
ITEM;1001;11;0.85;0
ITEM;1300;8;1.21;0
ITEM;1055;15;1.24;0
ITEM;1161;32;0.59;2610.697
ITEM;1052;11;0.63;2610.697
ITEM;1101;15;0.70;2610.697
ITEM;1121;27;1.21;2610.697
ITEM;1102;18;0.91;1365.886
ITEM;1450;12;0.55;1365.886
ITEM;1152;20;0.74;1365.886
ITEM;1062;11;0.56;1365.886
ITEM;1401;6;0.96;1365.886
ITEM;1400;7;0.97;1365.886
ITEM;1100;5;0.53;1365.886
ITEM;1120;26;0.95;1365.886
ITEM;1111;26;1.15;1365.886
ITEM;1057;11;1.18;1365.886
ITEM;1050;28;0.73;1365.886
ITEM;1551;29;0.67;1365.886
ITEM;1502;26;0.97;8737.637
ITEM;1512;4;0.65;8737.637
ITEM;1532;28;0.59;9184.724
ITEM;1615;20;0.68;9184.724
ITEM;1591;32;0.55;1549.458
ITEM;1511;22;1.00;1549.458
ITEM;1632;6;0.81;1549.458
ITEM;1590;17;0.91;1549.458
ITEM;1580;27;0.94;4540.037
ITEM;1570;12;0.57;4540.037
ITEM;1500;16;1.24;1336.579
ITEM;1531;34;0.90;3996.433
ITEM;1541;24;1.09;3996.433
ITEM;1552;10;1.23;27085.11
ITEM;1621;7;0.87;27085.11
ITEM;1572;12;0.52;27085.11
ITEM;2118;1810;0.97;302.2119
ITEM;2124;2166;0.67;594.7347
ITEM;43;1660;0.62;17.30369
ITEM;60;11;1.18;17.30369
ITEM;63;2267;1.21;220.6925
ITEM;2129;2421;0.50;46.94008
ITEM;42;1855;1.01;24.12245
