// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Monarch Society
STATION;type;Organization Center
STATION;owner;Lowwogo Fonak
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;4
STATION;icon;ad_image_9.png
STATION;filename;sector_22_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-0-1-6-1-8-0-5-3-2-3-0
STATION;interior_seed;5-3-30-7
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.28;npc_ship_data_(excavation_shuttle_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.92;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (1) Items ;5x256;77104;107762.40
BUYORDER;Market Low Inventory: (2) Items ;2x92,2x260;12714;73448.38
BUYORDER;Market Demands: (3) Items ;3x56,3x52,6x45;31141;35709.50
ITEM;1050;31;0.93;0
ITEM;1113;10;1.04;0
ITEM;1170;2;1.06;3242.975
ITEM;1151;11;0.52;3242.975
ITEM;1123;34;1.00;11147.1
ITEM;1021;37;0.61;11147.1
ITEM;1160;26;0.94;11147.1
ITEM;1103;3;1.25;4319.172
ITEM;1401;20;0.96;4319.172
ITEM;1067;11;0.91;4319.172
ITEM;1059;4;1.00;4319.172
ITEM;1013;34;1.14;4319.172
ITEM;1152;31;0.88;9119.313
ITEM;1014;12;1.19;9119.313
ITEM;1054;21;0.80;2200.204
ITEM;1020;33;0.89;2200.204
ITEM;1201;15;1.18;2200.204
ITEM;1111;1;1.02;2200.204
ITEM;1052;16;0.93;2200.204
ITEM;1064;25;1.25;13398.71
ITEM;1300;7;0.81;12248.23
ITEM;1403;28;1.14;12248.23
ITEM;1122;32;0.65;3773.15
ITEM;1560;7;0.85;3773.15
ITEM;1570;18;0.72;3773.15
ITEM;1720;21;1.05;3773.15
ITEM;1622;1;0.65;3773.15
ITEM;1583;27;0.81;3773.15
ITEM;1640;33;0.67;3773.15
ITEM;1572;15;0.70;15325.19
ITEM;1593;9;0.81;15325.19
ITEM;1623;35;1.16;87826.76
ITEM;1563;3;1.11;87826.76
ITEM;1581;13;0.78;87826.76
ITEM;1540;14;0.96;1154.453
ITEM;1612;36;0.87;1154.453
ITEM;1561;5;1.05;1154.453
ITEM;1630;2;0.95;1154.453
ITEM;1533;10;1.12;97071.66
ITEM;1711;27;1.11;97071.66
ITEM;1500;19;0.53;97071.66
ITEM;1751;15;0.87;97071.66
ITEM;1730;26;0.77;97071.66
ITEM;1502;19;0.75;97071.66
ITEM;1543;20;0.72;97071.66
ITEM;1642;22;0.82;97071.66
ITEM;2120;36;0.97;97071.66
ITEM;2125;132;0.67;947.8967
ITEM;2131;38;0.79;153.594
ITEM;2652;140;1.00;153.594
ITEM;2650;30;0.77;451.5922
ITEM;60;135;0.91;451.5922
