// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Cosmic Jay's
STATION;type;Enterprise Hub
STATION;owner;Gillalas Jalisjidyan
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;2
STATION;icon;ad_image_19.png
STATION;filename;sector_26_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-8-1-1-3-1-7-0-4-7-0-1-0-2-1-1-4-90
STATION;interior_seed;4-1-30-3
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.67;npc_ship_data_(recon_utility_1).txt
MERC;8;1.93;npc_ship_data_(pirate_frigate_1).txt
MERC;3;0.77;npc_ship_data_(pirate_carrier_1).txt
MERC;2;1.50;npc_ship_data_(transport_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Purchase Request (1) Items ;155x22;686;102832.50
SELLORDER;Sell Order Request for (1) Items ;1006x1;35773;33664.16

ITEM;1151;4;0.89;0
ITEM;1001;5;1.12;0
ITEM;1002;11;1.18;0
ITEM;1008;11;1.01;2206.552
ITEM;1161;20;1.01;2206.552
ITEM;1401;6;0.65;5177.063
ITEM;1160;23;1.12;2730.743
ITEM;1111;9;0.62;2730.743
ITEM;1170;12;0.64;2730.743
ITEM;1120;0;1.19;2730.743
ITEM;1470;19;0.91;48515.33
ITEM;1121;22;1.12;48515.33
ITEM;1057;17;0.74;48515.33
ITEM;1003;16;0.52;48515.33
ITEM;1054;0;1.13;2553.028
ITEM;1101;19;0.81;2553.028
ITEM;1200;13;0.78;2553.028
ITEM;1150;1;1.14;2553.028
ITEM;1055;13;0.59;1912.308
ITEM;1460;15;1.13;54711.68
ITEM;1581;9;1.18;54711.68
ITEM;1510;14;0.88;4252.969
ITEM;1570;13;0.92;4252.969
ITEM;1631;12;1.18;14147.74
ITEM;1571;15;0.78;3781.241
ITEM;1590;15;0.53;3781.241
ITEM;1500;10;0.88;3781.241
ITEM;1580;8;0.64;3781.241
ITEM;1521;4;0.61;3781.241
ITEM;1601;5;0.64;3781.241
ITEM;1550;4;1.03;3781.241
ITEM;1610;5;0.56;3781.241
ITEM;1591;11;0.52;3781.241
ITEM;1501;0;0.92;3781.241
ITEM;1560;26;0.70;3781.241
ITEM;1540;5;0.96;3781.241
ITEM;1751;0;1.12;3781.241
ITEM;63;49;0.99;3781.241
ITEM;2129;1876;0.65;3781.241
ITEM;53;17;0.86;3781.241
ITEM;2117;0;0.67;3781.241
ITEM;2121;64;0.91;3781.241
ITEM;61;0;0.99;77.44499
ITEM;2119;12;0.78;77.44499
ITEM;2115;73;0.80;77.44499
ITEM;2652;0;0.62;77.44499
ITEM;52;87;1.15;77.44499
ITEM;77;1630;1.15;77.44499
ITEM;2112;1392;1.04;77.44499
ITEM;2118;0;0.80;77.44499
ITEM;2122;2426;0.87;500.4605
ITEM;2650;0;0.83;500.4605
ITEM;732;10;0.74;9202.129
ITEM;681;20;0.94;9202.129
ITEM;742;28;0.80;9202.129
ITEM;690;3;0.64;7683.453
ITEM;730;0;0.88;7683.453
