// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Janca Refinery
STATION;type;Refinery
STATION;owner;Erovak Mastgobun
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;8
STATION;icon;janca_refinery.png
STATION;filename;sector_26_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-0-1-2-9-3-4-1-4-1-1-4-0
STATION;interior_seed;5-8-30-0
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.04;npc_ship_data_(transport_utility_1).txt
MERC;9;1.82;npc_ship_data_(pirate_utility_1).txt
MERC;1;0.79;npc_ship_data_(recon_shuttle_1).txt
MERC;2;1.05;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (1) Items ;156x166;10691;115671.20
BUYORDER;Market Items Req: (2) Items ;158x419,150x356;22667;83460.06
BUYORDER;Market Low Inventory: (1) Items ;153x457;6673;67809.86
BUYORDER;Market Shortage: (2) Items ;156x311,157x197;23554;55263.86
BUYORDER;Purchase Request (2) Items ;1160x9,51x37;31626;75189.45

SELLORDER;Selling: (2) Items ;105x372,75x265;40255;62038.37

BUYORDER;Purchase Order for: (1) Items ;331x622;115469;26358.61

BUYORDER;Market Out of Stock: (2) Items ;150x358,155x296;16711;45426.28
BUYORDER;Market Shortage: (2) Items ;164x79,164x26;4302;65997.77
ITEM;1153;2;0.95;0
ITEM;1026;10;1.19;0
ITEM;1007;42;0.97;0
ITEM;1107;39;0.81;0
ITEM;1102;13;0.87;0
ITEM;1203;1;0.57;127241.3
ITEM;1053;46;0.97;127241.3
ITEM;1011;61;0.65;43290.37
ITEM;1056;1;0.97;43290.37
ITEM;1015;40;1.14;43290.37
ITEM;1100;68;1.06;43290.37
ITEM;1021;57;1.13;43290.37
ITEM;1165;78;1.23;43290.37
ITEM;1154;19;0.88;43290.37
ITEM;1166;59;0.89;43290.37
ITEM;1126;53;0.78;43290.37
ITEM;1075;57;1.15;83519.2
ITEM;1010;29;1.03;83519.2
ITEM;1171;5;0.73;83519.2
ITEM;1407;65;0.76;83519.2
ITEM;1152;63;0.80;83519.2
ITEM;1201;56;1.24;83519.2
ITEM;1019;63;0.75;83519.2
ITEM;1055;73;0.80;83519.2
ITEM;1054;65;0.81;83519.2
ITEM;1404;9;1.02;83519.2
ITEM;1200;24;1.07;83519.2
ITEM;1477;47;0.99;83519.2
ITEM;1027;73;0.85;83519.2
ITEM;1554;29;1.13;83519.2
ITEM;1513;3;1.07;83519.2
ITEM;1750;48;0.79;83519.2
ITEM;1777;54;0.95;83519.2
ITEM;1511;75;1.08;11459.09
ITEM;1752;1;0.83;11459.09
ITEM;1644;68;0.58;11459.09
ITEM;1785;58;0.87;361018.1
ITEM;1563;11;1.13;361018.1
ITEM;1652;36;0.60;361018.1
ITEM;1654;32;0.77;361018.1
ITEM;1620;31;0.79;361018.1
ITEM;1614;71;0.59;361018.1
ITEM;1564;66;0.61;361018.1
ITEM;1653;61;1.21;361018.1
ITEM;1522;75;1.16;361018.1
ITEM;1631;5;0.73;361018.1
ITEM;1618;71;0.96;66106.34
ITEM;1619;27;0.58;66106.34
ITEM;1500;28;0.89;66106.34
ITEM;1602;65;0.66;6782.297
ITEM;1702;32;1.25;6782.297
ITEM;1712;37;0.61;6782.297
ITEM;1601;20;1.22;6782.297
ITEM;1722;57;1.06;6782.297
ITEM;1593;24;0.62;23687.34
ITEM;1780;15;1.03;23687.34
ITEM;1731;57;1.11;23687.34
ITEM;1502;18;1.10;23687.34
ITEM;2652;50;0.66;23687.34
ITEM;63;204;1.01;23687.34
ITEM;2111;318;1.10;23687.34
ITEM;2129;305;0.85;23687.34
ITEM;2117;284;0.88;23687.34
ITEM;62;58;0.86;102.5021
ITEM;2125;25;1.06;102.5021
ITEM;2114;340;0.59;102.5021
ITEM;2113;324;1.06;102.5021
ITEM;43;369;0.77;102.5021
ITEM;78;230;0.55;102.5021
ITEM;2128;378;0.92;102.5021
ITEM;60;243;0.68;102.5021
ITEM;40;265;0.72;102.5021
ITEM;51;314;0.98;102.5021
ITEM;41;25;1.19;102.5021
ITEM;2126;124;0.86;102.5021
ITEM;70;20;0.81;102.5021
ITEM;50;312;0.68;102.5021
ITEM;52;337;1.02;102.5021
ITEM;42;254;1.24;102.5021
ITEM;2127;310;0.98;102.5021
ITEM;731;95;0.70;102.5021
ITEM;670;92;0.64;102.5021
ITEM;757;16;0.80;102.5021
ITEM;721;148;0.68;102.5021
ITEM;730;90;0.69;25286.67
ITEM;671;94;0.97;25286.67
